Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-03-31,2929.45,0.0,2929.45,187.99,9.16,868.9,204.53,1658.87,0.75,1659.62,1442.4,217.22,0.0,217.22,73.3,143.92,143.92,226.91,6.34,6.34,0.0,0.0,0.0,0.0,0.0
2016-06-30,2685.4,0.0,2685.4,151.91,8.81,459.05,185.79,1879.84,0.59,1880.43,1310.78,569.65,0.0,569.65,195.55,374.1,374.1,226.91,16.49,16.49,0.0,0.0,0.0,0.0,0.0
2016-09-30,2713.2,0.0,2713.2,139.23,8.73,459.08,181.42,1924.74,0.39,1925.13,1331.16,593.97,0.0,593.97,206.32,387.65,387.65,226.91,17.08,17.08,0.0,0.0,0.0,0.0,0.0
2016-12-31,2716.94,0.0,2716.94,130.5,8.39,610.5,160.97,1806.58,0.49,1807.07,1277.74,529.33,0.0,529.33,183.37,345.96,345.96,226.91,15.25,15.25,0.0,0.0,0.0,0.0,0.0
2017-03-31,2711.92,0.0,2711.92,126.59,7.98,911.4,167.63,1498.32,0.39,1498.71,1267.74,230.97,0.0,230.97,81.34,149.63,149.63,226.91,6.6,6.6,0.0,0.0,0.0,0.0,0.0
2017-06-30,2898.39,0.0,2898.39,164.53,8.1,582.27,180.13,1963.36,0.61,1963.97,1277.1,686.87,0.0,686.87,238.19,448.68,448.68,226.91,19.78,19.78,0.0,0.0,0.0,0.0,0.0
2017-09-30,2978.9,0.0,2978.9,164.25,8.8,587.91,190.71,2027.23,1.02,2028.25,1299.92,728.33,0.0,728.33,249.22,479.11,479.11,226.91,21.11,21.11,0.0,0.0,0.0,0.0,0.0
2017-12-31,3087.67,0.0,3087.67,180.56,9.15,585.38,205.03,2107.55,1.2,2108.75,1345.49,763.26,0.0,763.26,267.63,495.63,495.63,226.91,21.85,21.85,0.0,0.0,0.0,0.0,0.0
2018-03-31,3248.7,0.0,3248.7,206.06,10.08,1366.56,222.88,1443.12,60.34,1503.46,1449.84,53.62,139.75,193.37,48.77,144.6,144.6,226.91,6.37,6.37,0.0,0.0,0.0,0.0,0.0
2018-06-30,3732.45,0.0,3732.45,225.31,9.89,533.01,237.13,2727.11,7.4,2734.51,1851.47,883.04,0.0,883.04,310.14,572.9,572.9,226.91,25.2,25.2,0.0,0.0,0.0,0.0,0.0
2018-09-30,3937.99,0.0,3937.99,232.09,10.68,0.0,917.09,2778.13,9.77,2787.9,1848.87,939.03,0.0,939.03,329.45,609.58,609.58,226.91,26.86,26.86,0.0,0.0,0.0,0.0,0.0
2018-12-31,3991.09,0.0,3991.09,221.69,10.89,0.0,858.19,2900.32,2.31,2902.63,1918.69,983.94,0.0,983.94,348.49,635.45,635.45,226.91,28.02,28.02,0.0,0.0,0.0,0.0,0.0
2019-03-31,3871.33,0.0,3871.33,203.97,11.51,0.0,804.24,2851.61,9.1,2860.71,1888.47,972.24,0.0,972.24,226.2,746.04,746.04,226.91,32.88,32.88,0.0,0.0,0.0,0.0,0.0
2019-06-30,4053.85,0.0,4053.85,233.09,33.44,561.18,209.22,3016.92,7.8,3024.72,2043.14,981.58,0.0,981.58,347.33,634.25,634.25,226.88,27.96,27.96,0.0,0.0,0.0,0.0,0.0
2019-09-30,4217.54,0.0,4217.54,250.51,35.6,660.65,232.79,3037.99,2.28,3040.27,2113.4,926.87,0.0,926.87,161.82,765.05,765.05,226.88,33.72,33.72,0.0,0.0,0.0,0.0,0.0
2019-12-31,4286.04,0.0,4286.04,254.95,36.3,444.39,246.95,3303.45,2.16,3305.61,2119.29,1186.32,0.0,1186.32,307.16,879.16,879.16,226.88,38.75,38.75,0.0,0.0,0.0,0.0,0.0
2020-03-31,4168.42,0.0,4168.42,272.27,35.71,1128.66,233.65,2498.13,4.62,2502.75,2158.85,343.9,0.0,343.9,120.52,223.38,223.38,226.88,9.85,9.85,0.0,0.0,0.0,0.0,0.0
2020-06-30,4140.91,0.0,4140.91,189.24,36.0,1064.59,157.07,2694.01,3.79,2697.8,2267.22,430.58,0.0,430.58,110.52,320.06,320.06,226.88,14.11,14.11,0.0,0.0,0.0,0.0,0.0
2020-09-30,4347.75,0.0,4347.75,239.06,32.04,655.46,241.35,3179.84,3.51,3183.35,2262.93,920.42,0.0,920.42,235.86,684.56,684.56,253.06,27.79,27.79,0.0,0.0,0.0,0.0,0.0
2020-12-31,4438.37,0.0,4438.37,229.65,36.84,674.71,276.66,3220.51,4.75,3225.26,2236.26,989.0,0.0,989.0,261.28,727.72,727.72,253.06,29.54,29.54,0.0,0.0,0.0,0.0,0.0
2021-03-31,4493.97,0.0,4493.97,248.3,32.48,723.64,267.58,3221.97,3.9,3225.87,2287.85,938.02,0.0,938.02,183.09,754.93,754.93,253.06,30.65,30.65,0.0,0.0,0.0,0.0,0.0
2021-06-30,4648.12,0.0,4648.12,241.97,32.75,1439.69,204.3,2729.41,3.38,2732.79,2498.1,234.69,0.0,234.69,64.75,169.94,169.94,267.05,6.64,6.64,0.0,0.0,0.0,0.0,0.0
2021-09-30,4697.86,0.0,4697.86,237.37,33.36,676.2,279.99,3470.94,4.95,3475.89,2435.24,1040.65,0.0,1040.65,269.41,771.24,771.24,268.78,28.71,28.71,0.0,0.0,0.0,0.0,0.0
2021-12-31,4827.86,0.0,4827.86,242.87,34.66,984.27,249.99,3316.07,4.47,3320.54,2397.25,923.29,0.0,923.29,242.67,680.62,680.62,270.52,25.26,25.26,0.0,0.0,0.0,0.0,0.0
2022-03-31,5081.61,0.0,5081.61,274.88,34.6,760.79,262.98,3748.36,5.98,3754.34,2403.72,1350.62,0.0,1350.62,264.49,1086.13,1086.13,270.52,40.15,40.15,0.0,0.0,0.0,0.0,0.0
2022-06-30,5144.81,0.0,5144.81,278.31,34.94,805.16,266.04,3760.36,4.45,3764.81,2457.93,1306.88,0.0,1306.88,341.61,965.27,965.27,270.52,35.68,35.68,0.0,0.0,0.0,0.0,0.0
2022-09-30,5347.57,0.0,5347.57,267.32,34.89,672.35,345.45,4027.56,3.71,4031.27,2590.57,1440.7,0.0,1440.7,373.83,1066.87,1066.87,270.52,39.44,39.44,0.0,0.0,0.0,0.0,0.0
2022-12-31,7609.01,0.0,7609.01,639.1,58.09,917.25,501.54,5493.03,3.28,5496.31,3111.96,2384.35,0.0,2384.35,607.38,1776.97,1776.97,374.43,47.46,47.26,0.0,0.0,0.0,0.0,0.0
2023-03-31,7756.33,0.0,7756.33,690.72,357.86,1184.64,397.35,5125.76,12.82,5138.58,3242.19,1896.39,0.0,1896.39,588.08,1308.31,1308.31,374.43,34.94,34.78,0.0,0.0,0.0,0.0,0.0
2023-06-30,7999.45,0.0,7999.45,790.39,131.87,878.61,468.57,5730.01,5.15,5735.16,3487.54,2247.62,0.0,2247.62,572.18,1675.44,1675.44,374.84,44.73,44.55,0.0,0.0,0.0,0.0,0.0
2023-09-30,8438.68,116.82,8555.5,790.38,136.78,1128.55,534.6,5965.19,8.95,5974.14,3621.86,2352.28,0.0,2352.28,601.44,1750.84,1750.84,375.35,46.67,46.51,0.0,0.0,0.0,0.0,0.0
2023-12-31,8817.73,104.66,8922.39,809.91,146.71,1249.7,574.47,6141.6,4.91,6146.51,3706.89,2439.62,0.0,2439.62,621.29,1818.33,1818.33,375.6,48.42,48.3,0.0,0.0,0.0,0.0,0.0
2024-03-31,9319.66,164.05,9483.71,824.91,153.47,1261.48,624.04,6619.81,14.14,6633.95,3989.83,2644.12,0.0,2644.12,698.25,1945.87,1945.87,375.79,51.79,51.69,0.0,0.0,0.0,0.0,0.0
2024-06-30,9509.83,95.15,9604.98,868.35,153.48,1187.55,604.83,6790.77,4.73,6795.5,4128.91,2666.59,0.0,2666.59,686.0,1980.59,1980.59,375.91,52.7,52.6,0.0,0.0,0.0,0.0,0.0
2024-09-30,9992.53,97.01,10089.54,906.67,158.86,1234.99,694.21,7094.81,7.14,7101.95,4350.42,2751.53,0.0,2751.53,680.27,2071.26,2071.26,375.99,55.09,55.01,0.0,0.0,0.0,0.0,0.0
2024-12-31,10590.12,108.19,10698.31,970.41,161.92,1325.83,736.9,7503.25,7.16,7510.41,4751.26,2759.15,1656.77,4415.92,846.16,3569.76,3569.76,376.06,94.95,94.8,0.0,0.0,0.0,0.0,0.0
2025-03-31,11245.0,209.23,11454.23,905.73,171.06,1563.29,824.2,7989.95,6.02,7995.97,5223.99,2771.98,0.0,2771.98,632.59,2139.39,2139.39,376.08,11.38,11.36,0.0,0.0,0.0,0.0,0.0
