Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Equity Share Application Money,Deferred Tax Liabilities [Net],Capital Work-In-Progress,Inventories,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,226.91,226.91,8046.31,8046.31,0.0,8273.22,22712.09,986.99,1271.74,24970.82,2985.9,445.92,12256.29,15981.66,49225.7,99.02,1.64,0.0,0.0,100.66,251.16,94.43,23233.13,2037.46,0.0,7085.98,16789.12,80.01,25992.57,49225.7,3597.56,0.51,0.0,0.0,294.3,355.18,2.13,2035.45,293.56,687.8,22099.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,226.91,226.91,9011.06,9011.06,0.0,9237.97,31570.76,971.34,1586.5,34128.61,2661.41,1159.69,11741.64,15960.58,59327.15,99.45,1.28,0.0,0.0,100.72,256.48,93.11,32387.45,2212.92,0.0,4723.4,19940.94,62.44,26939.7,59327.15,1767.91,0.02,0.0,0.0,780.24,357.23,4.98,2207.93,397.84,1114.26,30822.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,226.91,226.91,9927.21,9927.21,0.0,10154.11,30269.67,1163.51,2842.72,34275.9,3330.35,1511.37,18181.97,23533.29,67963.3,99.61,1.45,0.0,0.0,101.06,307.7,13.88,44685.0,104.0,0.0,2363.86,20759.87,50.58,23278.3,67963.3,1907.59,0.62,0.0,0.0,1177.83,99.23,4.0,100.0,509.6,1252.17,43010.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,226.91,226.91,11075.32,11075.32,0.0,11302.23,33700.18,1310.86,3893.94,38904.98,4983.14,1732.13,17090.67,24203.1,74410.31,82.17,1.61,0.0,0.0,83.78,362.28,75.15,49327.22,52.21,0.0,4440.69,20531.32,58.87,25083.09,74410.31,1896.05,13.68,0.0,0.0,1476.63,83.32,53.14,0.0,397.16,1497.14,47308.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,226.91,226.91,13348.58,13348.58,0.0,13575.48,82130.85,536.25,127.33,82794.43,0.0,219.77,655.36,875.13,97245.05,118.22,1.74,0.0,2.1,122.05,52.19,139.52,313.76,2341.36,17.47,3674.56,90745.62,152.29,96931.29,97245.05,2857.89,17.34,0.0,0.0,0.0,833.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,226.9,226.9,15609.38,15609.38,0.0,15836.28,50725.1,172.46,133.26,51030.82,37189.3,136.18,1099.9,38425.38,105292.48,143.46,1.97,0.0,2.06,147.49,75.7,250.24,473.43,3999.07,28.42,3981.47,96751.49,58.6,104819.05,105292.48,878.78,68.39,0.0,0.0,0.0,0.0,0.0,3999.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,226.88,226.88,17778.28,17778.28,0.0,18005.16,51897.15,185.3,146.33,52228.78,42474.6,144.97,1275.13,43894.7,114128.64,484.17,2.67,0.0,2.03,488.87,62.5,418.67,970.04,2798.48,16.14,7314.92,102231.63,797.43,113158.6,114128.64,897.86,148.09,0.0,0.0,0.0,0.0,0.0,2798.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,253.06,253.06,21315.31,21315.31,0.0,21568.37,60915.04,201.28,142.54,61258.86,45281.37,256.42,1313.84,46851.63,129678.86,432.96,2.39,0.0,2.0,437.35,639.14,382.57,1459.06,3197.85,58.82,16441.82,108303.04,218.27,128219.8,129678.86,2384.45,23.29,0.0,0.0,0.0,0.0,0.0,3197.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,270.52,270.52,25661.67,25661.67,0.0,25932.19,67819.78,161.24,138.18,68119.2,46676.93,168.7,1209.07,48054.7,142106.09,413.08,3.04,0.0,1.97,418.09,869.38,538.28,1825.75,6809.16,198.02,16355.16,116665.15,252.85,140280.34,142106.09,2377.67,36.63,0.0,0.0,0.0,0.0,0.0,6809.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,374.43,374.43,42737.37,42737.37,194.84,43306.64,84316.27,360.64,211.48,84888.39,73590.02,294.69,1584.12,75468.83,203663.86,699.7,2624.38,66.08,2.62,3392.78,1743.92,1141.48,6278.18,8565.06,277.12,15817.41,171984.58,741.51,197385.68,203663.86,2507.74,109.21,0.0,1.17,0.0,0.0,0.0,8565.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,375.79,375.79,48122.2,48122.2,70.4,48568.39,93692.34,505.09,296.21,94493.64,92148.8,217.19,1847.99,94213.98,237276.01,845.77,2440.66,0.0,0.98,3287.41,2884.03,922.57,7094.01,10656.64,384.59,10812.64,207929.41,398.72,230182.0,237276.01,2279.37,144.91,0.0,1.45,0.0,0.0,0.0,10656.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,376.08,376.08,55904.49,55904.49,0.0,56280.57,0.0,319.84,344.38,664.22,234197.25,300.45,2090.42,236588.12,293532.91,2215.13,698.95,0.0,0.0,2914.08,3694.86,754.02,7362.96,15598.71,253.69,21365.74,245392.79,3559.02,286169.95,293532.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
