Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,51.26,51.26,1988.25,1988.25,0.0,2039.52,50.83,0.0,19.67,70.49,7.68,301.14,285.96,184.42,779.2,2889.21,535.13,76.17,431.09,1042.39,339.66,64.11,5.93,1452.08,234.13,508.2,453.6,145.18,85.15,10.86,1437.13,2889.21,168.93,37.24,395.44,1.95,47.95,12.49,381.49,0.0,234.13,0.0,479.25,0.54,62.22,5.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,51.27,51.27,2298.18,2298.18,0.0,2349.45,54.49,0.0,18.68,73.17,5.78,294.04,340.98,203.65,844.44,3267.06,549.6,278.23,460.31,1288.14,421.32,101.54,6.78,1817.78,269.17,534.72,514.58,58.1,67.54,5.19,1449.28,3267.06,222.33,37.4,414.89,2.44,47.95,48.77,475.88,0.0,269.17,0.0,534.1,1.75,56.19,10.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,51.27,51.27,2599.32,2599.32,0.0,2650.59,75.36,2.25,21.86,99.47,1.12,316.33,390.26,9.24,716.95,3467.01,643.04,273.52,151.68,1068.24,533.89,7.09,94.81,1704.03,568.87,494.2,550.71,72.25,15.53,61.42,1762.98,3467.01,320.91,621.0,0.0,434.0,47.94,37.37,615.45,0.0,568.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,51.27,51.27,3348.08,3348.08,0.0,3399.35,83.63,1.68,24.97,110.28,0.0,328.47,444.67,12.81,785.95,4295.58,668.66,270.91,126.57,1066.14,440.23,4.4,119.09,1629.86,1353.18,556.25,607.65,50.47,18.48,79.69,2665.72,4295.58,100.45,667.0,0.0,449.0,47.94,52.24,439.05,0.0,1353.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,50.78,50.78,3513.15,3513.15,0.0,3563.93,102.9,43.01,29.57,175.48,0.0,428.16,450.6,9.78,888.54,4627.95,656.62,283.45,164.13,1104.2,713.68,3.32,143.21,1964.41,1072.01,630.94,689.59,77.76,13.22,180.02,2663.54,4627.95,116.42,791.0,0.0,471.0,47.48,74.48,712.5,0.0,1072.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,50.8,50.8,4126.27,4126.27,9.65,4186.72,112.97,46.01,34.55,193.53,0.0,449.15,506.01,14.6,969.76,5350.01,667.62,283.04,229.08,1179.74,1038.49,2.94,199.49,2420.66,1151.39,734.3,774.98,117.18,15.38,136.12,2929.35,5350.01,427.92,972.0,0.0,543.0,47.48,75.1,1022.31,101.44,1049.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,50.81,50.81,4403.12,4403.12,10.89,4464.82,75.97,58.56,40.89,175.42,0.0,494.81,672.23,11.78,1178.82,5819.06,970.39,279.1,247.64,1497.13,1108.34,4.04,183.49,2793.0,715.18,730.49,806.63,568.84,25.38,179.54,3026.06,5819.06,605.74,911.0,0.0,601.0,47.48,71.9,1066.41,44.83,670.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,50.82,50.82,5484.98,5484.98,25.42,5561.22,75.86,62.42,45.02,183.3,55.0,793.82,1013.59,16.48,1878.89,7623.41,1142.05,280.51,281.5,1704.06,3312.26,4.82,181.5,5202.64,169.35,975.94,999.09,112.37,16.25,147.77,2420.77,7623.41,553.31,886.0,0.0,579.0,47.48,86.44,3268.03,0.0,169.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,50.83,50.83,6366.12,6366.12,0.0,6416.95,70.73,83.66,54.69,209.08,105.0,850.76,808.23,33.89,1797.88,8423.91,1456.53,275.77,207.34,1939.64,3298.7,5.02,185.57,5428.93,147.31,1372.7,1157.61,119.31,17.66,180.39,2994.98,8423.91,560.5,1605.0,0.0,730.0,47.48,195.27,3253.24,0.0,147.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,50.83,50.83,7057.33,7057.33,0.0,7108.16,376.51,157.6,64.62,598.73,0.0,938.96,1004.04,30.24,1973.24,9680.13,1716.32,2721.09,351.0,4788.41,1003.91,6.2,219.92,6018.44,442.71,1561.24,1305.12,156.05,23.96,172.61,3661.69,9680.13,730.57,1944.0,0.0,737.0,47.48,249.55,957.0,0.0,442.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,50.86,50.86,8286.53,8286.53,0.0,8337.39,376.11,166.74,79.54,622.39,0.0,1041.71,1178.95,190.32,2410.98,11370.76,2210.73,2723.9,135.46,5070.09,1053.85,7.75,221.41,6353.1,1759.39,1257.22,1405.53,382.17,29.61,183.74,5017.66,11370.76,726.73,1278.0,0.0,724.0,47.48,235.69,1019.77,0.0,1759.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,50.86,50.86,9625.54,9625.54,0.0,9676.4,392.08,216.66,112.62,721.36,0.0,1268.96,1360.13,244.28,2873.37,13271.13,3678.34,1523.17,105.82,5307.33,1136.1,7.37,248.66,6699.46,3036.92,1490.37,1555.91,214.64,22.75,251.08,6571.67,13271.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
