Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2015-03-31,92.57,92.57,499.38,499.38,0.0,591.94,72.1,59.07,11.66,1.59,144.42,612.41,212.14,131.82,12.0,968.36,1704.72,509.38,21.8,138.05,0.0,12.34,681.56,112.67,10.7,10.08,30.97,845.98,36.61,387.0,266.79,16.29,102.8,49.25,858.74,1704.72,131.06,0.0,0.0,0.0,84.59,0.0,112.67,36.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,92.57,92.57,605.54,605.54,0.0,698.12,6.89,61.12,18.93,1.84,88.78,1140.81,233.99,217.82,12.37,1604.99,2391.88,665.35,16.46,36.95,0.15,8.87,727.78,480.14,8.23,9.98,25.06,1251.19,1.63,522.84,366.18,26.2,137.14,86.7,1140.69,2391.88,125.8,0.0,0.0,0.0,84.59,206.3,269.48,0.0,1.63,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,185.13,185.14,717.48,717.48,0.0,902.62,6.7,72.94,13.25,3.1,95.99,475.31,746.29,153.73,24.9,1400.23,2398.85,688.08,11.6,30.09,0.23,4.67,734.67,505.99,5.09,10.9,30.21,1286.86,0.0,573.04,407.45,44.46,31.66,55.37,1111.98,2398.85,0.0,67.65,0.0,15.65,177.15,653.94,271.92,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,192.03,192.03,1096.85,1096.85,0.0,1288.88,5.35,72.33,12.24,3.36,93.28,209.49,699.66,248.97,30.42,1188.54,2570.7,683.52,6.54,113.81,0.48,4.26,808.61,532.43,5.51,9.03,28.36,1383.94,0.04,551.19,489.99,12.36,24.11,109.07,1186.76,2570.7,143.52,71.48,0.0,11.55,177.15,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,192.03,192.03,1198.85,1198.85,0.0,1390.88,3.24,84.01,16.86,3.73,107.84,105.46,1069.37,179.8,37.77,1392.4,2891.12,831.37,2.31,62.18,1.12,4.68,901.66,547.36,5.93,10.41,33.45,1498.81,0.04,674.97,588.38,13.69,25.39,89.84,1392.31,2891.12,185.27,117.05,0.0,5.61,177.15,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,192.04,192.04,1385.69,1385.69,0.0,1577.73,1.55,63.11,36.74,4.72,106.12,385.6,925.12,214.97,39.92,1565.61,3249.46,896.49,2.91,120.01,0.75,6.27,1026.43,592.31,6.31,11.74,21.03,1657.82,0.04,597.09,713.76,32.19,17.16,231.4,1591.64,3249.46,168.61,102.04,0.0,10.09,177.15,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,192.07,192.07,1561.13,1561.13,2.67,1755.87,74.72,64.05,30.1,4.7,173.57,596.08,406.58,249.73,58.15,1310.54,3239.98,1008.21,3.13,14.68,0.63,5.68,1032.33,596.06,6.7,12.55,18.01,1665.65,0.04,696.67,646.85,33.48,39.82,157.47,1574.33,3239.98,105.67,82.8,0.0,10.53,177.15,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,192.11,192.11,1767.88,1767.88,3.34,1963.33,5.16,49.88,41.22,3.45,99.71,1003.25,428.96,209.82,128.95,1770.98,3834.02,992.77,4.14,62.25,0.13,6.45,1065.74,685.75,8.3,25.49,55.05,1840.33,0.04,1047.18,693.57,19.97,45.28,187.65,1993.69,3834.02,102.85,185.22,0.0,16.03,177.15,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,192.16,192.16,1886.14,1886.14,3.7,2082.0,3.09,61.34,113.97,2.47,180.87,731.46,446.38,233.95,80.51,1492.3,3755.17,1139.07,15.38,62.83,0.18,20.32,1237.78,755.15,8.82,114.3,74.04,2190.09,0.04,871.32,464.01,12.52,29.21,187.98,1565.08,3755.17,94.0,278.0,0.0,42.24,177.15,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,192.21,192.21,2066.96,2066.96,0.0,2259.17,8.13,64.28,108.41,3.32,184.14,578.78,448.49,382.5,63.71,1473.48,3916.79,1237.71,13.34,19.84,1.78,45.01,1317.68,771.89,9.33,162.77,98.15,2359.82,0.0,974.28,346.87,37.67,15.43,182.72,1556.97,3916.79,71.37,259.19,0.0,60.46,177.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,192.27,192.27,2381.07,2381.07,0.0,2573.34,67.5,72.93,93.8,3.72,237.95,455.15,701.98,376.19,28.67,1561.99,4373.28,1286.7,14.84,35.09,0.0,0.0,1336.63,1286.61,0.85,60.44,124.02,2808.55,0.0,961.8,379.63,23.09,20.57,179.64,1564.73,4373.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
