Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2021-12-31,1544.1,0.0,1544.1,1235.42,35.57,-33.36,66.6,23.61,142.6,73.66,40.95,114.61,10.76,103.85,0.0,103.85,19.11,84.74,84.74,192.11,0.0,4.41,4.41
2022-03-31,1395.3,5.01,1400.31,1087.26,18.2,19.31,77.97,23.57,112.58,61.42,45.19,106.61,10.92,95.69,0.0,95.69,15.16,80.53,80.53,192.11,0.0,4.19,4.19
2022-06-30,1838.86,10.75,1849.61,1489.69,42.35,-6.06,74.15,23.96,132.2,93.32,6.93,100.25,14.43,85.82,0.0,85.82,22.03,63.79,63.79,192.16,0.0,3.32,3.32
2022-09-30,1797.96,0.0,1797.96,1390.34,51.8,10.23,69.02,24.76,150.9,100.91,14.4,115.31,17.71,97.6,0.0,97.6,24.55,73.05,73.05,192.16,0.0,3.8,3.8
2022-12-31,1740.51,0.0,1740.51,1333.68,25.08,53.9,78.46,25.29,138.03,86.07,98.75,184.82,15.71,169.11,0.0,169.11,32.94,136.17,136.17,192.16,0.0,7.09,7.08
2023-03-31,1490.33,6.03,1496.36,1254.89,16.94,-21.9,45.03,26.16,132.83,42.41,9.62,52.03,15.8,36.23,0.0,36.23,5.6,30.63,30.63,192.16,0.0,1.59,1.59
2023-06-30,1809.87,10.55,1820.42,1375.45,29.75,27.37,81.71,29.54,155.05,121.55,12.16,133.71,18.36,115.35,0.0,115.35,29.27,86.08,86.08,192.21,0.0,4.48,4.48
2023-09-30,1946.52,4.07,1950.59,1548.77,33.79,-33.52,87.04,29.34,140.3,144.87,46.37,191.24,17.33,173.91,0.0,173.91,37.72,136.19,136.19,192.21,0.0,7.09,7.09
2023-12-31,1816.72,3.22,1819.94,1410.62,19.4,16.85,66.42,29.46,145.59,131.6,11.35,142.95,13.97,128.98,0.0,128.98,30.57,98.41,98.41,192.21,0.0,5.12,5.12
2024-03-31,1486.97,9.87,1496.84,1208.82,14.97,-29.04,85.38,32.28,126.54,57.89,6.71,64.6,13.34,51.26,0.0,51.26,14.82,36.44,36.44,192.21,0.0,1.9,1.9
2024-06-30,1734.14,7.34,1741.48,1232.11,32.13,33.98,83.29,30.44,145.76,183.77,17.96,201.73,19.0,182.73,0.0,182.73,46.34,136.39,136.39,192.26,0.0,7.09,7.09
2024-09-30,1843.51,4.78,1848.29,1484.48,24.73,-100.76,67.69,31.43,150.52,190.2,11.63,201.83,27.11,174.72,0.0,174.72,42.78,131.94,131.94,192.26,0.0,6.86,6.86
2024-12-31,1865.74,3.68,1869.42,1425.24,24.46,0.35,86.12,30.93,137.99,164.33,75.8,240.13,21.64,218.49,0.0,218.49,52.32,166.17,166.17,192.26,0.0,8.64,8.64
2025-03-31,1545.03,4.85,1549.88,1225.07,21.36,-32.01,77.64,31.33,127.73,98.76,3.49,102.25,15.5,86.75,0.0,86.75,18.69,68.06,68.06,192.27,0.0,3.54,3.54
