Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Trade/Other Goods,Revaluation Reserves,Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,15.45,15.45,1717.31,1717.31,1732.75,1141.05,173.42,10.41,210.41,1535.29,1097.13,599.25,1468.25,214.6,3379.22,6647.26,2045.89,105.25,21.16,220.78,2393.08,2005.69,0.0,298.98,0.5,4698.25,733.52,529.6,178.71,505.08,1.74,1949.02,6647.26,1291.8,218.17,1.67,2193.27,7.15,4.4,0.96,2005.69,0.38,0.38,898.09,54.15,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,15.93,15.93,1929.04,1929.04,1944.97,1739.07,151.97,0.0,43.85,1934.89,340.43,498.43,397.17,71.67,1307.7,5187.55,1438.78,7.15,20.02,0.0,1465.94,1766.26,0.0,300.67,0.45,3533.32,515.86,318.77,136.74,676.95,5.92,1654.23,5187.55,804.64,166.29,1.67,1564.81,13.68,4.4,0.0,1766.26,0.0,0.0,958.7,66.7,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,15.93,15.93,1966.57,1966.57,1982.5,1123.36,153.88,0.0,45.44,1322.68,433.17,364.49,323.04,77.58,1198.27,4503.45,1408.18,4.07,33.85,0.85,1446.95,1699.48,0.0,283.74,0.0,3430.16,478.36,320.52,41.05,220.03,5.98,1073.29,4503.45,968.26,93.87,1.67,1233.94,0.5,4.4,0.0,1699.48,7.35,7.35,810.57,36.17,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,15.93,15.93,2026.88,2026.88,2042.81,1387.02,0.0,0.0,50.69,1437.71,177.08,486.91,233.3,13.39,910.68,4391.19,1417.39,3.76,64.62,0.78,1486.55,1699.94,9.4,2.95,48.04,3246.88,454.43,385.67,76.66,18.11,199.75,1144.31,4391.19,972.96,776.2,0.0,0.0,1088.1,4.4,0.0,1699.94,9.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,15.93,15.93,2233.45,2233.45,2249.38,1059.38,19.93,0.0,57.37,1136.68,190.64,749.18,280.31,18.35,1238.48,4624.54,1433.16,4.65,115.32,0.0,1553.13,1706.3,0.0,3.2,36.02,3298.65,585.58,493.66,37.51,20.58,188.56,1325.89,4624.54,832.39,1204.4,0.0,0.0,1440.2,4.4,0.0,1706.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,15.93,15.93,2324.38,2324.38,2340.31,1139.57,24.05,0.0,61.96,1225.58,462.71,596.05,218.2,20.78,1297.74,4863.63,1487.91,3.45,283.82,0.0,1775.18,1763.89,0.0,3.29,40.1,3582.46,491.94,480.52,34.74,3.18,270.79,1281.17,4863.63,678.83,1722.7,0.0,0.0,1242.2,4.4,0.0,1763.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,15.93,15.93,2591.37,2591.37,2607.3,1327.91,11.31,44.79,66.85,1450.86,622.97,618.58,111.95,21.73,1375.23,5433.39,1859.54,5.18,58.41,0.68,1923.81,1764.03,0.0,4.34,19.09,3711.26,656.38,425.45,257.73,6.66,375.91,1722.13,5433.39,478.39,1351.5,0.0,0.0,1551.5,4.4,0.0,1764.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,15.93,15.93,1266.52,1266.52,1282.45,420.0,8.86,7.81,5.34,442.0,73.0,15.9,23.29,7.97,120.15,1844.6,127.08,0.0,0.33,0.0,127.41,1645.98,0.0,1.73,3.23,1778.35,0.0,0.0,40.33,0.0,25.92,66.25,1844.6,70.39,911.7,0.0,0.0,1120.7,4.4,0.0,1645.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,15.93,15.93,1265.89,1265.89,1281.82,499.0,0.0,5.81,5.16,509.97,0.0,8.87,20.91,7.9,37.68,1829.47,123.54,0.0,0.06,0.0,123.6,1645.75,0.0,0.06,12.16,1781.57,0.0,21.23,22.51,0.0,4.16,47.9,1829.47,69.7,0.3,0.0,0.0,158.0,4.4,0.0,1645.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,15.93,15.93,2398.62,2398.62,2414.55,174.0,0.0,35.9,22.83,232.73,127.5,164.27,58.4,11.02,361.19,3008.47,549.51,137.89,46.97,0.0,734.37,1656.57,17.03,0.3,21.33,2429.59,313.6,188.52,10.99,0.02,65.74,578.88,3008.47,116.26,256.41,0.0,0.0,709.97,4.4,0.0,1656.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,15.9,15.9,2358.6,2358.6,2374.5,246.5,0.0,28.7,26.8,302.0,96.4,148.4,63.7,6.9,315.4,2991.9,572.4,138.9,37.0,0.0,748.3,1656.9,11.9,0.2,34.0,2451.3,250.9,194.2,36.1,0.1,59.3,540.6,2991.9,92.0,212.4,0.0,0.0,730.69,4.4,0.0,1656.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
