Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Revaluation Reserves,Equity Share Application Money,Foreign Currency Monetary Item Translation Difference A/C,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Preference Share Capital,Deferred Tax Assets [Net],Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,26.61,26.61,745.37,754.46,0.0,781.07,423.58,69.53,1.22,5.22,499.55,405.55,127.56,163.34,38.64,735.09,2015.71,530.68,39.82,8.12,0.0,578.62,58.37,136.52,2.02,775.53,210.31,523.32,15.29,403.48,37.79,1240.18,2015.71,167.84,0.0,242.98,0.0,0.0,58.37,50.0,50.0,9.09,0.0,0.0,5.76,1.56,4.27,0.0,39.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,26.61,26.61,793.97,802.68,0.0,829.28,326.02,71.52,0.71,5.89,404.13,412.41,125.54,274.4,41.93,854.27,2087.69,541.97,30.78,0.8,0.0,573.55,48.06,143.86,2.23,767.7,213.03,477.81,10.33,514.09,54.73,1319.99,2087.69,285.89,0.0,258.56,0.0,0.0,48.06,50.0,50.0,8.71,0.0,0.0,6.76,1.42,3.46,1.52,33.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,26.61,26.61,936.51,936.51,0.0,963.12,195.73,54.98,1.16,7.18,259.05,620.06,176.01,259.1,33.65,1088.82,2310.99,704.5,24.89,1.91,0.0,731.3,155.39,56.16,57.51,1000.36,274.09,610.93,12.7,168.25,194.66,1310.63,2310.99,185.04,0.0,191.95,0.0,0.0,155.39,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,26.61,26.61,1003.28,1003.28,0.0,1029.89,103.31,69.28,0.79,8.37,181.75,550.91,185.32,232.09,40.22,1008.54,2220.18,682.87,20.95,2.2,0.0,706.02,155.39,63.3,131.58,1056.3,293.03,624.01,14.07,58.74,124.03,1163.89,2220.18,12.9,0.0,155.89,0.0,0.0,155.39,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,26.66,26.66,1115.46,1115.46,0.0,1142.12,34.4,92.52,1.03,9.81,137.76,487.8,214.14,167.77,81.57,951.28,2231.16,667.69,17.8,20.19,0.0,705.68,155.39,29.01,102.13,992.21,310.86,630.01,22.35,54.49,171.23,1238.94,2231.16,19.05,0.0,115.3,0.0,0.0,155.39,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,26.68,26.68,1288.26,1288.26,0.0,1314.94,21.66,104.05,0.66,10.37,136.73,301.6,244.84,164.14,68.35,778.93,2230.6,697.92,16.02,16.0,0.0,729.94,155.39,8.03,111.85,1005.21,359.71,641.75,17.67,46.7,159.56,1225.39,2230.6,30.9,0.01,91.69,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,26.71,26.71,1493.57,1493.57,0.25,1520.53,1.53,78.47,5.32,11.1,96.42,397.37,264.24,129.06,52.78,843.45,2460.39,729.54,13.89,18.08,0.0,761.51,155.39,16.58,104.86,1038.34,374.18,823.05,18.24,40.74,165.84,1422.05,2460.39,35.19,0.01,95.14,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,26.71,26.71,1736.99,1736.99,0.2,1763.91,0.27,80.25,11.6,10.29,102.4,271.82,261.91,184.93,100.38,819.04,2685.35,778.39,11.51,37.78,0.0,827.68,155.39,9.73,67.83,1060.64,489.07,697.46,129.98,45.73,262.48,1624.72,2685.35,18.89,0.02,176.24,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,26.73,26.73,1960.07,1960.07,0.0,1986.81,5.02,76.9,7.54,11.11,100.58,184.88,304.26,158.94,5.64,653.72,2741.1,811.2,9.4,28.98,1.3,850.88,135.4,0.0,144.42,1130.71,536.85,755.76,108.89,24.37,184.52,1610.4,2741.1,382.66,0.0,0.0,0.0,0.0,135.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,26.73,26.73,2121.18,2121.18,4.09,2152.01,286.86,77.75,45.4,12.13,422.14,409.9,274.95,395.76,8.45,1089.05,3663.2,1205.08,7.95,325.65,1.3,1539.98,135.4,0.0,107.58,1782.95,715.42,824.06,130.77,22.26,187.74,1880.25,3663.2,208.1,0.0,0.0,0.0,0.0,135.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,26.74,26.74,2343.9,2343.9,6.73,2377.37,290.0,91.94,61.41,0.0,443.35,447.09,267.05,477.64,20.18,1211.96,4032.68,1650.13,6.86,52.93,1.3,1711.23,135.4,0.0,107.86,1954.49,779.69,978.15,99.96,14.76,205.63,2078.19,4032.68,114.68,0.0,0.0,0.0,0.0,135.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,26.76,26.76,2664.25,2664.25,0.0,2691.01,154.29,98.51,88.06,0.0,340.85,476.39,312.53,730.48,24.96,1544.36,4576.22,1759.58,7.0,23.46,0.0,1790.03,135.4,0.0,127.0,2052.42,1076.83,1182.18,57.15,11.26,196.38,2523.8,4576.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
