Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,516.38,0.0,516.38,249.0,1.68,2.94,36.51,10.14,68.63,66.43,81.04,2.73,83.77,10.96,72.82,0.0,72.82,25.45,47.37,47.37,26.66,3.55,3.55,0.0,0.0,0.0,0.0,0.0
2018-09-30,517.65,0.0,517.65,260.5,4.94,-7.02,46.46,10.74,67.3,53.77,80.95,4.21,85.16,9.16,76.0,0.0,76.0,26.46,49.54,49.54,26.66,3.72,3.72,0.0,0.0,0.0,0.0,0.0
2018-12-31,552.93,0.0,552.93,279.73,0.29,-1.53,43.27,10.69,72.32,63.05,85.12,2.75,87.87,7.64,80.24,0.0,80.24,28.14,52.1,52.1,26.66,3.91,3.91,0.0,0.0,0.0,0.0,0.0
2019-03-31,509.98,0.0,509.98,276.66,4.25,-36.1,45.14,10.86,76.64,71.73,60.79,3.59,64.38,7.73,56.66,0.0,56.66,17.61,39.05,39.05,26.68,2.93,2.93,0.0,0.0,0.0,0.0,0.0
2019-06-30,623.58,0.0,623.58,310.2,1.46,17.33,42.11,12.82,79.76,73.47,86.43,3.32,89.75,7.38,82.37,0.0,82.37,27.6,54.77,54.77,26.68,4.11,4.11,0.0,0.0,0.0,0.0,0.0
2019-09-30,570.17,0.0,570.17,307.08,-0.09,-12.79,46.43,13.22,74.51,68.46,73.36,1.87,75.23,7.68,67.55,-5.83,61.72,-16.87,78.59,78.59,26.68,5.89,5.87,0.0,0.0,0.0,0.0,0.0
2019-12-31,647.93,0.0,647.93,342.8,1.56,-18.75,49.56,13.09,78.18,92.07,89.41,1.82,91.23,8.1,83.13,-8.59,74.54,18.84,55.7,55.7,26.7,4.17,4.15,0.0,0.0,0.0,0.0,0.0
2020-03-31,585.36,0.0,585.36,310.83,0.67,-4.62,47.97,13.4,78.79,69.43,68.89,2.18,71.07,8.46,62.62,-8.56,54.05,15.61,38.45,38.45,26.71,2.89,2.88,0.0,0.0,0.0,0.0,0.0
2020-06-30,409.15,0.0,409.15,208.83,1.98,-25.18,38.72,12.88,49.44,59.58,62.92,1.87,64.79,6.57,58.22,0.0,58.22,14.15,44.07,44.07,26.71,3.3,3.3,0.0,0.0,0.0,0.0,0.0
2020-09-30,630.05,0.0,630.05,325.56,-0.33,-3.42,43.31,13.27,80.29,77.4,93.96,3.75,97.71,5.44,92.28,0.0,92.28,19.86,72.41,72.41,26.71,5.42,5.42,0.0,0.0,0.0,0.0,0.0
2020-12-31,684.21,0.0,684.21,334.12,-0.43,2.95,47.21,13.55,92.22,83.58,111.0,2.56,113.56,5.39,108.17,0.0,108.17,27.64,80.53,80.53,26.71,6.03,6.02,0.0,0.0,0.0,0.0,0.0
2021-03-31,694.73,0.0,694.73,370.32,0.55,-12.52,47.09,14.2,94.56,93.36,87.17,11.9,99.06,4.62,94.44,0.0,94.44,20.89,73.55,73.55,26.71,5.51,5.51,0.0,0.0,0.0,0.0,0.0
2021-06-30,602.76,0.0,602.76,333.94,0.8,-18.59,43.21,15.38,76.09,75.21,76.72,5.54,82.26,4.63,77.62,0.0,77.62,17.8,59.83,59.83,26.72,4.48,4.48,0.0,0.0,0.0,0.0,0.0
2021-09-30,708.83,0.0,708.83,375.69,0.01,8.08,37.89,16.17,75.1,100.6,95.29,1.81,97.1,3.06,94.05,0.0,94.05,24.78,69.26,69.26,26.73,5.18,5.18,0.0,0.0,0.0,0.0,0.0
2021-12-31,765.99,0.0,765.99,414.41,-0.41,-1.99,35.34,16.94,86.09,113.53,102.07,1.7,103.77,3.12,100.64,0.0,100.64,23.93,76.71,76.71,26.73,5.74,5.74,0.0,0.0,0.0,0.0,0.0
2022-03-31,812.52,0.0,812.52,455.22,1.71,8.55,37.42,16.39,98.5,131.48,63.25,1.98,65.23,2.29,62.94,0.0,62.94,16.58,46.36,46.36,26.73,3.75,3.75,0.0,0.0,0.0,0.0,0.0
2022-06-30,757.43,0.0,757.43,462.1,-0.35,-34.24,36.43,16.73,94.04,106.92,75.79,4.37,80.16,2.97,77.19,0.0,77.19,18.9,58.29,58.29,26.73,4.36,4.36,0.0,0.0,0.0,0.0,0.0
2022-09-30,761.39,0.0,761.39,472.54,0.52,-28.02,40.18,17.19,73.16,112.94,72.89,0.94,73.83,4.05,69.79,0.0,69.79,17.96,51.83,51.83,26.73,3.88,3.88,0.0,0.0,0.0,0.0,0.0
2022-12-31,792.15,0.0,792.15,469.28,2.65,-7.12,45.54,17.06,78.58,106.36,79.8,2.72,82.52,6.09,76.43,0.0,76.43,19.39,57.05,57.05,26.73,4.27,4.27,0.0,0.0,0.0,0.0,0.0
2023-03-31,831.84,0.0,831.84,517.53,3.78,-26.89,46.77,19.92,83.24,128.47,59.01,1.37,60.39,9.01,51.37,0.0,51.37,14.11,37.26,37.26,26.73,2.79,2.79,0.0,0.0,0.0,0.0,0.0
2023-06-30,953.92,0.0,953.92,549.39,-1.07,-10.33,41.33,24.34,107.81,147.26,95.18,1.12,96.3,12.27,84.03,0.0,84.03,20.78,63.25,63.25,26.73,4.73,4.73,0.0,0.0,0.0,0.0,0.0
2023-09-30,925.0,0.0,925.0,545.52,-0.52,-28.31,48.63,26.12,99.51,138.95,95.09,0.69,95.78,12.47,83.31,0.0,83.31,21.43,61.88,61.88,26.74,4.63,4.63,0.0,0.0,0.0,0.0,0.0
2023-12-31,1160.91,0.0,1160.91,686.79,1.48,-13.12,58.87,31.79,113.22,170.83,111.05,4.83,115.88,17.72,98.16,0.0,98.16,24.31,73.85,73.85,26.74,5.52,5.52,0.0,0.0,0.0,0.0,0.0
2024-03-31,1078.68,0.0,1078.68,639.64,-0.56,-2.42,46.95,31.52,112.06,160.52,90.98,2.24,93.22,16.69,76.53,0.0,76.53,19.75,56.79,56.79,26.74,4.25,4.25,0.0,0.0,0.0,0.0,0.0
2024-06-30,1136.54,0.0,1136.54,708.39,-0.11,-43.7,50.36,32.85,99.49,173.13,116.13,3.68,119.81,18.45,101.36,0.0,101.36,25.04,76.31,76.31,26.74,5.71,5.71,0.0,0.0,0.0,0.0,0.0
2024-09-30,1116.3,0.0,1116.3,608.12,-0.35,21.51,51.33,35.69,105.58,166.93,127.48,3.2,130.67,18.83,111.85,0.0,111.85,29.66,82.19,82.19,26.75,6.14,6.13,0.0,0.0,0.0,0.0,0.0
2024-12-31,1294.24,0.0,1294.24,794.69,-0.41,-56.88,62.9,35.61,121.78,188.21,148.34,1.08,149.42,19.51,129.92,0.0,129.92,33.94,95.98,95.98,26.76,7.18,7.17,0.0,0.0,0.0,0.0,0.0
2025-03-31,1304.08,0.0,1304.08,789.87,-0.5,-52.24,52.31,35.98,149.64,187.38,141.63,1.38,143.01,21.5,121.5,0.0,121.5,30.79,90.71,90.71,26.76,6.78,6.78,0.0,0.0,0.0,0.0,0.0
