Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-06-30,538.2,538.2,4.9,0.0,352.3,22.5,129.3,29.2,101.5,130.7,1.7,129.0,0.0,129.0,17.4,111.6,111.6,61.8,18.06,17.89,0.0,0.0,0.0,0.0,0.0
2019-09-30,544.1,544.1,3.5,0.0,351.8,22.1,106.9,59.8,18.3,78.1,2.1,76.0,0.0,76.0,17.6,58.4,58.4,62.4,9.42,9.35,0.0,0.0,0.0,0.0,0.0
2019-12-31,590.6,590.6,23.6,0.0,361.2,23.2,105.4,77.2,81.6,158.8,1.6,157.2,0.0,157.2,22.1,135.1,135.1,62.5,21.64,21.58,0.0,0.0,0.0,0.0,0.0
2020-03-31,558.1,558.1,21.5,0.0,352.2,22.4,117.7,44.3,83.2,127.5,2.4,125.1,0.0,125.1,7.7,117.4,117.4,62.5,18.79,18.77,0.0,0.0,0.0,0.0,0.0
2020-06-30,576.5,576.5,34.1,0.0,383.1,23.6,89.5,46.2,78.1,124.3,1.3,123.0,0.0,123.0,14.6,108.4,108.4,60.5,17.4,17.24,0.0,0.0,0.0,0.0,0.0
2020-09-30,608.4,608.4,45.6,0.0,384.3,24.5,103.1,50.9,4.8,55.7,1.9,53.8,0.0,53.8,9.2,44.6,44.6,60.6,7.36,7.25,0.0,0.0,0.0,0.0,0.0
2020-12-31,612.3,612.3,29.8,0.0,401.6,24.3,102.7,53.9,7.0,60.9,1.6,59.3,0.0,59.3,10.3,49.0,49.0,60.6,8.09,7.94,0.0,0.0,0.0,0.0,0.0
2021-03-31,615.2,615.2,7.4,0.0,425.1,23.8,126.3,32.6,15.7,48.3,1.0,47.3,0.0,47.3,9.4,37.9,37.9,60.6,6.26,6.13,0.0,0.0,0.0,0.0,0.0
2021-06-30,736.9,736.9,40.0,-10.7,504.6,21.8,139.0,42.2,146.8,189.0,8.6,180.4,0.0,180.4,8.7,171.7,171.7,60.6,28.34,27.69,0.0,0.0,0.0,0.0,0.0
2021-09-30,75.2,75.2,-17.4,21.4,23.0,-1.1,4.2,45.1,-73.5,-28.4,4.7,-33.1,0.0,-33.1,12.3,-45.4,-45.4,60.6,-7.49,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,879.9,879.9,34.3,0.0,544.7,20.6,165.0,115.3,82.0,197.3,14.9,182.4,0.0,182.4,16.2,166.2,166.2,60.9,27.39,26.76,0.0,0.0,0.0,0.0,0.0
2022-03-31,884.3,884.3,1.0,0.0,579.6,20.7,185.0,98.0,98.4,196.4,15.0,181.4,0.0,181.4,1.1,180.3,180.3,60.9,29.6,29.04,0.0,0.0,0.0,0.0,0.0
2022-06-30,971.9,971.9,36.3,0.0,654.2,28.1,187.4,65.9,98.6,164.5,13.6,150.9,0.0,150.9,16.3,134.6,134.6,60.9,22.1,21.71,0.0,0.0,0.0,0.0,0.0
2022-09-30,1043.9,1043.9,0.0,0.0,706.8,26.8,225.1,85.2,69.8,155.0,16.1,138.9,0.0,138.9,21.9,117.0,117.0,61.0,19.18,18.84,0.0,0.0,0.0,0.0,0.0
2022-12-31,1088.0,1088.0,0.0,0.0,719.5,24.1,214.3,130.1,159.4,289.5,15.9,273.6,0.0,273.6,33.9,239.7,239.7,61.1,39.31,38.56,0.0,0.0,0.0,0.0,0.0
2023-03-31,1126.7,1126.7,0.2,0.0,806.1,29.7,226.2,64.5,260.1,324.6,13.2,311.4,-52.3,259.1,17.9,241.2,241.2,61.1,39.49,38.76,0.0,0.0,0.0,0.0,0.0
2023-06-30,1140.3,1140.3,0.1,0.0,818.1,30.1,253.8,38.2,197.0,235.2,13.9,221.3,0.0,221.3,10.3,211.0,211.0,61.1,34.54,33.87,0.0,0.0,0.0,0.0,0.0
2023-09-30,1219.2,1219.2,0.0,0.0,862.0,31.3,247.1,78.8,36.5,115.3,18.1,97.2,0.0,97.2,20.5,76.7,76.7,61.5,12.54,12.54,0.0,0.0,0.0,0.0,0.0
2023-12-31,1264.6,1264.6,0.0,0.0,799.7,32.5,292.3,140.1,307.9,448.0,18.8,429.2,0.0,429.2,19.2,410.0,410.0,61.8,66.55,65.56,0.0,0.0,0.0,0.0,0.0
2024-03-31,1224.8,1224.8,0.0,0.0,799.2,34.4,267.0,124.2,218.4,342.6,21.5,321.1,0.0,321.1,27.0,294.1,294.1,61.8,47.6,47.2,0.0,0.0,0.0,0.0,0.0
2024-06-30,1209.5,1209.5,0.0,0.0,829.9,31.3,305.7,42.6,89.6,132.2,17.2,115.0,0.0,115.0,33.8,81.2,81.2,66.7,12.76,12.67,0.0,0.0,0.0,0.0,0.0
2024-09-30,1325.8,1325.8,0.0,0.0,967.8,37.9,250.5,69.6,198.6,268.2,5.4,262.8,0.0,262.8,33.3,229.5,229.5,66.7,34.41,34.2,0.0,0.0,0.0,0.0,0.0
2024-12-31,1432.7,1432.7,0.0,0.0,1034.7,40.6,311.3,46.1,109.4,155.5,12.6,142.9,0.0,142.9,37.0,105.9,105.9,66.9,15.85,15.7,0.0,0.0,0.0,0.0,0.0
2025-03-31,1589.0,1589.0,0.0,0.0,1052.7,41.1,423.4,71.8,88.0,159.8,18.5,141.3,0.0,141.3,30.4,110.9,110.9,66.9,16.57,16.42,0.0,0.0,0.0,0.0,0.0
