Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Preference Share Capital,Share Capital Suspense,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Trade/Other Goods,Equity Share Application Money,Revaluation Reserves,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,43.08,46.24,147.34,147.34,0.0,0.0,193.58,8508.56,0.0,276.5,7.4,8792.46,2402.98,2839.49,1460.7,3.45,6706.61,15692.65,9418.12,19.51,153.38,0.0,9591.01,169.77,142.1,12.11,9914.99,0.69,3304.88,1689.36,48.66,730.05,4.02,5777.66,15692.65,5134.92,204.36,0.0,3361.0,0.34,5.15,0.0,169.77,0.77,3.16,0.0,0.0,4214.21,438.62,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,45.28,46.24,-218.21,-218.21,0.0,0.0,-171.98,8070.23,0.0,209.07,5.2,8284.51,2333.14,1315.73,1399.77,2.3,5050.94,13529.66,7380.03,14.17,137.32,0.0,7531.52,103.13,161.82,0.2,7796.67,0.31,1720.57,956.79,41.14,3012.87,1.33,5732.99,13529.66,1890.6,157.55,0.0,1911.6,44.61,5.15,0.0,103.13,0.47,0.96,366.19,0.0,2876.02,137.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,46.24,46.24,-634.91,-634.91,0.0,0.0,-588.67,7323.27,0.0,77.92,6.13,7407.32,2053.85,1658.99,1570.39,0.52,5283.76,12468.59,4842.41,16.47,54.2,0.0,4913.08,483.05,124.1,9.63,5529.87,0.28,1643.72,922.46,70.2,4297.17,4.89,6938.72,12468.59,1257.75,130.57,0.0,1908.45,0.4,5.15,0.0,483.05,0.4,0.0,366.19,0.0,2908.27,180.05,27.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,79.89,79.89,1636.31,1636.31,25.01,0.0,1741.21,3381.99,0.0,126.11,7.4,3515.5,1738.13,1643.59,1631.89,0.55,5014.16,10270.87,6371.46,20.1,29.73,0.0,6421.29,480.19,22.9,28.81,7072.34,0.97,1754.68,805.01,41.06,23.86,572.95,3198.53,10270.87,4017.46,0.0,0.0,0.0,0.0,5.15,0.0,480.68,0.48,0.0,0.0,119.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,95.84,702.34,2255.78,2255.78,0.0,0.0,2958.12,2944.4,45.52,400.08,4.65,3394.65,765.54,1940.23,1105.44,0.34,3811.55,10164.32,6124.3,19.19,141.78,0.0,6285.27,484.14,39.91,61.65,6870.97,0.47,2012.36,828.29,36.6,11.63,404.0,3293.35,10164.32,3281.29,4038.09,0.0,2559.98,0.0,5.15,0.0,484.14,0.47,606.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,95.84,790.76,2378.67,2378.67,0.0,0.0,3169.43,2457.77,126.39,362.73,5.98,2952.87,472.97,2320.13,1105.4,0.62,3899.12,10021.42,6113.37,29.41,20.14,5.64,6168.56,486.37,42.52,31.37,6728.82,0.4,2044.16,842.52,14.08,12.47,378.97,3292.6,10021.42,4110.1,4887.81,0.0,0.0,2374.76,5.15,0.0,486.37,0.4,694.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,97.45,97.45,2559.87,2559.87,0.0,0.0,2657.32,2715.57,217.87,426.45,9.59,3369.48,397.56,2432.57,1250.38,0.65,4081.16,10107.96,5938.28,31.12,9.13,2.4,5980.93,486.93,110.08,78.34,6656.28,2.53,2330.41,779.41,44.38,11.27,283.68,3451.68,10107.96,3743.13,4366.1,0.0,0.0,2676.25,5.15,0.0,489.24,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,97.45,97.45,3001.61,3001.61,53.72,0.0,3152.78,2545.9,490.6,389.94,10.72,3437.16,319.02,2475.22,879.94,0.55,3674.73,10264.67,5652.72,26.01,49.22,5.5,5733.45,490.56,110.98,119.92,6454.91,0.58,2466.91,981.66,89.2,11.4,260.01,3809.76,10264.67,4012.98,2146.82,0.0,0.0,3697.71,5.15,0.0,490.56,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,105.1,105.1,4830.32,4830.32,0.0,0.0,4935.42,1370.34,817.79,199.17,7.57,2394.87,1424.09,3756.9,1290.88,0.55,6472.42,13802.71,5409.97,31.53,342.6,6.96,5791.06,494.86,85.95,711.27,7083.14,70.66,3577.36,2301.86,198.54,7.07,564.08,6719.57,13802.71,5074.81,7631.68,0.0,0.0,5987.3,5.15,0.0,494.86,70.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,164.69,164.69,11292.2,11292.2,0.0,0.0,11456.89,2755.97,933.6,509.59,34.28,4233.44,733.52,7747.49,1966.77,1.61,10449.39,26139.72,8618.11,836.45,508.64,11.56,9974.76,871.08,103.55,722.76,11672.15,300.7,7718.87,3813.66,898.12,7.26,1728.96,14467.57,26139.72,1463.07,13075.96,0.0,0.0,6501.65,5.15,0.0,871.08,300.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,164.69,164.69,13525.78,13525.78,0.0,9.52,13699.99,2599.98,956.98,525.7,43.33,4125.99,1195.73,6925.73,1567.21,3.0,9691.67,27517.65,8778.29,763.52,929.76,27.4,10498.97,2441.1,701.78,500.88,14142.73,363.2,7440.28,2997.48,1377.63,20.85,1175.48,13374.92,27517.65,2154.44,17453.04,0.0,0.0,6856.27,5.15,0.0,2441.1,363.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,164.73,164.73,16032.15,16032.15,0.0,0.0,16196.88,2764.14,976.56,501.66,58.41,4300.77,1589.58,9145.38,1773.46,3.6,12512.02,33009.67,8869.8,630.75,1608.64,0.0,11109.19,3374.1,2779.2,611.86,17874.35,55.69,8512.8,3866.48,1856.91,21.37,822.07,15135.32,33009.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
