Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Revaluation Reserves,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2014-03-31,29.68,29.68,809.51,911.91,941.59,35.39,0.0,5.19,153.94,184.27,316.87,133.73,43.21,678.08,1773.61,519.6,0.0,52.98,0.0,572.58,136.47,29.06,64.31,802.42,0.0,375.75,447.26,8.8,102.54,36.84,971.19,1773.61,163.98,387.16,1045.26,0.0,1.96,236.15,86.27,0.0,113.36,28.46,7.68,24.11,102.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,29.68,29.68,986.1,986.1,1015.78,44.41,20.13,15.86,134.48,164.14,262.63,142.22,42.56,611.55,1761.81,474.05,0.21,104.08,0.0,578.34,148.82,44.82,54.13,826.11,0.0,349.65,439.19,6.4,107.46,33.0,935.7,1761.81,274.66,371.05,1163.41,0.0,1.96,376.99,98.11,0.0,54.08,15.91,5.83,18.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,29.68,29.68,1562.47,1562.47,1592.15,64.2,21.7,17.23,124.6,245.6,294.19,120.82,7.0,667.61,2384.36,712.83,0.12,169.66,3.22,885.83,445.81,13.67,81.35,1426.66,0.0,374.17,420.12,5.32,0.0,158.09,957.7,2384.36,162.25,351.05,1148.03,24.48,1.96,355.85,89.96,0.0,21.47,6.79,15.67,525.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,29.68,29.68,1891.14,1891.14,1920.82,99.75,21.44,20.04,141.23,134.0,329.06,87.01,7.62,557.69,2619.74,927.69,0.02,36.99,3.22,967.92,531.57,7.01,79.28,1585.78,0.0,367.89,507.06,7.21,5.18,146.62,1033.96,2619.74,133.88,0.0,1332.49,0.0,1.96,432.43,99.14,0.0,0.0,0.0,0.0,629.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,29.68,29.68,2167.86,2167.86,2197.54,124.65,22.57,17.71,164.93,0.01,470.46,77.85,8.36,556.68,2919.15,918.87,0.01,69.56,3.22,991.66,594.81,5.03,47.19,1638.69,0.0,378.95,717.68,22.17,2.04,159.62,1280.46,2919.15,135.8,0.0,1477.69,0.0,1.96,469.69,125.12,0.0,0.0,0.0,0.0,671.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,29.68,29.68,2619.88,2619.88,2649.56,122.57,25.0,18.7,166.27,0.0,418.1,82.73,29.22,530.05,3345.88,917.84,0.01,70.31,3.22,991.38,728.68,0.0,43.51,1763.57,197.64,427.81,762.18,28.62,4.92,161.14,1582.31,3345.88,187.71,764.78,1874.27,0.19,1.96,529.71,185.2,197.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,29.68,29.68,3040.7,3040.7,3070.38,84.44,2.72,19.43,106.59,0.0,478.46,156.91,36.87,672.24,3849.21,903.48,0.63,234.89,3.22,1142.22,702.01,17.5,63.54,1925.27,627.49,427.46,718.93,8.79,0.0,141.27,1923.94,3849.21,217.09,683.39,1794.4,2.15,1.96,466.76,218.37,627.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,29.61,29.61,3681.74,3681.74,3711.35,91.87,2.53,24.23,118.63,0.0,562.68,157.92,36.87,757.47,4587.45,1054.55,1.34,238.92,3.22,1298.03,832.92,30.85,57.39,2219.19,717.81,510.57,713.53,308.73,0.0,117.62,2368.26,4587.45,180.99,549.12,1534.61,0.0,1.95,597.72,222.03,717.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,29.61,29.61,4286.78,4286.78,4316.39,90.36,2.73,27.59,120.68,72.94,619.95,175.11,45.56,913.56,5350.63,1272.2,0.78,173.44,3.22,1449.64,1011.07,349.02,49.09,2858.82,539.54,701.03,1058.83,20.75,26.72,144.94,2491.81,5350.63,195.58,1005.35,2254.15,0.0,1.95,759.9,777.92,539.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,29.53,29.53,4559.84,4559.84,4589.37,86.18,2.86,30.25,119.29,5.41,530.8,169.57,16.46,722.24,5430.9,1345.13,0.26,356.31,3.22,1704.92,955.42,678.38,58.53,3397.25,172.42,647.64,893.86,3.09,194.6,122.04,2033.65,5430.9,100.51,917.61,2314.82,15.58,1.95,645.15,466.96,172.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,29.46,29.46,5059.94,5059.94,5089.4,126.82,3.09,28.72,158.63,10.52,560.67,169.73,15.85,756.77,6004.8,1652.21,1.32,217.27,3.22,1874.02,2049.51,18.71,46.85,3989.09,410.41,563.2,848.6,11.14,53.54,128.82,2015.71,6004.8,75.33,717.81,1793.22,12.66,1.95,901.43,1545.78,410.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,29.46,29.46,5508.65,5508.65,5538.11,164.19,3.7,33.3,201.19,8.06,609.73,178.77,15.4,811.96,6551.26,1741.15,0.78,91.36,0.0,1833.29,2071.41,8.0,48.85,3961.55,757.8,655.36,1027.22,4.27,33.22,111.84,2589.71,6551.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
