Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-06-30,1037.71,0.0,1037.71,551.31,34.77,-72.96,94.57,64.83,35.75,149.25,180.19,30.12,210.31,0.38,209.93,0.0,209.93,53.84,156.09,156.09,29.59,52.76,52.76,0.0,0.0,0.0,0.0,0.0
2021-09-30,1211.65,0.0,1211.65,638.83,47.93,-24.03,106.29,70.02,36.54,167.96,168.11,29.57,197.68,0.18,197.5,0.0,197.5,48.68,148.82,148.82,29.59,50.3,50.3,0.0,0.0,0.0,0.0,0.0
2021-12-31,1344.57,0.0,1344.57,733.03,35.34,-88.14,0.0,66.76,37.57,364.07,195.94,7.49,203.43,0.59,202.84,0.0,202.84,48.73,154.11,154.11,29.59,52.09,52.09,0.0,0.0,0.0,0.0,0.0
2022-03-31,1398.82,0.0,1398.82,668.06,42.22,58.11,126.22,74.78,36.62,220.21,172.6,22.89,195.49,1.79,193.7,0.0,193.7,45.19,148.51,148.51,29.59,50.19,50.19,0.0,0.0,0.0,0.0,0.0
2022-06-30,1425.75,0.0,1425.75,739.1,52.75,-33.23,0.0,74.73,39.76,385.9,166.74,46.56,213.3,0.6,212.7,0.0,212.7,54.16,158.54,158.54,29.51,53.67,53.67,0.0,0.0,0.0,0.0,0.0
2022-09-30,1355.68,0.0,1355.68,687.45,58.99,-31.34,170.57,78.65,40.02,202.83,148.51,71.61,220.12,0.37,219.75,0.0,219.75,51.45,168.3,168.3,29.51,57.0,57.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,1194.47,0.0,1194.47,567.65,34.2,13.08,0.0,71.33,41.31,328.45,138.45,44.92,183.37,0.42,182.95,0.0,182.95,46.08,136.87,136.87,29.51,46.36,46.36,0.0,0.0,0.0,0.0,0.0
2023-03-31,1085.88,0.0,1085.88,490.32,40.8,62.23,0.0,76.75,41.76,294.83,79.19,36.35,115.54,0.73,114.81,0.0,114.81,26.37,88.44,88.44,29.51,29.96,29.96,0.0,0.0,0.0,0.0,0.0
2023-06-30,1030.24,0.0,1030.24,537.5,43.26,-41.13,0.0,79.18,42.74,264.52,104.17,27.48,131.65,0.52,131.13,0.0,131.13,34.55,96.58,96.58,29.51,32.72,32.72,0.0,0.0,0.0,0.0,0.0
2023-09-30,1109.77,0.0,1109.77,482.67,54.55,89.35,0.0,80.03,44.31,263.82,95.04,42.45,137.49,0.61,136.88,0.0,136.88,33.55,103.33,103.33,29.51,35.01,35.01,0.0,0.0,0.0,0.0,0.0
2023-12-31,1106.17,0.0,1106.17,544.51,39.92,22.38,0.0,81.14,46.94,269.16,102.12,43.99,146.11,0.46,145.65,0.0,145.65,35.89,109.76,109.76,29.44,37.2,37.2,0.0,0.0,0.0,0.0,0.0
2024-03-31,1111.52,0.0,1111.52,559.72,19.75,20.71,0.0,80.25,50.23,305.04,75.82,20.69,96.51,0.66,95.85,0.0,95.85,20.95,74.9,74.9,29.44,25.4,25.4,0.0,0.0,0.0,0.0,0.0
2024-06-30,1207.51,0.0,1207.51,650.93,15.38,-53.94,143.3,85.8,50.91,180.85,134.28,14.07,148.35,0.63,147.72,0.0,147.72,38.54,109.18,109.18,29.44,37.08,37.08,0.0,0.0,0.0,0.0,0.0
2024-09-30,1278.68,0.0,1278.68,695.51,12.0,-68.93,0.0,94.98,51.65,351.45,142.02,39.28,181.3,3.67,177.63,0.0,177.63,48.88,128.75,128.75,29.44,43.73,43.73,0.0,0.0,0.0,0.0,0.0
2024-12-31,1273.71,0.0,1273.71,659.48,15.03,-1.01,0.0,90.15,55.22,347.01,107.83,25.13,132.96,0.47,132.49,0.0,132.49,39.83,92.66,92.66,29.44,31.47,31.47,0.0,0.0,0.0,0.0,0.0
2025-03-31,1314.79,0.0,1314.79,677.82,14.59,5.21,137.96,93.36,55.26,218.07,112.52,54.51,167.03,1.54,165.49,0.0,165.49,39.8,125.69,125.69,29.44,42.69,42.69,0.0,0.0,0.0,0.0,0.0
