Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2021-03-31,398.83,398.83,144.16,3.18,0.21,76.32,7.77,137.41,29.77,50.93,80.71,2.17,78.54,0.0,78.54,20.54,58.0,58.0,114.55,0.0,5.06,5.06
2021-06-30,304.19,304.19,160.31,7.17,0.94,67.35,7.38,66.42,-5.38,39.83,34.45,0.31,34.14,-7.69,26.45,5.86,20.59,20.59,114.55,0.0,1.8,1.8
2021-09-30,421.83,421.83,198.54,1.18,-0.03,69.91,8.83,97.31,46.09,36.21,82.3,0.65,81.65,0.0,81.65,22.86,58.79,58.79,114.55,0.0,5.13,5.13
2021-12-31,486.88,486.88,266.76,0.01,1.74,63.27,9.86,103.11,42.12,43.83,85.95,0.0,85.95,0.0,85.95,23.01,62.95,62.95,114.55,0.0,5.49,5.49
2022-03-31,544.61,544.61,309.59,0.01,-2.27,82.17,9.65,122.48,22.99,40.39,63.38,0.19,63.19,0.0,63.19,15.99,47.2,47.2,114.55,0.0,4.12,4.12
2022-06-30,579.77,579.77,373.53,5.73,3.24,79.87,9.47,83.93,24.0,40.85,64.86,0.61,64.24,0.0,64.24,14.07,50.18,50.18,114.55,0.0,4.38,4.38
2022-09-30,682.01,682.01,357.3,71.64,1.49,75.59,9.75,127.74,38.51,40.82,79.33,0.55,78.78,0.0,78.78,20.05,58.73,58.73,114.55,0.0,5.13,5.13
2022-12-31,699.15,699.15,432.91,6.11,-3.73,78.24,9.92,138.75,36.94,50.24,87.17,1.27,85.9,0.0,85.9,21.98,63.92,63.92,114.55,0.0,5.58,5.58
2023-03-31,601.17,601.17,331.51,28.63,3.72,83.2,10.02,133.66,10.42,69.92,80.34,4.04,76.3,0.0,76.3,21.0,55.3,55.3,114.55,0.0,4.83,4.83
2023-06-30,755.9,755.9,445.43,1.26,14.94,85.4,10.13,162.81,35.93,70.64,106.57,4.63,101.94,0.0,101.94,25.26,76.68,76.68,114.55,0.0,6.69,6.69
2023-09-30,897.91,897.91,602.9,36.7,-23.27,82.88,10.35,149.94,38.42,71.55,109.97,2.48,107.49,0.0,107.49,26.75,80.74,80.74,114.55,0.0,7.05,7.05
2023-12-31,923.1,923.1,545.98,21.39,-1.62,86.26,10.44,222.38,38.28,81.51,119.8,1.13,118.67,0.0,118.67,30.42,88.25,88.25,114.55,0.0,7.7,7.7
2024-03-31,1015.73,1015.73,466.06,137.72,3.89,94.4,10.41,223.09,80.15,75.92,156.07,3.26,152.82,0.0,152.82,41.22,111.6,111.6,114.55,0.0,9.74,9.74
2024-06-30,1009.72,1009.72,598.53,116.98,-33.57,90.28,10.44,181.25,45.81,73.87,119.68,4.24,115.44,0.0,115.44,28.25,87.19,87.19,114.55,0.0,7.61,7.61
2024-09-30,1152.92,1152.92,807.2,28.61,-3.52,82.51,10.71,169.38,58.03,74.91,132.94,2.41,130.53,0.0,130.53,32.76,97.77,97.77,114.55,0.0,8.54,8.54
2024-12-31,1271.01,1271.01,874.42,23.33,16.94,90.77,11.34,190.25,63.96,72.12,136.08,2.31,133.76,0.0,133.76,35.58,98.19,98.19,114.55,0.0,8.57,8.57
2025-03-31,1642.04,1642.04,1044.54,102.31,-40.38,97.28,10.01,217.31,210.97,113.94,324.91,1.36,323.55,0.0,323.55,79.3,244.25,244.25,114.55,0.0,21.32,21.32
