Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Long Term Borrowings,Raw Materials,Other Non-Current Assets,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,29.53,29.53,2582.51,2582.51,2612.03,0.0,8.12,0.41,8.53,3088.99,5197.08,77.88,75.81,8439.77,11060.33,70.76,0.0,70.76,116.8,41.51,229.89,495.68,2434.03,7087.93,431.47,381.34,10830.44,11060.33,137.22,21885.57,19168.96,0.0,14.78,0.0,116.8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,29.53,29.53,2810.91,2810.91,2840.43,0.0,7.34,0.41,7.75,3826.5,8725.36,22.92,104.42,12679.19,15527.38,69.11,0.0,69.11,167.83,41.53,279.3,481.75,2910.63,11108.29,328.06,419.35,15248.08,15527.38,138.12,35543.87,16936.22,0.0,14.78,0.0,167.83,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,29.53,29.53,3250.66,3250.66,3280.18,0.0,6.82,0.41,7.23,4461.74,11274.67,13.73,43.73,15793.87,19081.28,67.36,0.89,68.25,636.08,1910.47,2615.63,399.06,3668.55,11652.39,312.55,433.09,16465.65,19081.28,50.07,37464.94,36852.21,0.0,14.78,0.0,636.08,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,29.53,29.53,3712.0,3712.0,3741.52,4.63,6.63,0.49,11.74,5434.93,11975.53,15.62,19.66,17445.74,21199.01,66.44,1.22,67.66,731.52,1919.32,2718.49,531.72,3344.8,13774.09,343.72,486.18,18480.52,21199.01,0.0,44039.62,0.0,41878.95,14.78,0.0,731.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,29.53,29.53,4120.7,4120.7,4150.23,4.62,6.45,0.59,11.66,8594.55,7102.48,23.24,47.23,15767.5,19929.38,65.28,1.86,67.15,719.53,1918.72,2705.4,1050.84,1596.91,13625.99,431.77,518.46,17223.98,19929.38,4.94,32337.63,0.0,28366.31,14.78,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,29.53,29.53,4533.24,4533.24,4562.76,4.09,6.42,0.67,11.18,6072.32,10475.04,24.88,23.96,16596.21,21170.15,64.23,0.35,64.58,2602.27,49.79,2716.64,624.98,2353.12,14470.35,442.12,562.94,18453.51,21170.15,4.94,41112.01,0.0,41711.75,14.78,0.0,484.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,29.53,29.53,4906.87,4906.87,4936.39,4.23,6.47,0.78,11.48,960.96,12385.17,15.33,32.41,13393.88,18341.75,63.36,0.35,63.71,2591.89,49.79,2705.39,579.64,2790.24,11182.17,452.39,631.92,15636.36,18341.75,4.94,46044.09,0.0,45790.09,14.78,0.0,2353.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,29.53,29.53,4976.46,4976.46,5005.98,4.19,6.63,0.6,11.42,701.72,3549.35,9.97,4.9,4265.94,9283.34,62.46,0.35,62.81,2509.6,49.79,2622.2,339.64,4562.64,692.59,454.6,611.67,6661.14,9283.34,11.47,1787.61,0.0,1857.83,14.78,0.0,2509.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,29.53,29.53,4969.78,4969.78,4999.3,4.13,6.32,0.56,11.01,625.79,3905.2,10.52,7.7,4549.21,9559.52,59.63,0.35,59.98,2553.7,49.79,2663.47,392.76,4894.32,562.25,437.72,609.02,6896.06,9559.52,11.47,242.17,0.0,247.07,14.78,0.0,2553.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,29.53,29.53,4986.83,4986.83,5016.35,3.76,6.32,0.45,10.52,624.22,2891.35,15.49,2.22,3533.28,8560.15,58.94,0.35,59.29,2553.75,49.79,2662.83,377.94,3990.51,547.42,374.41,607.05,5897.32,8560.15,11.47,0.0,0.0,0.0,14.78,0.0,2553.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,29.53,29.53,5005.37,5005.37,5034.9,3.69,6.2,0.32,10.21,654.25,1386.26,12.78,9.63,2062.91,7108.02,58.66,0.0,58.66,2590.03,49.79,2698.48,384.48,2500.71,712.14,337.51,474.7,4409.54,7108.02,13.65,0.0,0.0,0.0,14.78,0.0,2590.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
