Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-06-30,11180.44,0.0,11180.44,11035.4,-25.31,1.99,0.45,2.93,164.97,0.02,164.99,53.53,111.47,111.47,0.0,111.47,0.0,111.47,29.53,0.0,3.78,3.78,0.0,0.0,0.0,0.0,0.0
2016-09-30,11642.39,0.0,11642.39,11469.03,-40.18,2.2,0.45,2.1,208.79,0.02,208.81,92.08,116.73,116.73,0.0,116.73,0.0,116.73,29.53,0.0,3.95,3.95,0.0,0.0,0.0,0.0,0.0
2016-12-31,11647.93,0.0,11647.93,11247.48,187.4,2.01,0.45,3.47,207.11,0.02,207.13,104.29,102.84,102.84,0.0,102.84,0.0,102.84,29.53,0.0,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2017-03-31,54270.06,0.0,54270.06,53916.32,-214.14,38.22,17.5,73.98,438.18,45.15,483.33,120.24,363.09,363.09,30.97,332.12,0.0,332.12,29.53,0.0,11.25,11.25,0.0,0.0,0.0,0.0,0.0
2017-06-30,10022.79,0.0,10022.79,9644.31,162.72,1.8,0.45,2.52,211.0,1.62,212.61,91.15,121.46,121.46,9.28,112.18,0.0,112.18,29.53,0.0,3.8,3.8,0.0,0.0,0.0,0.0,0.0
2017-09-30,8165.58,0.0,8165.58,8122.78,-243.87,1.93,0.45,1.68,282.6,1.67,284.27,160.55,123.72,123.72,9.65,114.07,0.0,114.07,29.53,0.0,3.86,3.86,0.0,0.0,0.0,0.0,0.0
2017-12-31,7756.54,0.0,7756.54,7229.8,358.12,1.72,0.45,1.67,164.78,3.81,168.59,54.24,114.35,114.35,9.72,104.62,0.0,104.62,29.53,0.0,3.54,3.54,0.0,0.0,0.0,0.0,0.0
2018-03-31,7714.91,0.0,7714.91,8252.65,-796.09,1.73,0.14,33.87,222.61,31.16,253.77,124.89,128.88,128.88,18.57,110.3,0.0,110.3,29.53,0.0,3.74,3.74,0.0,0.0,0.0,0.0,0.0
2018-06-30,12634.69,0.0,12634.69,11991.75,429.09,1.82,0.45,2.64,208.94,21.24,230.17,106.11,124.07,124.07,9.45,114.62,0.0,114.62,29.53,0.0,3.88,3.88,0.0,0.0,0.0,0.0,0.0
2018-09-30,10224.82,0.0,10224.82,9740.74,282.63,0.99,0.45,1.88,198.13,0.35,198.48,74.03,124.45,124.45,9.58,114.86,0.0,114.86,29.53,0.0,3.89,3.89,0.0,0.0,0.0,0.0,0.0
2018-12-31,8887.31,0.0,8887.31,8968.04,-290.93,1.76,0.45,1.88,206.12,8.21,214.33,88.92,125.4,125.4,9.68,115.73,0.0,115.73,29.53,0.0,3.92,3.92,0.0,0.0,0.0,0.0,0.0
2019-03-31,10924.07,0.0,10924.07,10768.82,5.07,2.3,0.06,26.97,120.86,21.7,142.56,50.77,91.79,91.79,-5.39,97.17,0.0,97.17,29.53,0.0,3.29,3.29,0.0,0.0,0.0,0.0,0.0
2019-06-30,11122.18,0.0,11122.18,10887.62,118.32,1.02,0.4,0.76,114.07,0.42,114.49,0.0,114.49,114.49,12.42,102.07,0.0,102.07,29.53,0.0,3.46,3.46,0.0,0.0,0.0,0.0,0.0
2019-09-30,12923.36,0.0,12923.36,12827.49,-36.06,1.59,0.4,2.1,127.84,0.44,128.27,0.0,128.27,128.27,13.15,115.13,0.0,115.13,29.53,0.0,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2019-12-31,11311.36,0.0,11311.36,11007.77,169.41,1.76,0.4,3.54,128.48,0.39,128.87,0.0,128.87,128.87,13.02,115.84,0.0,115.84,29.53,0.0,3.92,3.92,0.0,0.0,0.0,0.0,0.0
2020-03-31,11542.22,0.0,11542.22,11681.05,-206.32,1.73,-0.06,3.12,62.7,1.53,64.23,0.0,64.23,64.23,-6.02,70.25,0.0,70.25,29.53,0.0,2.38,2.38,0.0,0.0,0.0,0.0,0.0
2020-06-30,174.35,0.0,174.35,7.58,154.38,1.44,0.28,0.56,10.12,0.12,10.24,0.0,10.24,10.24,0.0,10.24,0.0,10.24,29.53,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0
2020-09-30,317.15,0.0,317.15,304.7,-13.21,1.57,0.28,0.6,23.22,0.24,23.46,0.0,23.46,23.46,0.0,23.46,0.0,23.46,29.53,0.0,0.79,0.79,0.0,0.0,0.0,0.0,0.0
2020-12-31,442.62,0.0,442.62,395.46,10.35,1.49,0.28,1.34,33.7,0.47,34.16,0.0,34.16,34.16,0.0,34.16,0.0,34.16,29.53,0.0,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2021-03-31,1133.68,0.0,1133.68,1008.4,88.48,0.46,0.15,0.54,35.66,0.27,35.92,0.0,35.92,35.92,4.33,31.59,0.0,31.59,29.53,0.0,1.08,1.08,0.0,0.0,0.0,0.0,0.0
2021-06-30,1472.36,0.0,1472.36,1441.34,-10.66,1.15,0.24,0.42,39.86,0.16,40.02,0.0,40.02,40.02,0.0,40.02,0.0,40.02,29.53,0.0,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2021-09-30,1527.13,0.0,1527.13,1442.67,31.88,1.0,0.24,0.72,50.63,1.22,51.84,0.0,51.84,51.84,0.0,51.84,0.0,51.84,29.53,0.0,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2021-12-31,1576.22,0.0,1576.22,1529.9,-10.06,1.04,0.24,0.48,54.63,0.0,54.63,0.0,54.63,54.63,0.0,54.63,0.0,54.63,29.53,0.0,1.85,1.85,0.0,0.0,0.0,0.0,0.0
2022-03-31,1660.8,0.0,1660.8,1704.01,-64.28,1.06,0.19,146.39,-126.57,10.51,-116.06,0.0,-116.06,-116.06,8.39,-124.45,0.0,-124.45,29.53,0.0,-4.21,-4.21,0.0,0.0,0.0,0.0,0.0
2022-06-30,1298.07,0.0,1298.07,1204.87,61.01,1.03,0.24,0.46,30.47,0.77,31.24,0.0,31.24,31.24,0.0,31.24,0.0,31.24,29.53,0.0,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2022-09-30,1331.43,0.0,1331.43,1269.93,19.44,1.01,0.21,0.46,40.37,0.45,40.82,0.0,40.82,40.82,0.0,40.82,0.0,40.82,29.53,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2022-12-31,1634.18,0.0,1634.18,1602.49,-29.82,1.05,0.21,0.54,59.7,0.45,60.15,0.0,60.15,60.15,0.0,60.15,0.0,60.15,29.53,0.0,2.04,2.04,0.0,0.0,0.0,0.0,0.0
2023-03-31,1497.87,0.0,1497.87,1639.5,-35.81,0.99,0.03,0.75,-107.58,7.59,-99.99,0.0,-99.99,-99.99,1.84,-101.83,0.0,-101.83,29.53,0.0,-3.44,-3.44,0.0,0.0,0.0,0.0,0.0
2023-06-30,1465.66,0.0,1465.66,1369.79,35.84,1.08,0.17,0.57,58.21,0.23,58.43,0.0,58.43,58.43,0.7,57.73,0.0,57.73,29.53,0.0,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2023-09-30,1602.08,0.0,1602.08,1608.03,-22.17,0.67,0.17,0.22,15.15,0.89,16.04,0.0,16.04,16.04,1.63,14.41,0.0,14.41,29.53,0.0,0.49,0.49,0.0,0.0,0.0,0.0,0.0
2023-12-31,1006.12,0.0,1006.12,1022.17,-25.93,0.41,0.17,1.8,7.51,0.29,7.79,0.0,7.79,7.79,0.81,6.98,0.0,6.98,29.53,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0
2024-03-31,1326.75,0.0,1326.75,1459.28,5.73,0.31,0.11,47.74,-186.42,173.84,-12.58,42.39,-54.97,-54.97,7.12,-62.09,0.0,-62.09,29.53,0.0,-2.05,-2.05,0.0,0.0,0.0,0.0,0.0
2024-06-30,731.1,0.0,731.1,713.14,-22.34,0.37,0.15,0.76,39.02,10.56,49.58,30.0,19.59,19.59,5.88,13.71,0.0,13.71,29.53,0.0,0.46,0.46,0.0,0.0,0.0,0.0,0.0
2024-09-30,1762.41,0.0,1762.41,1757.32,-41.78,0.51,0.16,0.84,45.35,9.92,55.27,32.04,23.22,23.22,3.49,19.74,0.0,19.74,29.53,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0
2024-12-31,2618.71,0.0,2618.71,2577.72,11.44,0.77,0.15,1.78,26.85,13.45,40.3,33.26,7.04,7.04,0.44,6.6,0.0,6.6,29.53,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0
