Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2015-03-31,30.54,30.54,1165.9,1165.9,1196.44,2600.27,75.62,104.6,27.18,2807.67,744.85,1620.21,827.49,18.9,3211.45,7245.56,4881.1,2.44,39.19,9.84,4932.57,167.74,0.0,31.59,0.39,5132.29,1316.76,324.93,39.33,342.75,89.5,2113.27,7245.56,2362.43,102.68,0.0,671.15,6.11,167.74,0.0,30.0,764.57,94.29,14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,30.54,30.54,781.75,781.75,812.29,2816.01,0.0,52.28,46.83,2915.12,917.61,1409.43,806.64,7.57,3141.25,6868.66,4738.38,14.81,44.81,23.2,4821.2,153.91,0.0,10.16,139.63,5124.9,978.8,453.42,4.0,2.15,305.39,1688.31,6868.66,718.53,47.25,0.0,371.32,6.35,153.91,0.0,0.0,697.41,71.68,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,30.54,30.54,425.19,425.19,455.73,2728.01,0.0,51.06,40.84,2819.91,818.77,1683.38,963.41,15.52,3481.08,6756.72,4481.67,41.05,44.69,0.0,4567.41,150.65,0.0,10.74,163.25,4892.05,1008.62,544.06,4.64,1.11,306.24,1864.67,6756.72,987.59,0.0,0.0,0.0,0.0,150.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,30.54,30.54,143.01,143.01,173.55,2655.79,0.0,47.44,45.36,2748.59,825.16,1842.66,818.92,13.56,3500.3,6422.44,4290.95,34.04,29.24,0.0,4354.23,150.65,0.0,13.86,169.6,4688.34,872.26,557.64,22.89,10.94,270.37,1734.1,6422.44,3307.11,0.0,0.0,0.0,0.0,150.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,30.54,30.54,200.39,200.39,230.93,2269.73,0.0,16.75,14.09,2300.57,662.56,218.35,2594.04,6.26,3481.21,6012.71,405.67,8.31,8.77,0.0,422.75,150.65,238.46,11.79,236.07,1059.72,242.96,217.05,33.86,0.53,4458.59,4952.99,6012.71,2053.35,13.27,0.0,0.0,428.19,150.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,30.54,30.54,584.84,584.84,615.38,250.99,0.0,31.32,31.58,313.89,65.79,266.02,201.87,7.28,540.96,1470.23,398.11,7.06,30.12,0.0,435.29,150.65,42.93,12.43,137.8,779.1,229.08,181.97,7.23,6.05,266.8,691.13,1470.23,1657.49,6.99,0.0,0.0,396.71,150.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,30.54,30.54,683.82,683.82,714.36,186.29,0.0,30.36,37.85,254.5,50.44,239.96,208.77,7.08,506.25,1475.11,379.37,3.83,37.41,0.4,421.01,150.65,18.36,12.44,131.04,733.5,254.86,217.18,9.26,7.18,253.13,741.61,1475.11,1616.9,4.7,0.0,0.0,353.67,150.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,30.54,30.54,896.98,896.98,927.52,121.04,0.0,32.07,36.11,189.22,41.5,175.2,171.02,6.73,394.45,1511.19,375.92,1.27,35.14,0.55,412.88,150.65,1.17,12.27,104.27,681.24,296.36,247.1,99.71,12.52,174.26,829.95,1511.19,85.16,46.8,0.0,0.0,540.46,150.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,30.54,30.54,1049.17,1049.17,1079.71,130.54,2.31,17.6,28.02,178.47,42.74,125.9,174.69,7.13,350.46,1608.64,391.7,1.4,133.71,0.0,526.81,150.81,0.0,8.31,132.24,818.17,367.46,205.43,53.42,12.57,151.59,790.47,1608.64,425.36,76.86,0.0,0.0,684.86,150.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,30.54,30.54,1289.25,1289.25,1319.79,125.94,8.65,2.14,28.29,165.02,6.08,98.8,189.27,7.6,301.75,1786.56,565.01,3.76,125.88,0.0,694.65,150.94,0.0,7.43,121.44,974.46,310.74,285.52,55.07,6.69,154.08,812.1,1786.56,352.0,114.28,0.0,0.0,622.73,150.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
