Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,880.4,880.4,362.04,0.97,8.91,81.61,60.95,91.12,257.64,17.16,9.73,26.89,129.96,-103.07,0.0,-103.07,-31.83,-71.24,0.0,-71.24,30.54,-2.34,-2.34,15.26,50.09,15.21,100.0,49.91
2015-09-30,852.81,852.81,362.36,25.05,17.27,85.77,57.96,53.74,264.34,-13.68,13.77,0.09,134.27,-134.18,0.0,-134.18,-42.06,-92.12,0.0,-92.12,30.54,-3.02,-3.02,15.27,50.12,15.2,100.0,49.88
2015-12-31,859.69,859.69,349.65,4.44,35.78,60.73,57.81,62.76,242.66,45.86,6.56,52.42,137.61,-85.19,0.0,-85.19,-1.73,-83.46,0.0,-83.46,30.54,-2.74,-2.74,0.0,0.0,0.0,0.0,0.0
2016-03-31,854.57,854.57,306.39,-0.15,125.85,77.25,54.45,66.16,249.63,-25.01,7.4,-17.61,140.0,-157.61,0.0,-157.61,0.0,-157.61,0.0,-157.61,30.54,-5.17,-5.17,0.0,0.0,0.0,0.0,0.0
2016-06-30,832.02,832.02,307.47,0.7,67.37,82.98,58.05,65.61,212.9,36.94,58.58,95.52,128.15,-32.63,0.0,-32.63,0.0,-32.63,0.0,-32.63,30.54,-1.07,-1.07,0.0,0.0,0.0,0.0,0.0
2016-09-30,770.76,770.76,321.48,40.3,-55.3,85.11,58.41,67.7,209.36,43.7,26.76,70.46,135.57,-65.11,0.0,-65.11,0.0,-65.11,0.0,-65.11,30.47,-2.12,-2.12,0.0,0.0,0.0,0.0,0.0
2016-12-31,782.9,782.9,338.88,11.53,8.0,80.41,58.17,67.61,190.28,28.02,3.73,31.75,139.92,-108.17,0.0,-108.17,0.0,-108.17,0.0,-108.17,30.47,-3.55,-3.55,0.0,0.0,0.0,0.0,0.0
2017-03-31,860.86,860.86,459.94,0.8,-17.55,0.0,60.24,67.66,321.12,-31.35,27.69,-3.66,145.37,-149.03,0.0,-149.03,0.0,-149.03,0.0,-149.03,30.54,-4.89,-4.89,0.0,0.0,0.0,0.0,0.0
2017-06-30,935.99,935.99,487.1,1.4,11.33,0.0,61.94,67.56,282.85,23.81,14.31,38.12,136.42,-98.3,0.0,-98.3,0.0,-98.3,0.0,-98.3,30.54,-3.23,-3.23,0.0,0.0,0.0,0.0,0.0
2017-09-30,953.59,953.59,422.91,1.2,56.7,0.0,60.59,68.82,313.34,30.03,25.94,55.97,142.76,-86.79,0.0,-86.79,0.0,-86.79,0.0,-86.79,30.54,-2.85,-2.85,0.0,0.0,0.0,0.0,0.0
2017-12-31,987.3,987.3,419.0,1.51,87.84,0.0,60.11,66.54,320.56,31.74,8.12,39.86,150.46,-110.6,0.0,-110.6,0.0,-110.6,0.0,-110.6,30.54,-3.63,-3.63,0.0,0.0,0.0,0.0,0.0
2018-03-31,1162.09,1162.09,517.14,1.03,37.27,0.0,55.46,70.65,363.93,116.61,38.08,154.69,141.34,13.35,0.0,13.35,0.0,13.35,0.0,13.35,30.54,0.44,0.44,0.0,0.0,0.0,0.0,0.0
2018-06-30,1219.86,1219.86,558.71,0.98,-26.45,0.0,66.5,71.08,395.0,154.04,8.11,162.15,142.88,19.27,0.0,19.27,0.0,19.27,0.0,19.27,30.54,0.63,0.63,0.0,0.0,0.0,0.0,0.0
2018-09-30,421.58,421.58,288.36,1.51,-16.8,0.0,29.71,7.07,69.45,42.28,19.84,62.12,20.41,41.71,0.0,41.71,0.0,41.71,-12.79,28.92,30.54,0.95,0.95,0.0,0.0,0.0,0.0,0.0
2018-12-31,426.81,426.81,275.26,1.14,5.52,0.0,33.33,7.08,64.48,40.0,9.33,49.33,20.74,28.59,0.0,28.59,0.0,28.59,-74.51,-45.92,30.54,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0
2019-03-31,434.0,434.0,277.34,1.56,-2.76,0.0,28.05,6.94,61.04,61.83,7.63,69.46,27.26,42.2,0.0,42.2,-234.68,276.88,-220.15,56.73,30.54,1.86,1.86,0.0,0.0,0.0,0.0,0.0
2019-06-30,356.65,356.65,139.25,1.44,79.44,0.0,33.4,6.8,61.67,34.65,10.6,45.25,19.81,25.44,0.0,25.44,158.68,-133.24,504.36,371.12,30.54,12.18,12.18,0.0,0.0,0.0,0.0,0.0
2019-09-30,364.62,364.62,210.87,11.75,6.01,0.0,33.7,6.88,62.64,32.77,7.42,40.19,13.06,27.13,0.0,27.13,12.67,14.46,2.11,16.57,30.54,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2019-12-31,360.75,360.75,196.43,5.63,12.28,0.0,31.61,6.9,67.09,40.81,7.92,48.73,12.5,36.23,0.0,36.23,21.01,15.22,-4.83,10.39,30.54,0.34,0.34,0.0,0.0,0.0,0.0,0.0
2020-03-31,306.44,306.44,194.35,4.31,-21.61,0.0,28.8,7.19,62.9,30.5,8.11,38.61,12.7,25.91,0.0,25.91,8.39,17.52,-20.2,-2.68,30.54,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0
2020-06-30,227.92,227.92,117.73,4.26,10.92,0.0,26.81,7.52,44.22,16.46,6.47,22.93,12.06,10.87,0.0,10.87,2.86,8.01,0.21,8.22,30.54,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2020-09-30,312.36,312.36,165.69,7.17,14.19,0.0,28.84,7.64,52.27,36.56,5.03,41.59,11.2,30.39,0.0,30.39,7.85,22.54,-0.7,21.84,30.54,0.72,0.72,0.0,0.0,0.0,0.0,0.0
2020-12-31,364.8,364.8,223.81,6.88,-3.29,0.0,29.66,7.96,56.5,43.28,2.42,45.7,10.41,35.29,0.0,35.29,8.78,26.51,-2.16,24.35,30.54,0.87,0.87,0.0,0.0,0.0,0.0,0.0
2021-03-31,440.52,440.52,258.87,8.0,1.99,0.0,32.11,7.52,72.21,59.82,4.84,64.66,10.85,53.81,0.0,53.81,5.91,47.9,-1.79,46.11,30.54,1.51,1.51,0.0,0.0,0.0,0.0,0.0
2021-06-30,402.66,402.66,251.72,25.31,-33.75,0.0,29.82,7.89,73.7,47.97,8.32,56.29,8.9,47.39,0.0,47.39,12.87,34.52,0.0,34.52,30.54,1.13,1.13,0.0,0.0,0.0,0.0,0.0
2021-09-30,421.23,421.23,249.58,16.24,-5.59,0.0,31.79,7.96,72.11,49.14,12.88,62.02,9.27,52.75,0.0,52.75,10.7,42.05,0.0,42.05,30.54,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2021-12-31,471.46,471.46,274.49,5.47,9.71,0.0,31.82,7.85,86.12,56.0,8.66,64.66,8.06,56.6,0.0,56.6,14.6,42.0,0.0,42.0,30.54,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2022-03-31,514.7,514.7,294.36,11.29,17.61,0.0,33.2,7.7,85.78,64.76,5.69,70.45,4.93,65.52,31.18,96.7,3.96,92.74,0.0,92.74,30.54,3.05,3.05,0.0,0.0,0.0,0.0,0.0
2022-06-30,515.56,515.56,333.06,10.11,-26.25,0.0,33.51,6.68,94.42,64.03,11.47,75.5,4.07,71.43,0.0,71.43,17.77,53.66,0.0,53.66,30.54,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2022-09-30,518.82,518.82,316.88,-0.62,6.0,0.0,33.03,6.78,95.5,61.25,3.65,64.9,3.82,61.08,0.0,61.08,15.99,45.09,0.0,45.09,30.54,1.48,1.48,0.0,0.0,0.0,0.0,0.0
2022-12-31,496.09,496.09,288.92,1.03,4.92,0.0,35.18,6.53,90.25,69.26,3.89,73.15,3.43,69.72,0.0,69.72,17.84,51.88,0.0,51.88,30.54,1.7,1.7,0.0,0.0,0.0,0.0,0.0
2023-03-31,511.24,511.24,283.26,1.8,10.75,0.0,37.16,6.52,94.77,76.98,11.66,88.64,3.66,84.98,0.0,84.98,21.91,63.07,0.0,63.07,30.54,2.07,2.07,0.0,0.0,0.0,0.0,0.0
2023-06-30,500.64,500.64,294.55,1.43,-9.24,0.0,40.17,6.95,82.59,84.19,17.26,101.45,1.23,100.22,0.0,100.22,21.81,78.41,0.0,78.41,30.54,2.57,2.57,0.0,0.0,0.0,0.0,0.0
2023-09-30,498.39,498.39,257.68,2.16,9.47,0.0,40.05,7.15,89.14,92.74,29.52,122.26,1.82,120.44,0.0,120.44,29.26,91.18,0.0,91.18,30.54,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,531.96,531.96,282.53,2.76,6.01,0.0,41.31,7.88,87.09,104.38,4.92,109.3,1.53,107.77,0.0,107.77,26.39,81.38,0.0,81.38,30.54,2.67,2.67,0.0,0.0,0.0,0.0,0.0
2024-03-31,515.1,515.1,263.07,5.79,7.53,0.0,41.52,10.76,100.24,86.19,8.44,94.63,2.2,92.43,0.0,92.43,21.29,71.14,0.0,71.14,30.54,2.33,2.33,0.0,0.0,0.0,0.0,0.0
2024-06-30,514.11,514.11,271.31,2.05,-0.38,0.0,42.79,10.4,96.94,91.0,3.02,94.02,2.11,91.91,0.0,91.91,23.05,68.86,0.0,68.86,30.54,2.26,2.26,0.0,0.0,0.0,0.0,0.0
2024-09-30,547.47,547.47,307.76,2.23,-7.13,0.0,43.16,11.33,95.76,94.36,12.28,106.64,2.75,103.89,0.0,103.89,25.85,78.04,0.0,78.04,30.54,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2024-12-31,565.32,565.32,307.01,2.1,-5.66,0.0,38.19,12.5,108.77,102.41,3.08,105.49,3.1,102.39,0.0,102.39,25.32,77.07,0.0,77.07,30.54,2.53,2.53,0.0,0.0,0.0,0.0,0.0
2025-03-31,544.16,544.16,303.71,2.77,-0.18,0.0,41.21,12.96,96.74,86.95,23.0,109.95,3.41,106.54,0.0,106.54,28.3,78.24,0.0,78.24,30.52,2.57,2.57,0.0,0.0,0.0,0.0,0.0
