Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Money Received Against Share Warrants,Long Term Provisions,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Government/Other Grants,Preference Share Capital,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,93.04,93.04,1654.36,1654.36,1747.4,2810.42,266.79,235.56,3718.33,1659.28,503.53,1570.29,92.73,3825.83,9291.56,4376.08,3.58,2228.66,0.0,0.0,6608.32,93.62,0.0,262.26,65.97,7030.17,0.56,1300.44,525.79,72.88,319.36,42.36,2261.39,9291.56,4518.71,23.1,438.34,0.09,87.89,96.8,1.08,0.51,0.0,0.0,405.56,408.34,74.2,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,101.51,101.51,1872.43,1872.43,2064.26,3567.27,204.64,239.82,4446.19,1268.64,450.74,1731.35,116.42,3567.15,10077.6,5934.63,3.2,709.89,1.58,0.0,6649.3,495.04,0.0,253.3,174.52,7572.16,0.0,1423.94,658.99,94.62,272.75,55.14,2505.44,10077.6,4242.63,19.33,525.61,0.08,87.89,152.53,1.08,0.0,0.0,90.32,434.46,461.26,70.95,31.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,111.69,111.69,2095.07,2095.07,2206.76,3296.15,179.44,250.52,4158.23,1419.06,545.14,1473.08,114.48,3551.76,9916.75,5920.3,3.09,156.13,0.1,0.0,6079.62,1091.39,0.0,191.11,339.17,7701.29,0.0,1298.78,529.16,101.75,174.97,110.8,2215.46,9916.75,2226.26,14.87,437.15,0.08,87.89,141.12,0.61,0.0,0.0,0.0,432.12,361.57,80.85,28.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,111.69,111.69,2370.17,2370.17,2481.86,3125.95,80.71,200.67,3407.33,1587.85,705.82,1707.64,445.82,4447.13,10336.32,6202.17,2.75,34.19,0.1,1104.48,7343.69,258.31,0.0,64.87,415.02,8081.89,0.0,1264.5,502.96,89.21,0.0,397.76,2254.43,10336.32,1091.23,620.15,0.0,381.79,87.89,221.5,36.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,111.69,111.69,2636.2,2636.2,2747.89,2392.42,217.32,911.1,3527.57,1462.57,681.8,1493.26,418.24,4055.87,10331.33,6115.39,4.06,34.27,0.75,1136.09,7290.56,223.41,0.0,98.71,360.19,7972.87,0.0,1178.55,421.47,249.7,0.0,508.74,2358.46,10331.33,1261.51,691.44,0.0,412.68,87.89,185.99,37.42,0.0,0.0,0.0,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,111.69,111.69,3194.8,3194.8,3306.49,701.58,93.99,790.75,1586.32,200.44,513.01,397.41,175.6,1286.46,6179.27,3496.13,2.56,43.72,230.72,931.74,4704.87,265.39,0.0,6.92,168.65,5145.83,0.0,627.6,203.86,49.93,6.87,145.18,1033.44,6179.27,920.68,678.01,0.0,449.04,87.89,0.0,119.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,111.69,111.69,3465.32,3465.32,3577.01,527.42,0.0,718.37,1245.79,15.62,440.15,1083.63,180.59,1719.99,6542.79,3381.63,8.2,137.47,36.4,897.43,4461.13,274.24,64.56,7.17,243.85,5050.95,0.0,882.97,182.52,105.71,181.17,139.47,1491.84,6542.79,437.49,466.18,0.0,346.84,87.89,0.0,202.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,111.69,111.69,3552.13,3552.13,3663.82,829.27,0.0,714.67,1543.94,2.98,568.65,425.45,188.12,1185.2,6392.96,3263.51,7.19,172.58,36.76,860.77,4340.81,360.27,55.49,6.27,89.17,4852.01,45.0,844.25,163.57,68.26,293.02,126.85,1540.95,6392.96,647.42,314.88,0.0,202.05,87.89,0.0,184.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,111.69,111.69,3807.4,3807.4,3919.09,306.88,0.0,677.31,984.19,889.68,816.88,377.26,178.55,2262.37,7165.65,3205.36,5.76,173.75,0.38,874.95,4260.2,478.69,5.5,342.12,85.1,5171.61,131.0,1377.76,221.22,85.76,0.0,178.3,1994.04,7165.65,569.23,580.55,0.0,342.15,87.89,0.0,255.18,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,111.69,111.69,4072.85,4072.85,4184.54,399.09,63.65,662.4,1125.14,504.78,705.78,771.54,177.27,2159.37,7469.05,3095.47,6.26,187.07,0.0,833.02,4121.82,427.11,0.0,566.12,95.83,5210.88,3.0,1786.63,159.06,84.68,0.0,224.8,2258.17,7469.05,513.62,1095.5,0.0,281.83,87.89,0.0,263.96,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,111.69,111.69,4266.18,4266.18,4377.87,1278.27,70.29,591.27,1939.83,65.85,683.87,1251.37,176.7,2177.79,8495.49,2895.66,6.26,55.07,0.0,802.79,3759.78,644.39,0.0,743.84,156.6,5304.61,282.66,2216.64,142.43,212.78,0.0,336.37,3190.88,8495.49,1273.73,1039.83,0.0,276.68,87.89,0.0,644.39,0.0,282.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
