Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-06-30,1631.75,34.3,1666.05,761.68,155.91,-117.88,104.45,200.86,0.0,456.29,104.74,234.12,338.86,42.43,296.43,-12.0,284.43,13.11,271.32,0.0,271.32,85.72,5.35,5.33,0.0,0.0,0.0,0.0,0.0
2016-09-30,1787.72,53.81,1841.53,839.01,206.11,-90.09,120.13,161.55,0.0,491.26,113.56,30.47,144.03,25.21,118.82,-32.0,86.82,19.55,67.27,0.0,67.27,101.38,1.33,1.33,0.0,0.0,0.0,0.0,0.0
2016-12-31,1760.73,32.07,1792.8,766.51,162.91,55.72,104.33,164.5,0.0,470.81,68.02,19.7,87.72,22.54,65.18,0.0,65.18,115.28,-50.1,0.0,-50.1,101.39,-1.16,-1.16,0.0,0.0,0.0,0.0,0.0
2017-03-31,1638.34,0.0,1638.34,638.49,176.4,43.9,115.64,168.27,0.0,499.83,-4.19,29.34,25.15,82.0,-56.85,-2.4,-59.25,15.25,-74.5,0.0,-74.5,101.4,-1.47,-1.46,0.0,0.0,0.0,0.0,0.0
2017-06-30,1714.0,0.0,1714.0,818.0,178.0,-157.0,120.0,162.0,0.0,499.0,94.0,18.0,112.0,16.0,96.0,-7.0,89.0,14.0,75.0,0.0,75.0,102.0,1.47,1.46,0.0,0.0,0.0,0.0,0.0
2017-09-30,1971.0,0.0,1971.0,927.0,21.0,127.0,125.0,165.0,0.0,436.0,170.0,380.0,550.0,31.0,519.0,0.0,519.0,84.0,435.0,0.0,435.0,102.0,8.57,8.56,0.0,0.0,0.0,0.0,0.0
2017-12-31,1942.0,0.0,1942.0,966.0,82.0,38.0,119.0,167.0,0.0,499.0,71.0,23.0,94.0,38.0,56.0,0.0,56.0,-89.0,145.0,0.0,145.0,102.0,2.85,2.85,0.0,0.0,0.0,0.0,0.0
2018-03-31,1636.0,0.0,1636.0,806.0,123.0,-6.0,122.0,172.0,0.0,471.0,-52.0,14.0,-38.0,50.0,-88.0,0.0,-88.0,19.0,-107.0,0.0,-107.0,102.0,-2.11,-2.11,0.0,0.0,0.0,0.0,0.0
2018-06-30,2305.0,0.0,2305.0,1167.0,148.0,-29.0,136.0,174.0,0.0,530.0,179.0,74.0,253.0,66.0,187.0,0.0,187.0,54.0,133.0,0.0,133.0,102.0,2.61,2.61,0.0,0.0,0.0,0.0,0.0
2018-09-30,2275.0,0.0,2275.0,1223.0,125.0,-30.0,136.0,176.0,0.0,565.0,80.0,433.0,513.0,68.0,445.0,0.0,445.0,97.0,348.0,0.0,348.0,102.0,6.83,6.83,0.0,0.0,0.0,0.0,0.0
2018-12-31,2216.0,0.0,2216.0,1285.0,134.0,-109.0,147.0,181.0,0.0,579.0,-1.0,15.0,14.0,1.0,13.0,0.0,13.0,3.0,10.0,0.0,10.0,102.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2019-03-31,1864.0,0.0,1864.0,1066.0,114.0,8.0,132.0,193.0,0.0,494.0,-143.0,38.0,-105.0,50.0,-155.0,-4.0,-159.0,-73.0,-86.0,0.0,-86.0,102.0,-1.69,-1.69,0.0,0.0,0.0,0.0,0.0
2019-06-30,2337.0,0.0,2337.0,1111.0,197.0,8.0,152.0,204.0,0.0,607.0,58.0,21.0,79.0,62.0,17.0,0.0,17.0,4.0,13.0,0.0,13.0,102.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0
2019-09-30,2771.0,0.0,2771.0,1444.0,244.0,53.0,168.0,219.0,0.0,526.0,117.0,491.0,608.0,74.0,534.0,0.0,534.0,105.0,429.0,0.0,429.0,153.0,5.62,5.62,0.0,0.0,0.0,0.0,0.0
2019-12-31,2502.0,0.0,2502.0,1307.0,20.0,-32.0,159.0,228.0,0.0,570.0,250.0,2.0,252.0,64.0,188.0,0.0,188.0,43.0,145.0,0.0,145.0,153.0,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2020-03-31,2031.0,0.0,2031.0,843.0,146.0,219.0,167.0,240.0,0.0,527.0,-111.0,-8.0,-119.0,72.0,-191.0,-10.0,-201.0,-75.0,-126.0,0.0,-126.0,153.0,-1.65,-1.65,0.0,0.0,0.0,0.0,0.0
2020-06-30,2651.0,0.0,2651.0,1211.0,203.0,-145.0,157.0,234.0,0.0,681.0,310.0,40.0,350.0,83.0,267.0,0.0,267.0,118.0,149.0,0.0,149.0,153.0,1.95,1.95,0.0,0.0,0.0,0.0,0.0
2020-09-30,3162.0,0.0,3162.0,1629.0,277.0,-89.0,181.0,237.0,0.0,697.0,230.0,22.0,252.0,76.0,176.0,0.0,176.0,72.0,104.0,0.0,104.0,153.0,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2020-12-31,2921.0,0.0,2921.0,1461.0,196.0,-99.0,171.0,245.0,0.0,729.0,218.0,32.0,250.0,75.0,175.0,0.0,175.0,76.0,99.0,0.0,99.0,153.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0
2021-03-31,2611.0,0.0,2611.0,1338.0,196.0,77.0,176.0,261.0,-17.0,695.0,-115.0,19.0,-96.0,73.0,-169.0,-15.0,-184.0,-52.0,-132.0,0.0,-132.0,153.0,-1.73,-1.73,0.0,0.0,0.0,0.0,0.0
2021-06-30,3960.0,0.0,3960.0,1902.0,583.0,-283.0,191.0,253.0,9.0,888.0,417.0,12.0,429.0,93.0,336.0,0.0,336.0,66.0,270.0,0.0,270.0,153.0,3.53,3.53,0.0,0.0,0.0,0.0,0.0
2021-09-30,4138.0,0.0,4138.0,2310.0,501.0,-259.0,201.0,257.0,0.0,889.0,239.0,32.0,271.0,91.0,180.0,0.0,180.0,34.0,146.0,0.0,146.0,153.0,1.91,1.91,0.0,0.0,0.0,0.0,0.0
2021-12-31,4025.0,0.0,4025.0,2353.0,310.0,-193.0,171.0,259.0,0.0,959.0,166.0,6.0,172.0,95.0,77.0,-6.0,71.0,14.0,57.0,0.0,57.0,153.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0
2022-03-31,4326.0,0.0,4326.0,2125.0,476.0,57.0,204.0,275.0,-15.0,1013.0,191.0,581.0,772.0,98.0,674.0,0.0,674.0,-29.0,703.0,0.0,703.0,153.0,9.2,9.2,0.0,0.0,0.0,0.0,0.0
2022-06-30,5007.0,0.0,5007.0,2625.0,532.0,-540.0,245.0,268.0,11.0,1238.0,628.0,26.0,654.0,99.0,555.0,-12.0,543.0,64.0,479.0,0.0,479.0,150.0,6.33,6.33,0.0,0.0,0.0,0.0,0.0
2022-09-30,5543.0,0.0,5543.0,3312.0,456.0,-260.0,209.0,273.0,2.0,1108.0,443.0,70.0,513.0,131.0,382.0,0.0,382.0,46.0,336.0,0.0,336.0,150.0,4.48,4.48,0.0,0.0,0.0,0.0,0.0
2022-12-31,4652.0,0.0,4652.0,2370.0,201.0,356.0,236.0,245.0,0.0,1025.0,219.0,345.0,564.0,149.0,415.0,0.0,415.0,92.0,323.0,0.0,323.0,150.0,4.3,4.3,0.0,0.0,0.0,0.0,0.0
2023-03-31,3581.0,0.0,3581.0,2401.0,858.0,-672.0,138.0,165.0,-5.0,653.0,43.0,21.0,64.0,120.0,-56.0,0.0,-56.0,107.0,-163.0,0.0,-163.0,150.0,-2.17,-2.17,0.0,0.0,0.0,0.0,0.0
2023-06-30,3594.0,0.0,3594.0,1838.0,166.0,100.0,162.0,164.0,12.0,776.0,376.0,30.0,406.0,98.0,308.0,0.0,308.0,41.0,267.0,0.0,267.0,150.0,3.55,3.55,0.0,0.0,0.0,0.0,0.0
2023-09-30,3859.0,0.0,3859.0,2941.0,137.0,-514.0,132.0,172.0,13.0,599.0,379.0,758.0,1137.0,95.0,1042.0,0.0,1042.0,136.0,906.0,0.0,906.0,150.0,12.07,12.07,0.0,0.0,0.0,0.0,0.0
2023-12-31,2626.0,0.0,2626.0,1498.0,181.0,118.0,102.0,172.0,4.0,505.0,46.0,20.0,66.0,103.0,-37.0,22.0,-15.0,-61.0,46.0,0.0,46.0,150.0,0.61,0.61,0.0,0.0,0.0,0.0,0.0
2024-03-31,1248.0,0.0,1248.0,387.0,429.0,157.0,21.0,28.0,-15.0,157.0,84.0,13.0,97.0,49.0,48.0,0.0,48.0,-28.0,76.0,-86.0,-10.0,150.0,-0.13,-0.13,0.0,0.0,0.0,0.0,0.0
2024-06-30,802.0,0.0,802.0,503.0,145.0,-91.0,43.0,34.0,0.0,141.0,27.0,2.0,29.0,45.0,-16.0,0.0,-16.0,0.0,-16.0,77.0,61.0,150.0,0.82,0.82,0.0,0.0,0.0,0.0,0.0
2024-09-30,1090.0,0.0,1090.0,220.0,260.0,371.0,41.0,28.0,-3.0,175.0,-2.0,113.0,111.0,80.0,31.0,0.0,31.0,3.0,28.0,119.0,147.0,150.0,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2024-12-31,1427.0,0.0,1427.0,590.0,262.0,221.0,44.0,39.0,-4.0,178.0,97.0,5.0,102.0,56.0,46.0,255.0,301.0,-573.0,874.0,118.0,992.0,155.0,13.05,12.67,0.0,0.0,0.0,0.0,0.0
2025-03-31,2011.0,0.0,2011.0,414.0,1662.0,-339.0,60.0,34.0,-11.0,295.0,-104.0,10.0,-94.0,51.0,-145.0,1857.0,1712.0,-27.0,1739.0,0.0,1739.0,159.0,22.16,21.65,0.0,0.0,0.0,0.0,0.0
