Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,5231.86,95.38,5327.24,3349.35,0.0,100.06,1415.12,225.47,2074.69,-1837.45,170.83,-1666.62,5.23,-1671.85,0.0,-1671.85,-586.89,-1084.96,0.0,-1084.96,489.52,-4.43,-4.43,0.0,0.0,0.0,0.0,0.0
2016-03-31,9668.06,309.09,9977.15,5579.65,0.0,804.52,1076.1,242.82,1650.76,623.3,461.73,1085.03,346.62,738.41,0.0,738.41,232.7,505.71,0.0,505.71,489.52,2.07,2.07,0.0,0.0,0.0,0.0,0.0
2016-06-30,5522.76,99.7,5622.46,3320.69,0.0,226.21,1436.34,218.15,568.2,-147.13,249.32,102.19,5.65,96.54,0.0,96.54,18.77,77.77,0.0,77.77,489.52,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2016-09-30,6550.77,113.68,6664.45,4001.5,0.0,288.63,1479.42,208.03,739.76,-52.89,196.08,143.19,5.04,138.15,0.0,138.15,29.15,109.0,0.0,109.0,489.52,0.44,0.44,0.0,0.0,0.0,0.0,0.0
2016-12-31,6182.99,137.96,6320.95,3867.44,0.0,91.21,1420.8,208.76,717.64,15.1,135.78,150.88,26.33,124.55,0.0,124.55,31.01,93.54,0.0,93.54,489.52,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2017-03-31,9404.95,283.23,9688.18,4925.87,0.0,388.43,1063.36,213.9,2659.66,436.96,145.22,582.18,313.59,268.59,0.0,268.59,53.04,215.55,0.0,215.55,489.52,0.88,0.88,0.0,0.0,0.0,0.0,0.0
2017-06-30,5380.6,125.03,5505.63,3212.0,0.0,83.42,1408.8,200.14,889.68,-288.41,462.16,173.75,65.72,108.03,0.0,108.03,27.21,80.82,0.0,80.82,489.52,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2017-09-30,6168.36,128.69,6297.05,3490.19,0.0,334.98,1398.75,187.16,1256.39,-282.56,485.03,202.47,55.22,147.25,0.0,147.25,31.83,115.42,0.0,115.42,489.52,0.31,0.31,0.0,0.0,0.0,0.0,0.0
2017-12-31,6494.44,131.91,6626.35,3994.43,0.0,-100.43,1338.46,182.03,1098.48,113.38,137.49,250.87,61.03,189.84,0.0,189.84,36.65,153.19,0.0,153.19,734.28,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2018-03-31,9831.89,315.06,10146.95,4710.74,0.0,418.16,1880.46,217.07,1905.99,1014.53,197.92,1212.45,72.58,1139.87,0.0,1139.87,682.7,457.17,0.0,457.17,734.28,1.25,1.25,0.0,0.0,0.0,0.0,0.0
2018-06-30,5790.08,145.41,5935.49,3580.4,0.0,-212.74,1418.02,176.1,862.57,111.14,178.61,289.75,63.9,225.85,0.0,225.85,70.27,155.58,0.0,155.58,734.28,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2018-09-30,6606.9,172.98,6779.88,4388.41,0.0,-412.7,1539.81,52.06,1023.58,188.72,151.67,340.39,68.88,271.51,0.0,271.51,86.34,185.17,0.0,185.17,734.28,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2018-12-31,7115.73,220.69,7336.42,5071.33,0.0,-490.53,1301.51,112.42,1235.39,106.3,226.48,332.78,57.7,275.08,0.0,275.08,83.13,191.95,0.0,191.95,734.28,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2019-03-31,9836.5,460.66,10297.16,5797.16,0.0,42.8,1980.87,134.23,1081.1,1261.0,120.87,1381.87,96.44,1285.43,0.0,1285.43,602.73,682.7,0.0,682.7,696.41,1.88,1.88,0.0,0.0,0.0,0.0,0.0
2019-06-30,4410.29,121.39,4531.68,3229.42,0.0,-622.17,1450.94,114.81,740.22,-381.54,145.54,-236.0,107.97,-343.97,0.0,-343.97,-127.72,-216.25,0.0,-216.25,696.41,-0.62,-0.62,0.0,0.0,0.0,0.0,0.0
2019-09-30,6028.99,196.73,6225.72,4315.76,0.0,-405.82,1471.32,119.29,577.58,147.59,135.63,283.22,118.71,164.51,0.0,164.51,45.93,118.58,0.0,118.58,696.41,0.34,0.34,0.0,0.0,0.0,0.0,0.0
2019-12-31,5457.77,221.58,5679.35,3729.3,0.0,-128.98,1370.87,114.48,379.45,214.23,151.19,365.42,139.12,226.3,0.0,226.3,67.48,158.82,0.0,158.82,696.41,0.46,0.46,0.0,0.0,0.0,0.0,0.0
2020-03-31,5049.31,0.0,5049.31,3452.61,0.0,141.44,1110.34,154.28,906.66,-716.02,148.22,-567.8,141.15,-708.95,0.0,-708.95,825.17,-1534.12,0.0,-1534.12,696.41,-4.41,-4.41,0.0,0.0,0.0,0.0,0.0
2020-06-30,1990.9,0.0,1990.9,1124.43,0.0,187.09,1378.75,118.49,359.53,-1177.39,95.53,-1081.86,114.55,-1196.41,0.0,-1196.41,-299.26,-897.15,0.0,-897.15,696.41,-2.58,-2.58,0.0,0.0,0.0,0.0,0.0
2020-09-30,3695.17,0.0,3695.17,2545.76,0.0,-162.6,1381.6,115.2,562.88,-747.67,104.78,-642.89,94.5,-737.39,0.0,-737.39,-181.27,-556.12,0.0,-556.12,696.41,-1.6,-1.6,0.0,0.0,0.0,0.0,0.0
2020-12-31,4203.04,248.32,4451.36,2870.08,0.0,71.03,1379.6,112.79,310.26,-292.4,85.31,-207.09,85.79,-292.88,0.0,-292.88,-61.89,-230.99,0.0,-230.99,696.41,-0.66,-0.66,0.0,0.0,0.0,0.0,0.0
2021-03-31,7171.01,0.0,7171.01,4530.76,0.0,415.34,1232.31,126.57,2256.92,-1390.89,84.22,-1306.67,78.25,-1384.92,0.0,-1384.92,-352.04,-1032.88,0.0,-1032.88,696.41,-2.97,-2.97,0.0,0.0,0.0,0.0,0.0
2021-06-30,2901.32,0.0,2901.32,1927.93,0.0,9.15,1357.44,111.19,80.81,-585.2,74.97,-510.23,83.62,-593.85,0.0,-593.85,-148.45,-445.4,0.0,-445.4,696.41,-1.28,-1.28,0.0,0.0,0.0,0.0,0.0
2021-09-30,5112.19,0.0,5112.19,3183.85,0.0,194.36,1391.53,42.8,371.63,-71.98,73.93,1.95,89.56,-87.61,0.0,-87.61,-20.12,-67.49,0.0,-67.49,696.41,-0.19,-0.19,0.0,0.0,0.0,0.0,0.0
2021-12-31,5135.9,0.0,5135.9,3167.11,0.0,205.56,1405.34,74.12,268.68,15.09,91.13,106.22,85.98,20.24,0.0,20.24,5.98,14.26,0.0,14.26,696.41,0.04,0.04,0.0,0.0,0.0,0.0,0.0
2022-03-31,8061.68,0.0,8061.68,3533.17,2177.93,123.34,1362.53,85.95,-287.19,1065.95,127.78,1193.73,95.56,1098.17,0.0,1098.17,189.3,908.87,0.0,908.87,696.41,2.61,2.61,0.0,0.0,0.0,0.0,0.0
2022-06-30,4672.0,0.0,4672.0,2340.81,793.57,72.48,1398.76,66.69,236.31,-236.62,79.8,-156.82,97.88,-254.7,0.0,-254.7,-62.85,-191.85,0.0,-191.85,696.41,-0.55,-0.55,0.0,0.0,0.0,0.0,0.0
2022-09-30,5202.57,0.0,5202.57,3591.12,0.0,-34.74,1420.7,58.61,469.41,-302.53,224.5,-78.03,123.24,-201.27,0.0,-201.27,-211.56,10.29,0.0,10.29,696.41,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2022-12-31,5263.38,0.0,5263.38,3537.18,0.0,27.76,1429.39,62.47,124.79,81.79,98.89,180.68,139.25,41.43,0.0,41.43,10.43,31.0,0.0,31.0,696.41,0.09,0.09,0.0,0.0,0.0,0.0,0.0
2023-03-31,8226.99,0.0,8226.99,5691.01,0.0,-122.65,1451.78,72.57,220.7,913.58,111.62,1025.2,161.06,864.14,0.0,864.14,266.03,598.11,0.0,598.11,696.41,1.72,1.72,0.0,0.0,0.0,0.0,0.0
2023-06-30,5003.43,0.0,5003.43,3316.63,0.0,144.04,1420.04,59.99,486.81,-424.08,122.1,-301.98,167.96,-469.94,0.0,-469.94,-118.27,-351.67,0.0,-351.67,696.41,-1.01,-1.01,0.0,0.0,0.0,0.0,0.0
2023-09-30,5125.29,0.0,5125.29,3974.35,0.0,-347.8,1282.11,59.91,604.34,-447.62,196.75,-250.87,180.41,-431.28,0.0,-431.28,-197.87,-233.41,0.0,-233.41,696.41,-0.67,-0.67,0.0,0.0,0.0,0.0,0.0
2023-12-31,5503.81,0.0,5503.81,3939.48,0.0,1.92,1442.01,60.6,183.26,-123.46,104.15,-19.31,189.6,-208.91,0.0,-208.91,-46.14,-162.77,0.0,-162.77,696.41,-0.47,-0.47,0.0,0.0,0.0,0.0,0.0
2024-03-31,8260.25,0.0,8260.25,5755.48,0.0,-234.9,1484.68,68.4,527.13,659.46,164.92,824.38,193.32,631.06,0.0,631.06,146.7,484.36,0.0,484.36,696.41,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2024-06-30,5484.92,0.0,5484.92,3725.08,0.0,152.49,1434.86,58.97,341.84,-228.32,109.95,-118.37,161.74,-280.11,0.0,-280.11,-67.59,-212.52,0.0,-212.52,696.41,-0.61,-0.61,0.0,0.0,0.0,0.0,0.0
2024-09-30,6584.1,0.0,6584.1,4788.68,0.0,-358.55,1467.17,60.09,411.8,214.91,118.41,333.32,201.38,131.94,0.0,131.94,35.27,96.67,0.0,96.67,696.41,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2024-12-31,7277.09,0.0,7277.09,4894.91,0.0,-310.73,1482.03,67.88,906.64,236.36,116.24,352.6,183.78,168.82,0.0,168.82,44.05,124.77,0.0,124.77,696.41,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2025-03-31,8993.37,0.0,8993.37,6978.8,0.0,-1025.53,1539.36,85.02,669.06,746.66,158.79,905.45,201.43,704.02,0.0,704.02,199.97,504.05,0.0,504.05,696.41,1.45,1.45,0.0,0.0,0.0,0.0,0.0
