Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Long Term Borrowings,Long Term Loans And Advances,Short Term Loans And Advances,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2014-03-31,489.52,489.52,32557.53,32557.53,33047.05,6600.17,7496.43,14201.37,2550.0,8719.02,11444.14,2829.59,25542.75,72791.17,4525.13,167.81,622.01,20.11,5335.06,420.17,1968.95,11881.07,20772.39,9797.55,28071.92,11872.93,252.52,52018.78,72791.17,0.0,2248.67,4013.1,85.3,410.61,170.4,1358.41,7419.33,244.76,420.17,104.77,1167.14,2023.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,489.52,489.52,33595.08,33595.08,34084.6,5358.84,6755.21,12175.05,0.0,8798.94,9123.31,4285.23,22207.48,68467.13,3982.2,158.32,500.5,17.3,4658.32,417.67,2220.73,11413.82,19929.59,10101.66,26223.5,9812.7,175.03,48537.54,68467.13,0.0,1968.35,2103.9,113.88,353.63,78.19,747.36,4686.14,244.76,417.67,61.0,1219.05,2224.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,489.52,489.52,31691.56,31691.56,32181.08,4507.51,7624.5,12258.3,0.0,8698.34,8689.32,3335.9,20723.56,65162.94,3825.12,137.36,309.5,8.38,4280.36,664.16,3659.23,11368.29,20037.66,9602.15,22430.12,10085.99,2830.41,45125.28,65162.94,0.0,1727.42,2240.63,40.49,184.9,24.0,286.63,3363.22,244.76,664.16,126.29,65.62,176.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,489.52,489.52,31804.92,31804.92,32294.44,3719.19,5001.35,8810.09,0.0,8709.16,7224.95,4191.56,20125.67,61230.2,3491.12,104.76,159.51,8.83,3764.22,661.42,3841.37,9991.19,18336.24,7372.38,22075.56,10491.79,2815.35,42893.96,61230.2,0.0,900.98,2130.31,152.65,151.31,45.15,292.52,2197.03,244.76,677.47,89.55,78.04,138.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,734.28,734.28,31866.8,31866.8,32601.08,3957.55,4923.11,8937.84,0.0,10586.86,7880.6,3782.77,22250.23,63789.15,2977.53,91.31,194.53,8.23,3271.6,690.74,3625.88,12928.26,20600.76,6258.76,22771.49,11291.18,2719.84,43188.39,63789.15,0.0,1558.13,744.99,24.25,154.51,68.71,182.44,1126.36,489.52,752.19,57.18,84.28,147.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,696.41,696.41,30735.39,30735.39,31431.8,4410.39,5463.14,9968.98,2431.74,11375.11,6737.91,2485.51,23030.27,64431.05,2883.92,83.07,223.21,12.23,3202.43,669.36,3497.37,18606.98,26058.96,7797.29,11860.8,7503.34,11053.21,38372.09,64431.05,7759.43,2192.44,2473.37,52.73,161.29,0.0,2231.92,1555.28,464.27,669.36,95.45,82.82,157.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,696.41,696.41,28484.8,28484.8,29181.21,4263.27,4212.13,8475.4,4933.39,8823.62,5740.26,3081.78,22579.05,60235.66,2735.47,78.61,306.74,7.26,3128.08,669.51,2756.21,20978.33,27532.13,8905.46,7107.62,6418.56,10271.89,32703.53,60235.66,8444.19,2239.7,1629.04,65.15,97.59,0.0,2717.61,1162.12,464.27,669.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,696.41,696.41,25787.64,25787.64,26484.05,4982.75,3912.78,8895.53,4833.78,6677.74,5645.88,3164.25,20321.65,55701.23,2426.15,62.16,403.21,16.35,2907.87,670.0,3659.77,20129.57,27367.21,7191.23,4033.63,6701.43,10407.73,28334.02,55701.23,6324.64,918.13,578.88,35.39,65.89,0.0,1101.64,641.03,464.27,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,696.41,696.41,26274.75,26274.75,26971.16,4594.8,3771.21,8366.01,4745.0,7749.59,5809.86,3066.7,21371.15,56708.32,2336.34,62.12,422.32,8.66,2829.44,669.71,3530.08,21817.11,28846.34,6560.21,3024.75,7153.69,11123.33,27861.98,56708.32,7022.46,620.73,1182.34,4.75,78.3,0.0,775.33,1701.5,464.27,669.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,696.41,696.41,26565.75,26565.75,27262.16,5089.29,4101.02,9190.31,5385.0,9895.83,5273.98,2796.63,23351.44,59803.91,2408.74,67.24,344.59,9.26,2829.83,669.54,3422.62,22799.64,29721.63,6755.9,3128.35,6642.58,13555.45,30082.28,59803.91,7661.56,734.51,674.48,6.21,114.59,0.0,395.58,1188.99,464.27,669.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,696.41,696.41,24154.18,24154.18,24850.59,6744.96,2489.08,9234.04,8808.0,8696.24,5510.29,2318.27,25332.8,59417.43,2510.69,63.35,282.32,26.04,2882.4,667.6,4201.26,17120.48,24871.74,7220.57,4785.38,6157.47,16382.27,34545.69,59417.43,9975.98,568.77,833.42,42.18,119.62,0.0,351.19,710.85,464.27,667.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
