Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,704.13,704.13,0.0,0.0,56.46,2.92,604.26,40.49,80.88,121.37,2.75,118.62,118.62,-44.13,162.75,0.0,162.75,94.05,0.0,17.3,17.3,0.0,0.0,0.0,0.0,0.0
2018-09-30,962.29,962.29,0.0,0.0,63.12,3.1,836.35,59.72,70.27,129.99,4.5,125.49,125.49,41.92,83.57,0.0,83.57,94.05,0.0,8.89,8.89,0.0,0.0,0.0,0.0,0.0
2018-12-31,1215.89,1215.89,0.0,0.0,64.41,2.99,1037.13,111.36,39.76,151.12,3.64,147.48,147.48,44.71,102.77,0.0,102.77,94.05,0.0,10.93,10.93,0.0,0.0,0.0,0.0,0.0
2019-03-31,1532.79,1532.79,0.0,-37.83,66.71,2.69,1346.48,154.74,73.53,228.27,4.68,223.59,223.59,128.0,95.59,0.0,95.59,94.05,0.0,10.16,10.16,0.0,0.0,0.0,0.0,0.0
2019-06-30,1120.83,1120.83,0.0,27.8,64.46,2.73,888.01,137.83,82.3,220.13,4.55,215.58,215.58,74.35,141.23,0.0,141.23,94.05,0.0,15.02,15.02,0.0,0.0,0.0,0.0,0.0
2019-09-30,1161.12,1161.12,0.0,-19.01,61.73,2.94,1029.04,86.42,56.89,143.31,6.1,137.21,137.21,49.51,87.7,0.0,87.7,94.05,0.0,9.32,9.32,0.0,0.0,0.0,0.0,0.0
2019-12-31,1132.18,1132.18,0.0,39.09,66.09,4.39,909.91,112.7,57.85,170.55,12.28,158.27,158.27,19.84,138.43,0.0,138.43,94.05,0.0,14.72,14.72,0.0,0.0,0.0,0.0,0.0
2020-03-31,1788.32,1788.32,218.4,-31.99,69.09,5.87,1403.29,123.66,42.23,165.89,4.38,161.51,161.51,39.09,122.42,0.0,122.42,94.05,0.0,13.02,13.02,0.0,0.0,0.0,0.0,0.0
2020-06-30,477.35,477.35,15.96,43.86,59.69,6.22,324.02,27.6,36.13,63.73,3.6,60.13,60.13,20.25,39.88,0.0,39.88,94.05,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0
2020-09-30,965.57,965.57,92.23,105.28,57.78,6.27,644.24,59.77,49.59,109.36,5.82,103.54,103.54,27.33,76.21,0.0,76.21,94.05,0.0,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2020-12-31,1244.46,1244.46,121.99,18.68,55.87,6.26,963.41,78.25,59.43,137.68,3.45,134.23,134.23,31.09,103.14,0.0,103.14,94.05,0.0,2.19,2.19,0.0,0.0,0.0,0.0,0.0
2021-03-31,2260.39,2260.39,136.45,43.95,55.99,6.09,1847.32,170.59,107.39,277.98,1.86,276.12,276.12,90.79,185.33,0.0,185.33,94.05,0.0,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2021-06-30,1051.09,1051.09,80.87,-63.09,54.8,6.08,907.59,64.84,52.4,117.24,3.09,114.15,114.15,29.45,84.7,0.0,84.7,188.1,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2021-09-30,1421.06,1421.06,86.85,43.92,63.38,6.11,1128.65,92.15,82.22,174.37,1.46,172.91,172.91,40.28,132.63,0.0,132.63,188.1,0.0,1.41,1.41,0.0,0.0,0.0,0.0,0.0
2021-12-31,1638.91,1638.91,163.96,-81.72,67.99,6.12,1381.92,100.64,70.2,170.84,1.73,169.11,169.11,39.21,129.9,0.0,129.9,188.1,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2022-03-31,2797.08,2797.08,180.45,-64.37,62.42,9.18,2519.44,89.96,68.04,158.0,4.11,153.89,153.89,-43.2,197.09,0.0,197.09,188.1,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0
2022-06-30,1897.2,1897.2,70.64,-16.4,55.31,6.76,1679.22,101.67,59.75,161.42,1.2,160.22,160.22,37.09,123.13,0.0,123.13,188.1,0.0,1.31,1.31,0.0,0.0,0.0,0.0,0.0
2022-09-30,2117.21,2117.21,84.13,-4.17,67.79,6.78,1816.19,146.49,83.37,229.86,4.3,225.56,225.56,47.46,178.1,0.0,178.1,188.1,0.0,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2022-12-31,2236.86,2236.86,95.51,48.28,69.21,6.8,1895.38,121.68,93.27,214.95,2.0,212.95,212.95,-14.47,227.42,0.0,227.42,188.1,0.0,2.42,2.42,0.0,0.0,0.0,0.0,0.0
2023-03-31,3669.93,3669.93,141.8,17.89,72.39,17.39,3238.44,182.02,104.04,286.06,1.6,284.46,284.46,36.28,248.18,0.0,248.18,188.1,0.0,2.64,2.64,0.0,0.0,0.0,0.0,0.0
2023-06-30,2625.64,2625.64,95.47,6.82,65.93,8.66,2286.65,162.11,67.57,229.68,2.08,227.6,227.6,65.94,161.66,0.0,161.66,188.1,0.0,1.72,1.72,0.0,0.0,0.0,0.0,0.0
2023-09-30,2883.64,2883.64,170.65,62.5,81.99,9.16,2395.96,163.38,138.65,302.03,2.93,299.1,299.1,68.66,230.44,0.0,230.44,188.1,0.0,2.45,2.45,0.0,0.0,0.0,0.0,0.0
2023-12-31,2792.14,2792.14,102.47,-127.92,82.73,9.19,2560.8,164.87,83.62,248.49,2.52,245.97,245.97,60.85,185.12,0.0,185.12,188.1,0.0,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2024-03-31,3648.98,3648.98,162.96,25.65,76.44,9.2,3137.39,237.34,147.61,384.95,2.08,382.87,382.87,97.19,285.68,0.0,285.68,188.1,0.0,3.04,3.04,0.0,0.0,0.0,0.0,0.0
2024-06-30,2180.48,2180.48,59.51,-0.03,68.12,9.55,1904.41,138.92,97.37,236.29,1.98,234.31,234.31,57.8,176.51,0.0,176.51,188.1,0.0,1.88,1.88,0.0,0.0,0.0,0.0,0.0
2024-09-30,2298.86,2298.86,159.8,7.66,69.66,9.65,1957.16,94.93,155.82,250.75,2.08,248.67,248.67,46.45,202.22,0.0,202.22,188.1,0.0,2.15,2.15,0.0,0.0,0.0,0.0,0.0
2024-12-31,2470.35,2470.35,209.54,26.99,67.83,9.55,2078.14,78.3,99.82,178.12,1.31,176.81,176.81,36.16,140.65,0.0,140.65,188.1,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0
2025-03-31,3243.45,3243.45,234.54,0.0,50.63,9.5,2820.02,128.76,131.3,260.06,2.04,258.02,258.02,39.81,218.21,0.0,218.21,188.1,0.0,2.31,2.32,0.0,0.0,0.0,0.0,0.0
