Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Deferred Tax Liabilities [Net],Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,19.8,19.8,2973.23,2973.23,2993.03,0.0,172.22,407.15,579.37,594.5,1178.01,815.85,2588.36,6160.76,153.09,0.01,15.64,1.01,0.0,169.75,318.21,301.37,674.52,4.89,1468.74,176.02,118.8,662.43,2675.36,561.06,498.35,4692.02,6160.76,0.0,1142.93,2184.76,9.9,190.95,127.02,179.24,0.0,60.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,19.8,19.8,3491.55,3491.55,3511.34,0.0,168.85,338.05,506.9,447.67,1735.13,327.65,2510.46,6528.7,150.74,0.03,0.38,1.01,270.4,422.56,407.81,274.31,160.05,298.32,1563.04,68.39,114.44,463.27,3221.47,20.41,1077.69,4965.66,6528.7,0.0,1173.55,2075.27,9.9,175.61,241.61,68.39,0.0,55.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,19.8,19.8,3647.21,3647.21,3667.0,0.0,1073.15,149.78,1222.93,405.85,2486.86,354.14,3246.85,8136.78,146.4,0.1,1.5,1.01,278.18,427.18,605.28,222.31,85.74,336.16,1676.68,138.02,140.62,525.4,4553.1,3.95,1099.01,6460.1,8136.78,0.0,1151.45,2037.18,9.9,292.98,313.9,132.49,5.53,60.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,98.98,98.98,3728.85,3728.85,3827.83,0.0,1922.33,76.18,1998.5,363.75,2679.6,297.94,3341.29,9167.63,137.08,1.21,0.0,0.0,307.35,445.63,973.16,161.05,339.84,503.97,2423.65,249.91,139.34,424.66,4657.54,84.77,1187.77,6743.98,9167.63,2580.22,0.0,0.0,89.08,293.32,681.79,249.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,94.05,94.05,3657.39,3657.39,3751.44,3200.0,1208.46,75.28,4483.74,513.04,3687.06,265.32,4465.42,12700.6,133.58,0.83,0.98,0.0,358.67,494.06,984.52,150.88,806.34,2870.48,5306.28,216.17,140.74,667.19,4600.5,1.87,1767.85,7394.32,12700.6,2501.64,386.0,450.0,84.64,349.33,693.14,216.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,94.05,94.05,3855.49,3855.49,3949.54,2560.0,1019.58,79.77,3659.35,548.6,4569.37,242.58,5360.55,12969.44,128.19,0.9,48.06,0.0,477.61,654.76,1214.5,144.62,995.81,2863.55,5873.24,99.73,331.94,505.14,2932.74,74.94,3151.71,7096.2,12969.44,2921.68,607.6,639.62,84.64,314.23,923.1,99.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,94.05,94.05,4067.08,4067.08,4161.13,1845.92,655.13,78.66,2579.71,576.85,5102.35,224.07,5903.27,12644.11,275.81,0.4,0.66,9.79,489.02,775.68,1468.52,93.68,1409.68,2131.84,5879.4,0.0,320.66,559.34,2500.88,62.8,3321.03,6764.71,12644.11,2607.79,525.67,540.62,84.64,322.13,1177.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,94.05,94.05,4312.43,4312.43,4406.48,0.0,599.91,79.11,679.02,737.9,4638.91,202.18,5578.99,10664.49,259.43,0.25,0.27,9.79,511.01,780.75,1505.58,82.56,1385.18,121.67,3875.74,0.0,117.6,504.64,3250.46,94.04,2822.01,6788.75,10664.49,2654.27,515.55,561.03,84.64,343.48,1214.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,188.1,188.1,4432.86,4432.86,4620.96,0.0,559.49,79.7,639.19,1010.33,6245.96,211.04,7467.33,12727.48,192.72,0.44,0.0,9.79,555.18,758.13,1714.19,84.15,283.47,47.9,2887.84,50.0,272.26,709.16,5339.97,31.65,3436.6,9839.64,12727.48,3617.26,467.1,521.26,178.69,252.66,1489.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,188.1,188.1,4990.38,4990.38,5178.48,0.0,1412.66,119.69,1532.35,811.41,5953.12,201.05,6965.58,13676.41,183.05,8.69,0.0,2.59,552.31,746.64,2037.6,114.6,315.84,114.16,3328.84,99.99,206.44,868.73,4785.32,30.14,4356.95,10347.57,13676.41,8188.56,406.83,432.99,178.69,130.41,1912.4,109.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,188.1,188.1,5583.66,5583.66,5771.76,0.0,1701.29,142.37,1843.66,854.37,5353.14,261.2,6468.71,14084.13,191.8,8.9,6.56,0.0,543.07,750.33,2275.88,123.33,279.1,330.35,3758.99,563.51,232.37,946.46,4429.13,35.8,4117.87,10325.14,14084.13,7597.61,553.23,622.66,178.69,130.43,2150.69,563.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
