Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2008-03-31,678.4,678.4,0.27,0.11,0.0,0.0,551.12,126.9,0.0,126.9,0.0,126.9,126.9,43.13,83.77,-0.04,83.73,500.0,0.0,167.4,0.0
2008-06-30,685.22,685.22,0.22,0.1,0.0,0.0,533.44,151.46,0.0,151.46,0.0,151.46,151.46,51.49,99.97,0.0,99.97,500.0,0.0,199.9,0.0
2008-09-30,759.53,759.53,0.23,0.1,0.0,0.0,63.97,695.23,0.0,695.23,545.54,149.69,149.69,50.89,98.8,0.0,98.8,500.0,0.0,197.6,0.0
2008-12-31,760.88,760.88,0.18,0.1,0.0,0.0,633.15,127.45,7.11,134.56,0.0,134.56,134.56,45.74,88.82,-0.03,88.79,500.0,0.0,177.5,0.0
2009-03-31,830.31,830.31,0.79,0.11,0.0,0.0,28.28,801.13,9.41,810.54,586.97,223.57,223.57,76.05,147.52,0.0,147.52,500.0,0.0,295.0,0.0
2019-12-31,3640.73,3640.73,1.28,0.12,0.55,0.0,6.33,3632.45,0.21,3632.66,2725.62,907.04,907.04,0.0,907.04,0.0,907.04,9380.46,0.0,0.97,0.86
2020-03-31,3205.52,3205.52,2.73,0.12,3.71,0.0,44.57,3154.38,0.0,3154.38,2499.71,654.66,654.66,0.0,654.66,0.0,654.66,11880.46,0.0,0.55,0.62
2020-06-30,3669.22,3669.22,1.26,0.12,-2.83,0.0,38.18,3632.49,0.0,3632.5,2740.69,891.81,891.81,0.0,891.81,0.0,891.81,13068.51,0.0,0.68,0.0
2020-09-30,3713.9,3713.9,1.39,0.12,1.39,0.0,15.94,3695.06,0.27,3695.33,2700.29,995.03,995.03,0.0,995.03,0.0,995.03,11880.46,0.0,0.84,0.76
2020-12-31,3932.39,3932.39,2.68,0.12,0.6,0.0,4.08,3924.91,0.07,3924.98,2878.24,1046.74,1046.74,0.0,1046.74,0.0,1046.74,11880.46,0.0,0.88,0.8
2021-03-31,4454.97,4454.97,2.51,4.08,3.55,0.0,44.48,4400.34,0.04,4400.38,2917.83,1482.55,1482.55,0.0,1482.55,0.0,1482.55,13068.51,0.0,1.23,1.23
2021-06-30,4581.56,4581.56,1.8,3.1,-2.27,0.0,3.53,4575.4,0.04,4575.44,3073.49,1501.95,1501.95,0.0,1501.95,0.0,1501.95,13068.51,0.0,1.15,1.15
2021-09-30,4690.02,4690.02,2.17,3.11,1.39,0.0,24.77,4658.59,0.02,4658.61,3157.13,1501.48,1501.48,0.0,1501.48,0.0,1501.48,13068.51,25848.62,1.15,1.15
2021-12-31,5095.96,5095.96,2.35,3.1,0.7,0.0,5.75,5084.05,1.19,5085.24,3491.34,1593.91,1593.91,0.0,1593.91,0.0,1593.91,13068.51,26436.17,1.22,1.22
2022-03-31,5931.13,5931.13,4.43,4.72,0.64,0.0,77.38,5843.96,1.68,5845.64,4352.83,1492.81,1492.81,0.32,1492.5,0.0,1492.5,13068.51,27927.83,1.14,1.14
2022-06-30,5627.44,5627.44,2.62,3.51,-4.66,0.0,24.78,5601.19,0.03,5601.22,3939.64,1661.58,1661.58,0.0,1661.58,0.0,1661.58,13068.51,29588.64,1.27,1.27
2022-09-30,5809.8,5809.8,3.82,3.51,0.54,0.0,29.71,5772.23,0.59,5772.82,4058.54,1714.28,1714.28,0.0,1714.28,0.0,1714.28,13068.51,30480.59,1.31,1.31
2022-12-31,6217.96,6217.96,2.4,3.73,0.59,0.0,27.53,6183.71,4.07,6187.78,4554.33,1633.45,1633.45,0.0,1633.45,0.0,1633.45,13068.51,31073.64,1.25,1.25
2023-03-31,6236.08,6236.08,4.26,3.32,0.62,0.0,42.14,6185.74,36.67,6222.41,4894.7,1327.71,1327.71,0.0,1327.71,0.0,1327.71,13068.51,32401.81,1.02,1.02
2023-06-30,6679.17,6679.17,2.77,4.23,-5.43,0.0,31.92,6645.69,1.86,6647.54,5090.97,1556.57,1556.57,0.0,1556.57,0.0,1556.57,13068.51,33965.25,1.2,1.2
2023-09-30,6766.32,6766.32,2.71,2.15,0.5,0.0,30.76,6730.21,1.16,6731.36,5181.49,1549.87,1549.87,0.0,1549.87,0.0,1549.87,13068.51,34615.44,1.2,1.2
2023-12-31,6741.86,6741.86,3.12,1.33,0.51,0.0,31.84,6705.07,3.45,6708.52,5104.29,1604.23,1604.23,0.0,1604.23,0.0,1604.23,13068.51,35180.82,1.23,1.23
2024-03-31,6473.12,6473.12,2.58,1.73,0.5,0.0,31.14,6437.17,4.87,6442.04,4724.72,1717.32,1717.32,0.0,1717.32,0.0,1717.32,13068.51,36110.06,1.32,1.32
2024-06-30,6765.63,6765.63,2.62,1.59,-3.63,0.0,33.7,6731.35,0.39,6731.74,5154.91,1576.83,1576.83,0.0,1576.83,0.0,1576.83,13068.51,37703.7,1.21,1.21
2024-09-30,6899.66,6899.66,2.92,1.09,0.47,0.0,34.33,6860.85,0.54,6861.39,5248.74,1612.65,1612.65,0.0,1612.65,0.0,1612.65,13068.51,38395.61,1.23,1.23
2024-12-31,6763.43,6763.43,3.64,1.34,0.46,0.0,35.23,6722.76,2.96,6725.72,5095.07,1630.65,1630.65,0.0,1630.65,0.0,1630.65,13068.51,0.0,1.25,1.25
2025-03-31,6723.23,6723.23,4.33,1.29,3.38,0.0,36.56,6677.67,0.57,6678.24,4996.37,1681.87,1681.87,0.0,1681.87,0.0,1681.87,13068.51,0.0,1.29,1.29
