Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Revaluation Reserves,Share Capital Suspense,Foreign Currency Monetary Item Translation Difference A/C,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,295.16,295.16,16485.24,16496.03,0.0,16791.19,3744.42,889.65,586.27,510.33,5730.67,0.74,6068.8,1133.56,1563.69,8766.79,31288.65,5706.3,170.65,394.86,833.58,7105.39,9787.73,3018.12,88.49,19999.73,1592.12,2803.63,2509.84,2950.39,945.83,487.11,11288.92,31288.65,6421.09,612.38,41.6,2125.29,134.64,170.61,26208.49,6498.24,76.17,1516.18,0.0,10.79,0.0,0.0,4.71,535.25,15.01,141.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,295.7,295.7,18948.6,18959.39,0.0,19255.09,2514.13,979.7,614.34,607.34,4715.51,106.25,5365.45,2041.13,1461.44,8974.27,32944.87,5795.44,134.02,755.67,1423.09,8108.22,11372.74,3232.26,103.44,22816.66,1765.42,2437.57,2558.03,2064.77,773.1,529.32,10128.21,32944.87,5419.91,709.86,44.96,2224.79,111.21,170.61,33312.06,7598.81,58.09,1708.18,0.0,10.79,0.0,0.0,5.27,461.76,1.03,259.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,296.32,296.32,22126.85,22126.85,0.0,22423.17,1495.42,460.08,620.34,656.24,3232.08,348.13,6674.71,2412.94,408.54,9844.32,35499.57,6545.73,1050.26,231.53,1330.62,9158.14,11161.42,1223.55,2320.78,23863.89,2385.98,2687.93,2511.64,2287.03,486.76,1276.34,11635.68,35499.57,4475.89,838.15,0.0,2427.92,0.0,170.61,4801.44,7612.9,44.68,2341.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,296.81,296.81,26488.81,26488.81,0.0,26785.62,2233.99,0.0,490.21,824.45,3548.65,538.88,6881.08,1648.61,565.48,9634.05,39968.32,6536.72,1234.32,409.78,1630.62,9811.44,14301.7,34.12,2958.22,27360.32,3606.7,2758.01,2938.84,1687.48,506.51,1110.46,12608.0,39968.32,5276.23,789.04,0.0,2376.47,0.0,170.61,4609.37,10977.76,2297.92,1308.78,254.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,594.97,594.97,29699.07,29699.07,0.0,30294.04,2195.9,277.24,464.55,861.81,3799.5,668.47,8603.4,3383.95,667.39,13323.21,47416.75,6507.95,1351.46,1079.72,2048.99,10988.12,16645.48,43.01,3265.67,30942.28,3937.49,2701.69,3172.98,2893.73,975.16,2793.42,16474.47,47416.75,4132.23,823.62,0.0,2504.98,0.0,481.41,3033.52,12034.5,2802.26,1135.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,595.8,595.8,33613.43,33613.43,0.0,34209.23,2031.78,634.13,604.92,882.93,4153.76,448.54,9678.15,3518.71,688.67,14334.07,52697.06,7614.71,2467.04,706.77,1713.02,12501.54,19032.07,37.55,3054.84,34626.0,2983.96,3839.27,3946.3,3731.66,673.4,2896.47,18071.06,52697.06,5622.13,1005.75,0.0,0.0,3063.06,481.41,42340.5,14591.94,2194.69,789.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,596.52,596.52,33606.36,33606.36,264.96,34467.84,2032.03,1408.17,698.22,922.98,5061.4,900.0,6785.83,2691.43,595.56,10972.82,50502.06,7980.76,2413.83,1196.68,2812.78,14404.05,17748.48,138.86,3069.18,35360.57,2189.65,3400.91,2998.98,4236.51,512.02,1803.42,15141.49,50502.06,5233.59,1096.9,0.0,0.0,2237.45,481.41,23044.04,16635.21,1718.34,471.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,597.39,597.39,33649.65,33649.65,254.88,34501.92,7070.03,1343.15,585.11,955.42,9953.71,24.74,9988.16,4633.79,486.48,15133.17,59588.8,7872.59,2306.76,1708.88,3123.28,15011.51,19576.6,1652.72,3035.67,39276.5,4488.47,3955.47,2342.85,6255.42,756.94,2513.15,20312.3,59588.8,5540.49,1096.54,0.0,0.0,2000.03,481.41,44346.71,20071.85,4488.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,598.3,598.3,38139.19,38139.19,223.46,38960.95,5678.02,1700.8,1057.54,912.66,9349.02,811.93,12893.54,4661.21,453.61,18820.29,67130.26,12004.37,2544.25,1521.52,3496.65,19566.79,17207.75,960.2,3477.82,41212.56,7902.06,5882.85,3035.11,3650.53,1845.52,3601.63,25917.7,67130.26,4067.07,2628.79,0.0,0.0,3294.13,481.41,57237.27,17635.0,6796.86,1105.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,599.05,599.05,42497.35,42497.35,260.33,43356.73,2331.56,1470.29,1374.15,1207.09,6383.09,2312.17,17145.62,5975.37,606.83,26039.99,75779.81,13050.12,3926.08,950.27,1834.35,19760.82,17539.06,177.45,3658.85,41136.18,9548.01,8881.35,4041.73,4481.75,2176.96,5513.83,34643.63,75779.81,7279.74,7048.74,0.0,0.0,4466.66,481.41,51714.55,18855.74,6977.23,2570.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,599.62,599.62,51378.18,51378.18,298.76,52276.56,1134.86,1555.06,1678.92,1187.23,5556.07,450.03,18591.95,6252.6,684.17,25978.75,83811.38,13740.02,3788.01,1846.0,1909.8,21283.83,21548.74,93.09,5779.92,48705.58,8446.66,9504.82,4549.46,5525.92,2378.92,4700.02,35105.8,83811.38,22173.56,4974.81,0.0,0.0,3874.25,481.41,63638.48,21835.87,6224.92,2221.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,600.39,600.39,60984.71,60984.71,0.0,61585.1,1055.9,1662.88,1839.5,1425.74,5984.02,79.15,23405.77,7751.72,843.15,32079.79,99648.91,18126.27,3666.43,1763.19,0.0,23555.89,22378.6,2426.13,3624.39,51985.01,13089.45,10333.34,5725.57,10790.55,1169.49,6555.5,47663.9,99648.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
