Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-09-30,959.71,959.71,143.46,464.57,60.59,69.93,3.16,100.46,117.54,3.53,121.07,15.7,105.37,0.0,105.37,34.57,70.8,70.8,125.35,1.13,1.13
2017-12-31,938.19,938.19,236.02,430.79,-39.1,74.18,3.22,119.83,113.25,6.62,119.87,15.83,104.04,0.0,104.04,34.54,69.5,69.5,125.35,1.11,1.11
2018-03-31,1126.31,1126.31,256.19,520.22,-6.06,69.97,3.08,121.52,161.39,10.91,172.3,16.07,156.23,0.0,156.23,53.01,103.22,103.22,125.36,1.65,1.64
2018-06-30,1203.89,1203.89,340.89,544.73,-71.35,71.83,3.1,150.53,164.16,8.84,173.0,15.21,157.79,0.0,157.79,53.52,104.27,104.27,125.36,1.66,1.66
2018-09-30,1037.83,1037.83,133.05,500.77,107.26,67.53,3.23,105.3,120.69,9.83,130.52,15.04,115.48,0.0,115.48,38.57,76.91,76.91,125.36,1.23,1.22
2018-12-31,1030.31,1030.31,301.62,456.7,-55.09,76.02,3.26,124.99,122.81,12.38,135.19,15.03,120.16,0.0,120.16,40.49,79.67,79.67,125.38,1.27,1.26
2019-03-31,1206.88,1206.88,280.93,556.42,-4.11,76.5,3.3,128.6,165.24,17.21,182.45,14.32,168.13,0.0,168.13,26.46,141.67,141.67,125.38,2.26,2.25
2019-06-30,1346.84,1346.84,261.59,642.91,2.83,81.98,5.78,165.47,186.28,17.32,203.6,14.99,188.61,0.0,188.61,66.01,122.6,122.6,125.4,1.96,1.94
2019-09-30,1075.79,1075.79,231.01,528.12,-26.48,81.0,6.39,132.63,123.12,12.24,135.36,8.71,126.65,0.0,126.65,15.38,111.27,111.27,125.41,1.78,1.76
2019-12-31,1071.29,1071.29,216.41,520.2,-7.65,77.36,6.42,128.11,130.44,17.39,147.83,8.72,139.11,0.0,139.11,-21.91,161.02,161.02,125.45,2.57,2.55
2020-03-31,1018.05,1018.05,270.45,520.62,-94.99,70.61,8.2,112.93,130.23,11.92,142.15,8.25,133.9,0.0,133.9,34.09,99.81,99.81,125.46,1.59,1.58
2020-06-30,713.17,713.17,71.17,284.86,125.32,72.0,7.99,61.0,90.83,18.76,109.59,10.78,98.81,0.0,98.81,25.1,73.71,73.71,125.46,1.18,1.17
2020-09-30,1198.39,1198.39,255.8,527.35,20.94,79.65,7.66,128.79,178.2,16.66,194.86,11.13,183.73,0.0,183.73,46.65,137.08,137.08,125.47,2.19,2.17
2020-12-31,1323.13,1323.13,303.19,653.46,-61.02,92.93,6.88,139.39,188.3,19.87,208.17,10.56,197.61,0.0,197.61,50.18,147.43,147.43,125.48,2.35,2.33
2021-03-31,1515.26,1515.26,355.28,817.53,-123.44,92.0,7.16,149.06,217.67,20.34,238.01,10.44,227.57,0.0,227.57,-18.95,246.52,246.52,125.54,3.93,3.9
2021-06-30,1046.15,1046.15,211.45,517.98,-20.69,88.53,7.57,126.11,115.2,19.69,134.89,10.07,124.82,0.0,124.82,31.7,93.12,93.12,125.56,1.48,1.47
2021-09-30,1384.81,1384.81,322.15,611.2,8.1,96.22,10.06,133.01,204.08,28.44,232.52,8.02,224.5,0.0,224.5,54.01,170.49,170.49,125.6,2.72,2.69
2021-12-31,1410.19,1410.19,302.31,593.38,67.77,94.13,10.17,150.96,191.47,13.75,205.22,6.67,198.55,0.0,198.55,50.43,148.12,148.12,125.61,2.36,2.34
2022-03-31,1532.05,1532.05,358.0,734.09,-15.73,83.51,14.49,149.87,207.82,18.02,225.84,10.55,215.29,0.0,215.29,33.53,181.76,181.76,126.68,2.89,2.89
2022-06-30,1608.05,1608.05,383.62,850.68,-120.57,118.72,12.3,181.93,181.37,10.54,191.91,20.65,171.26,0.0,171.26,43.74,127.52,127.52,126.73,2.01,2.0
2022-09-30,1331.61,1331.61,291.09,561.93,62.24,106.97,12.84,158.3,138.24,24.69,162.93,28.06,134.87,8.89,143.76,11.81,131.95,131.95,127.18,2.08,2.07
2022-12-31,1265.81,1265.81,254.55,568.24,46.25,108.26,14.28,158.33,115.9,19.27,135.17,27.89,107.28,0.0,107.28,22.94,84.34,84.34,127.18,1.33,1.32
2023-03-31,1603.84,1603.84,378.78,834.49,-101.85,105.68,14.81,190.39,181.54,19.91,201.45,26.09,175.36,-3.35,172.01,40.26,131.75,131.75,127.22,2.07,2.07
2023-06-30,1657.46,1657.46,398.84,802.05,-30.12,112.72,13.99,208.25,151.73,18.59,170.32,19.22,151.1,0.0,151.1,35.78,115.32,115.32,127.94,1.81,1.8
2023-09-30,1476.17,1476.17,320.39,732.74,-21.94,116.38,15.61,177.98,135.01,12.42,147.43,19.75,127.68,0.0,127.68,32.89,94.79,94.79,128.03,1.48,1.48
2023-12-31,1458.13,1458.13,305.34,734.5,-49.88,118.25,16.51,202.83,130.58,14.9,145.48,19.61,125.87,0.0,125.87,30.5,95.37,95.37,128.04,1.49,1.49
2024-03-31,1796.62,1796.62,353.76,865.88,1.35,126.86,19.12,223.5,206.15,14.43,220.58,14.19,206.39,0.0,206.39,45.42,160.97,160.97,128.62,2.52,2.52
2024-06-30,1959.46,1959.46,364.42,964.99,17.17,134.44,19.63,255.99,202.82,21.83,224.65,13.96,210.69,0.0,210.69,53.07,157.62,157.62,128.65,2.45,2.45
2024-09-30,1645.33,1645.33,271.12,868.06,-18.42,133.02,20.71,211.25,159.59,15.5,175.09,10.5,164.59,0.0,164.59,41.31,123.28,123.28,128.73,1.92,1.92
2024-12-31,1545.0,1545.0,268.0,874.15,-101.52,123.46,21.04,209.97,149.9,10.3,160.2,9.36,150.84,0.0,150.84,39.1,111.74,111.74,128.75,1.74,1.74
2025-03-31,1878.5,1878.5,281.98,937.59,33.34,143.97,22.83,235.92,222.87,15.57,238.44,8.97,229.47,0.0,229.47,58.93,170.54,170.54,128.76,2.65,2.65
