Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2021-09-30,1176.2,0.0,1176.2,586.79,40.43,-82.88,112.4,59.33,185.65,274.48,4.5,278.98,20.59,258.39,258.39,60.76,197.63,197.63,107.32,0.0,3.68,3.67
2021-12-31,932.58,0.0,932.58,421.94,33.32,-30.35,108.16,59.72,184.09,155.7,7.19,162.89,20.94,141.95,141.95,32.79,109.16,109.16,107.47,0.0,2.04,2.02
2022-03-31,1377.66,0.0,1377.66,532.93,56.41,102.01,111.06,60.94,202.34,311.97,2.29,314.26,29.29,284.97,284.97,63.75,221.22,221.22,107.47,0.0,4.11,4.1
2022-06-30,1495.25,0.0,1495.25,762.39,54.94,-159.38,130.78,66.0,288.34,352.18,2.93,355.11,27.5,327.61,327.61,96.0,231.61,231.61,107.47,0.0,4.31,4.3
2022-09-30,1498.16,0.0,1498.16,740.5,44.1,-112.48,126.48,75.55,273.52,350.49,4.1,354.59,37.91,316.68,316.68,89.24,227.44,227.44,107.47,0.0,4.23,4.21
2022-12-31,1500.7,0.0,1500.7,566.56,51.8,101.64,127.21,78.48,268.39,306.62,2.98,309.6,39.26,270.34,270.34,71.29,199.05,199.05,107.73,0.0,3.71,3.7
2023-03-31,1279.34,0.0,1279.34,446.49,4.87,211.04,112.1,80.55,252.4,171.89,5.94,177.83,41.03,136.8,136.8,34.52,102.28,102.28,107.73,0.0,1.89,1.88
2023-06-30,1107.65,0.0,1107.65,531.45,26.33,32.21,137.43,83.87,252.35,44.01,6.71,50.72,33.47,17.25,17.25,4.18,13.07,13.07,107.73,0.0,0.24,0.24
2023-09-30,1158.03,0.0,1158.03,657.56,26.29,-120.58,143.19,85.4,271.06,95.11,5.9,101.01,37.8,63.21,63.21,16.54,46.67,46.67,107.73,0.0,0.87,0.87
2023-12-31,1132.19,0.0,1132.19,627.97,17.54,-109.76,133.59,86.84,292.47,83.54,10.72,94.26,37.56,56.7,56.7,14.06,42.64,42.64,107.79,0.0,0.79,0.79
2024-03-31,1414.52,0.0,1414.52,579.97,40.76,95.65,138.0,88.9,289.03,182.21,24.09,206.3,41.99,164.31,164.31,42.99,121.32,121.32,107.79,0.0,2.25,2.25
2024-06-30,1116.93,0.0,1116.93,556.95,22.67,-59.66,149.23,91.0,286.35,70.39,9.3,79.69,40.89,38.8,38.8,10.02,28.78,28.78,107.83,0.0,0.53,0.53
2024-09-30,1184.85,0.0,1184.85,581.24,25.59,-45.99,148.94,90.94,293.24,90.89,11.89,102.78,44.69,58.09,58.09,15.65,42.44,42.44,107.83,0.0,0.79,0.79
2024-12-31,1265.19,0.0,1265.19,628.75,34.79,-62.6,161.7,88.66,296.27,117.62,7.12,124.74,48.02,76.72,76.72,19.45,57.27,57.27,107.85,0.0,1.06,1.06
2025-03-31,1650.01,0.0,1650.01,604.44,22.31,154.7,148.77,88.19,324.95,306.65,72.16,378.81,48.61,330.2,330.2,78.3,251.9,251.9,107.85,0.0,4.68,4.67
