Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,122.33,1.41,123.74,73.85,-6.87,19.5,3.53,17.1,16.63,4.6,21.23,0.11,21.12,0.0,21.12,6.76,14.36,14.36,33.0,0.44,0.44,9.9,29.99,22.5,97.4,68.19
2015-09-30,175.2,2.09,177.29,121.24,-24.29,15.25,3.53,23.48,38.08,3.58,41.66,0.13,41.53,0.0,41.53,13.91,27.62,27.62,33.0,0.84,0.84,9.9,29.99,22.5,97.4,68.19
2015-12-31,196.74,0.93,197.67,119.16,2.38,14.32,3.39,20.93,37.49,3.68,41.17,0.08,41.09,0.0,41.09,13.59,27.5,27.5,33.0,0.83,0.83,0.0,0.0,0.0,0.0,0.0
2016-03-31,205.71,3.72,209.43,110.61,3.36,14.13,3.54,28.47,49.32,2.01,51.33,0.02,51.31,0.0,51.31,16.98,34.33,34.33,33.0,1.04,1.04,0.0,0.0,0.0,0.0,0.0
2016-06-30,154.9,0.0,154.9,104.67,-27.17,22.7,3.56,22.96,28.18,4.32,32.5,0.03,32.47,0.0,32.47,10.55,21.92,21.92,33.0,0.66,0.66,0.0,0.0,0.0,0.0,0.0
2016-09-30,198.77,2.03,200.8,103.27,11.54,15.88,3.4,28.69,38.02,10.03,48.05,0.0,48.05,0.0,48.05,16.04,32.01,32.01,33.0,0.97,0.97,0.0,0.0,0.0,0.0,0.0
2016-12-31,196.64,1.42,198.06,84.22,17.44,17.42,3.68,26.86,48.44,4.46,52.9,0.15,52.75,0.0,52.75,17.67,35.08,35.08,33.0,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2017-03-31,179.0,0.0,179.0,94.36,1.49,18.25,4.16,27.35,33.39,10.1,43.49,0.15,43.34,0.0,43.34,16.17,27.17,27.17,33.0,0.82,0.82,0.0,0.0,0.0,0.0,0.0
2017-06-30,118.99,0.0,118.99,61.35,-1.87,17.5,5.03,23.26,13.72,1.1,14.82,0.08,14.74,0.0,14.74,5.12,9.62,9.62,33.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2017-09-30,217.03,0.0,217.03,93.27,28.08,22.17,4.07,27.53,41.91,1.65,43.56,0.14,43.42,0.0,43.42,15.1,28.32,28.32,33.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0
2017-12-31,165.04,0.0,165.04,89.42,-7.33,19.33,4.68,31.48,27.46,2.22,29.68,0.3,29.38,0.0,29.38,8.38,21.0,21.0,33.0,0.64,0.64,0.0,0.0,0.0,0.0,0.0
2018-03-31,239.86,0.0,239.86,134.34,-11.89,20.62,5.33,36.81,54.65,3.83,58.48,0.01,58.47,0.0,58.47,19.17,39.3,39.3,33.0,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2018-06-30,169.68,0.0,169.68,101.51,-12.36,21.08,4.78,30.6,24.07,3.39,27.46,0.01,27.45,0.0,27.45,9.61,17.84,17.84,33.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2018-09-30,216.84,0.0,216.84,128.32,-13.09,23.29,4.79,36.91,36.62,5.55,42.17,0.04,42.13,0.0,42.13,14.73,27.4,27.4,33.0,0.83,0.83,0.0,0.0,0.0,0.0,0.0
2018-12-31,205.19,0.0,205.19,136.81,-18.88,23.47,5.27,30.54,27.98,1.76,29.74,0.33,29.41,0.0,29.41,10.44,18.97,18.97,33.0,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2019-03-31,237.08,0.0,237.08,140.16,3.19,23.33,5.26,33.17,31.97,5.48,37.45,0.74,36.71,0.0,36.71,13.37,23.34,23.34,32.33,0.72,0.72,0.0,0.0,0.0,0.0,0.0
2019-06-30,211.66,0.0,211.66,103.05,17.51,22.63,4.98,26.8,36.69,2.98,39.67,0.96,38.71,0.0,38.71,13.53,25.18,25.18,32.33,0.78,0.78,0.0,0.0,0.0,0.0,0.0
2019-09-30,245.44,0.0,245.44,127.55,3.34,24.7,5.14,39.93,44.78,5.21,49.99,0.88,49.11,0.0,49.11,5.61,43.5,43.5,32.33,1.35,1.35,0.0,0.0,0.0,0.0,0.0
2019-12-31,200.34,0.0,200.34,102.76,2.35,23.31,5.03,34.28,32.61,9.68,42.29,0.68,41.61,0.0,41.61,10.04,31.57,31.57,32.33,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2020-03-31,152.46,0.0,152.46,88.78,-5.16,23.75,4.93,30.58,9.58,3.97,13.55,0.81,12.74,0.0,12.74,2.93,9.81,9.81,32.33,0.3,0.3,0.0,0.0,0.0,0.0,0.0
2020-06-30,164.7,0.0,164.7,56.7,29.29,20.3,5.07,22.04,31.3,4.65,35.95,0.3,35.65,0.0,35.65,9.26,26.39,26.39,32.33,0.82,0.82,0.0,0.0,0.0,0.0,0.0
2020-09-30,183.78,0.0,183.78,99.43,-14.3,19.4,5.16,32.01,42.08,4.82,46.9,0.21,46.69,0.0,46.69,7.25,39.44,39.44,32.33,0.65,0.65,0.0,0.0,0.0,0.0,0.0
2020-12-31,173.72,0.0,173.72,102.85,-16.34,19.96,5.0,34.1,28.15,5.56,33.71,0.26,33.45,0.0,33.45,8.55,24.9,24.9,32.33,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2021-03-31,174.73,0.0,174.73,97.61,-0.49,20.49,4.94,34.13,18.05,4.66,22.71,0.35,22.36,0.0,22.36,5.84,16.52,16.52,32.33,0.51,0.51,0.0,0.0,0.0,0.0,0.0
2021-06-30,182.23,0.0,182.23,77.24,21.26,21.65,4.95,28.25,28.88,5.44,34.32,0.21,34.11,0.0,34.11,8.77,25.34,25.34,32.33,0.78,0.78,0.0,0.0,0.0,0.0,0.0
2021-09-30,186.39,0.0,186.39,103.63,-3.02,22.61,4.99,27.68,30.5,7.37,37.87,0.14,37.73,188.9,226.63,60.56,166.07,166.07,32.33,5.14,5.14,0.0,0.0,0.0,0.0,0.0
2021-12-31,216.81,0.0,216.81,117.52,3.11,22.77,5.02,33.22,35.17,7.46,42.63,0.04,42.59,0.0,42.59,11.31,31.28,31.28,32.33,0.97,0.97,0.0,0.0,0.0,0.0,0.0
2022-03-31,225.94,0.0,225.94,145.58,-15.39,24.55,5.06,35.56,30.58,6.22,36.8,0.4,36.4,0.0,36.4,9.59,26.81,26.81,32.33,0.83,0.83,0.0,0.0,0.0,0.0,0.0
2022-06-30,244.55,0.0,244.55,143.55,-1.8,25.03,4.7,36.85,36.22,6.83,43.05,0.23,42.82,0.0,42.82,10.94,31.88,31.88,32.33,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2022-09-30,258.55,0.0,258.55,167.17,-13.7,26.6,4.57,40.98,32.93,10.22,43.15,0.19,42.96,0.0,42.96,10.99,31.97,31.97,32.33,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2022-12-31,292.87,0.0,292.87,197.13,-23.19,28.72,4.71,38.01,47.49,11.15,58.64,0.06,58.58,0.0,58.58,14.8,43.78,43.78,32.33,1.35,1.35,0.0,0.0,0.0,0.0,0.0
2023-03-31,287.28,0.0,287.28,164.67,5.57,30.25,4.78,41.43,40.58,10.94,51.52,0.51,51.01,0.0,51.01,13.77,37.24,37.24,31.79,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2023-06-30,301.31,0.0,301.31,188.7,-18.54,36.08,4.68,42.54,47.85,10.88,58.73,0.74,57.99,0.0,57.99,14.63,43.36,43.36,31.79,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2023-09-30,326.88,0.0,326.88,218.75,-32.81,34.96,4.91,47.24,53.83,12.02,65.85,0.59,65.26,0.0,65.26,16.69,48.57,48.57,31.79,1.53,1.53,0.0,0.0,0.0,0.0,0.0
2023-12-31,368.22,0.0,368.22,206.24,4.9,35.29,5.28,50.27,66.24,14.85,81.09,0.59,80.5,0.0,80.5,21.84,58.66,58.66,31.79,1.85,1.85,0.0,0.0,0.0,0.0,0.0
2024-03-31,382.16,0.0,382.16,219.48,8.46,35.39,5.05,51.25,62.53,18.08,80.61,0.63,79.98,0.0,79.98,21.52,58.46,58.46,31.79,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2024-06-30,395.36,0.0,395.36,184.38,31.85,39.14,4.98,57.77,77.24,16.79,94.03,0.85,93.18,0.0,93.18,23.76,69.42,69.42,31.79,2.18,2.18,0.0,0.0,0.0,0.0,0.0
2024-09-30,468.8,0.0,468.8,225.9,24.7,43.0,5.1,65.9,104.2,17.6,121.8,0.7,121.1,0.0,121.1,31.1,90.0,90.0,31.8,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2024-12-31,440.6,0.0,440.6,221.4,27.9,44.0,5.3,48.1,93.9,20.3,114.2,0.2,114.0,36.0,150.0,28.7,121.3,121.3,31.8,3.81,3.81,0.0,0.0,0.0,0.0,0.0
2025-03-31,490.4,0.0,490.4,293.5,-26.9,45.0,6.0,60.2,112.6,17.7,130.3,0.5,129.8,0.0,129.8,36.1,93.7,93.7,31.8,2.96,2.96,0.0,0.0,0.0,0.0,0.0
