Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,2271.47,19.4,19.4,1012.51,699.02,-496.95,240.39,83.46,50.68,459.04,-2028.75,48.19,-1980.56,67.52,-2048.08,0.0,-2048.08,55.2,-2103.28,0.0,168.19,254.82,6.6,6.6,17.58,69.02,7.52,95.28,29.52
2015-09-30,2328.33,17.41,2345.74,609.05,1116.65,-237.61,105.03,67.85,38.48,399.55,246.74,72.19,318.93,61.2,257.73,0.0,257.73,63.36,194.37,27.25,221.62,254.82,8.7,8.7,0.0,0.0,0.0,0.0,0.0
2015-12-31,2354.61,14.21,2368.82,289.98,338.65,884.74,94.39,70.96,38.44,420.23,231.43,8.24,239.67,58.68,180.99,0.0,180.99,39.08,141.91,22.54,164.45,254.82,6.46,6.46,0.0,0.0,0.0,0.0,0.0
2016-03-31,1761.82,0.0,1761.82,441.16,145.41,407.92,91.68,83.78,37.72,416.26,137.89,35.76,173.65,49.69,123.96,0.0,123.96,22.18,101.78,10.13,111.91,254.82,4.39,4.39,0.0,0.0,0.0,0.0,0.0
2016-06-30,1880.67,8.73,1889.4,438.31,608.49,-182.06,179.49,92.92,50.43,402.92,298.9,59.61,358.51,72.82,285.69,0.0,285.69,82.73,202.96,0.0,202.96,254.82,7.97,7.97,0.0,0.0,0.0,0.0,0.0
2016-09-30,1549.0,7.57,1556.57,303.48,599.17,-100.45,97.48,73.62,38.09,402.55,142.63,28.9,171.53,52.2,119.33,0.0,119.33,32.81,86.52,32.3,118.82,254.82,4.67,4.67,0.0,0.0,0.0,0.0,0.0
2016-12-31,1847.09,4.2,1851.29,512.9,199.36,295.22,106.68,71.22,38.0,343.77,284.14,35.47,319.61,64.62,254.99,0.0,254.99,76.64,178.35,31.62,209.97,254.82,8.24,8.24,0.0,0.0,0.0,0.0,0.0
2017-03-31,1286.2,0.0,1286.2,308.19,49.8,175.16,108.56,88.89,38.15,384.43,133.02,52.95,185.97,40.2,145.77,0.0,145.77,47.37,98.4,62.56,160.96,254.82,6.31,6.31,0.0,0.0,0.0,0.0,0.0
2017-06-30,925.43,0.0,925.43,125.11,324.96,-191.15,117.75,74.54,38.05,290.83,145.34,60.81,206.15,32.06,174.09,0.0,174.09,51.9,122.19,38.39,160.58,254.82,6.31,6.31,0.0,0.0,0.0,0.0,0.0
2017-09-30,1597.84,0.0,1597.84,360.62,373.26,20.78,123.08,76.01,36.31,311.07,296.71,40.61,337.32,37.32,300.0,-52.73,247.27,90.92,156.35,54.15,210.5,254.82,8.26,8.26,0.0,0.0,0.0,0.0,0.0
