Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,845.06,845.06,36572.55,36572.55,37417.61,0.0,1658.11,56.37,0.0,1714.48,0.0,510.32,1018.48,1015.78,2544.58,41676.67,9023.43,123.82,1540.94,10688.19,2.81,0.0,2939.36,0.0,13630.36,22503.58,1198.24,399.51,3031.42,283.83,629.73,28046.31,41676.67,6753.15,88.46,2857.61,0.0,422.53,2.81,0.0,20526.51,342.82,730.36,471.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,845.06,845.06,42508.01,42508.01,43353.07,0.0,2518.62,132.08,0.0,2650.7,0.0,630.79,1045.91,1311.53,2988.23,48992.0,9329.05,117.12,2004.71,11450.88,0.0,0.0,4337.32,0.0,15788.2,27253.59,1211.75,658.82,3531.51,364.14,183.99,33203.8,48992.0,4808.65,107.51,3825.59,0.0,422.53,0.0,0.0,23332.56,407.88,872.12,102.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,845.0,845.0,36540.0,36540.0,37385.0,0.0,0.0,664.0,19.0,683.0,0.0,931.0,14166.0,30.0,15127.0,53195.0,10265.0,120.0,2428.0,12813.0,0.0,2498.0,19.0,952.0,16282.0,35221.0,1058.0,107.0,53.0,2.0,472.0,36913.0,53195.0,5216.0,0.0,0.0,0.0,422.53,0.0,18228.0,16993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,845.0,845.0,29960.0,29960.0,30805.0,0.0,0.0,649.0,111.0,760.0,7908.0,824.0,11481.0,17.0,20230.0,51795.0,9865.0,128.0,3071.0,13064.0,0.0,2748.0,19.0,1315.0,17146.0,23783.0,1936.0,136.0,8380.0,1.0,413.0,34649.0,51795.0,8419.0,0.0,0.0,0.0,422.53,0.0,16614.0,7169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,845.0,845.0,35087.0,35087.0,35932.0,0.0,0.0,861.0,134.0,995.0,0.0,947.0,4972.0,86.0,6005.0,42932.0,11181.0,121.0,3220.0,14522.0,0.0,2208.0,15.0,2044.0,18789.0,20222.0,1379.0,184.0,1964.0,1.0,393.0,24143.0,42932.0,9207.0,2686.0,0.0,6133.0,422.53,0.0,14851.0,5371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,845.0,845.0,32760.0,32760.0,33605.0,0.0,0.0,964.0,145.0,1109.0,2538.0,1174.0,3958.0,74.0,7744.0,42458.0,14668.0,110.0,2254.0,17032.0,0.0,1925.0,13.0,1916.0,20886.0,19488.0,1544.0,196.0,23.0,3.0,318.0,21572.0,42458.0,11394.0,1700.0,0.0,4237.0,422.53,0.0,17323.0,2165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,845.0,845.0,39465.0,39465.0,40310.0,0.0,0.0,1090.0,162.0,1252.0,611.0,1412.0,3320.0,70.0,5413.0,46975.0,16217.0,252.0,2489.0,18958.0,0.0,1822.0,13.0,1369.0,22162.0,20329.0,1835.0,379.0,1918.0,2.0,350.0,24813.0,46975.0,9010.0,1683.0,0.0,3668.0,422.53,0.0,15350.0,4979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,845.0,845.0,31468.0,31468.0,32313.0,4312.0,0.0,1044.0,182.0,5538.0,2161.0,1545.0,4100.0,70.0,7876.0,45727.0,16447.0,361.0,1922.0,18730.0,0.0,1058.0,12.0,1359.0,21159.0,12957.0,1425.0,406.0,9376.0,2.0,402.0,24568.0,45727.0,7311.0,1141.0,0.0,5595.0,422.53,0.0,10186.0,2771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,845.0,845.0,33437.0,33437.0,34282.0,2111.0,942.0,1030.0,212.0,4295.0,712.0,2318.0,3032.0,32.0,6094.0,44671.0,17165.0,231.0,2075.0,19471.0,0.0,0.0,2.0,1215.0,20688.0,15052.0,1953.0,716.0,5763.0,2.0,497.0,23983.0,44671.0,3571.0,1840.0,0.0,7228.0,422.53,0.0,9933.0,5119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,845.0,845.0,12097.0,12097.0,12942.0,1500.0,2314.0,1067.0,189.0,5070.0,10341.0,2393.0,4682.0,26.0,17442.0,35454.0,17528.0,92.0,2107.0,19727.0,257.0,0.0,61.0,547.0,20592.0,9850.0,1862.0,380.0,1412.0,53.0,1305.0,14862.0,35454.0,4089.0,2806.24,0.0,9265.11,422.53,105.0,8073.0,1777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,845.0,845.0,14388.0,14388.0,15233.0,4246.0,2318.0,1090.0,199.0,7853.0,4210.0,2501.0,4085.0,22.0,10818.0,33904.0,17875.0,180.0,1529.0,19584.0,578.0,0.0,417.0,632.0,21211.0,9874.0,1924.0,161.0,173.0,51.0,510.0,12693.0,33904.0,4580.0,1217.04,0.0,6538.82,422.53,411.0,8223.0,1651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,845.0,845.0,12445.0,12445.0,13290.0,5990.0,2293.0,1470.0,200.0,9953.0,4661.0,2208.0,4287.0,19.0,11175.0,34418.0,18358.0,130.0,2552.0,21040.0,823.0,0.0,86.0,826.0,22775.0,9148.0,1882.0,112.0,175.0,36.0,290.0,11643.0,34418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
