Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,970.23,970.23,0.0,85.91,14.65,0.0,620.16,249.51,-1.94,247.57,6.28,241.29,0.0,241.29,103.61,137.68,0.0,137.68,96.04,1.43,1.43,0.0,0.0,0.0,0.0,0.0
2015-09-30,1021.59,1021.59,0.0,72.91,15.04,0.0,700.22,233.42,4.69,238.11,6.27,231.84,0.0,231.84,102.09,129.75,0.0,129.75,96.04,1.35,1.35,0.0,0.0,0.0,0.0,0.0
2015-12-31,1132.47,1132.47,0.0,78.7,16.2,99.29,596.53,341.75,9.59,351.34,7.2,344.14,0.0,344.14,137.79,206.35,0.0,206.35,96.04,2.15,2.15,0.0,0.0,0.0,0.0,0.0
2016-03-31,1082.25,1082.25,0.0,73.12,14.04,126.62,480.61,387.86,53.6,441.46,128.82,312.64,0.0,312.64,128.25,184.39,0.0,184.39,96.04,1.92,1.92,0.0,0.0,0.0,0.0,0.0
2016-06-30,1178.54,1178.54,0.0,65.41,18.35,0.0,706.81,387.97,-59.11,328.86,6.29,322.57,0.0,322.57,152.21,170.36,0.0,170.36,96.04,1.77,1.77,0.0,0.0,0.0,0.0,0.0
2016-09-30,1275.08,1275.08,0.0,78.15,18.64,0.0,773.33,404.96,84.82,489.78,6.24,483.54,0.0,483.54,155.8,327.74,0.0,327.74,96.04,3.41,3.41,0.0,0.0,0.0,0.0,0.0
2016-12-31,1275.85,1275.85,0.0,75.35,19.19,83.04,614.24,484.03,-16.49,467.54,6.23,461.31,0.0,461.31,187.42,273.89,0.0,273.89,96.04,2.85,2.85,0.0,0.0,0.0,0.0,0.0
2017-03-31,1198.9,1198.9,0.0,78.15,20.93,89.71,590.42,419.69,69.14,488.83,107.69,381.14,47.02,428.16,166.09,262.07,0.0,262.07,96.04,2.73,2.73,0.0,0.0,0.0,0.0,0.0
2017-06-30,1302.57,1302.57,0.0,81.91,21.09,99.36,659.04,441.17,382.3,823.47,14.3,809.17,0.0,809.17,232.65,576.52,0.0,576.52,96.04,6.0,6.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,1351.47,1351.47,0.0,74.01,23.55,109.6,666.59,477.72,57.04,534.76,-1.65,536.41,0.0,536.41,189.37,347.04,0.0,347.04,96.04,3.61,3.61,0.0,0.0,0.0,0.0,0.0
