Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Long Term Loans And Advances,Short Term Loans And Advances,Capital Goods,Raw Materials,Trade/Other Goods,Equity Share Application Money,Deferred Tax Liabilities [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2014-03-31,96.0,2113.0,1855.1,1855.1,3968.1,1.6,0.0,27.5,29.1,0.0,175.5,218.6,325.6,719.7,4716.9,255.8,7.0,99.7,0.0,0.0,362.5,808.0,17.2,0.0,1833.4,200.0,1120.2,798.0,164.6,109.6,2883.5,4716.9,4079.0,27.9,34.5,160.6,73.1,47.45,28.2,732.9,0.0,200.0,2017.0,645.7,491.1,39.1,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,96.0,2115.2,2472.3,2472.3,4587.5,1.2,0.0,39.4,40.6,0.0,223.6,311.5,435.1,970.2,5598.3,266.1,27.4,87.9,0.0,0.0,381.4,659.3,26.6,0.0,1724.4,449.5,1207.1,831.8,301.2,51.6,3873.9,5598.3,2703.4,188.3,36.0,173.1,110.8,47.45,31.9,594.2,124.5,325.0,2019.2,657.1,1032.7,17.4,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,96.0,2113.0,2926.4,2926.4,7056.4,0.9,0.0,41.1,42.0,0.0,317.3,363.7,407.9,1088.9,6170.3,321.0,20.7,46.3,0.0,0.0,388.0,1796.8,29.7,19.4,2635.9,340.0,1336.6,953.9,385.1,84.9,3534.4,6170.3,2489.8,202.0,51.9,147.3,132.9,47.45,37.2,1731.6,40.0,300.0,2017.0,402.0,433.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,96.0,1622.2,4251.1,4251.1,7399.5,294.6,0.0,69.8,364.4,0.0,511.2,889.6,4.4,1405.2,7642.9,295.0,101.1,98.6,0.0,105.8,600.5,909.2,64.8,609.0,2183.5,1502.9,1594.3,953.5,555.8,698.7,5459.4,7642.9,773.4,0.0,0.0,0.0,0.0,47.45,53.2,858.0,307.5,1195.4,1526.2,0.0,154.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,96.0,1240.3,5723.7,5723.7,8108.3,0.9,0.0,77.2,78.1,0.0,976.9,1024.5,4.6,2006.0,9048.1,374.4,436.6,9.6,0.0,146.2,966.8,1212.1,0.0,590.0,2768.9,775.7,2180.0,1285.3,1177.9,689.7,6279.2,9048.1,477.8,0.0,0.0,0.0,0.0,47.45,53.7,1160.4,403.2,372.5,1144.3,0.0,170.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,96.0,836.9,7035.4,7035.4,7872.3,1.7,0.0,124.9,126.6,0.0,1302.8,1561.8,5.6,2870.2,10869.1,347.7,386.3,17.5,0.0,144.8,896.3,1320.3,0.0,586.6,2803.2,251.9,3256.4,1659.5,869.4,1850.3,8065.9,10869.1,1166.5,134.6,0.0,0.0,335.0,47.45,48.1,1272.2,0.0,251.9,740.9,0.0,178.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,96.0,393.5,7532.0,7532.0,7925.5,35.9,0.0,127.5,163.4,0.0,1513.2,1084.8,8.1,2606.1,10695.0,383.0,234.1,21.5,0.0,79.7,718.3,752.1,221.9,139.3,1831.6,102.2,4687.1,2122.4,483.1,1468.6,8863.4,10695.0,1397.3,247.1,0.0,0.0,355.1,47.45,5.5,127.5,0.0,102.2,297.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,96.1,96.1,8651.6,8651.6,8747.7,12.9,0.0,141.2,154.1,0.0,1292.7,1078.8,9.5,2381.0,11282.8,315.6,185.6,12.0,19.8,52.0,585.0,683.6,240.9,153.4,1662.9,766.7,4944.0,1772.1,623.3,1513.8,9619.9,11282.8,2114.6,158.4,0.0,0.0,482.8,47.45,6.0,59.7,740.8,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,96.1,96.1,9751.6,9751.6,9847.7,2.0,50.4,88.6,141.0,1.1,1316.4,746.3,6.4,2070.2,12058.9,351.7,140.9,4.7,80.8,108.3,686.4,925.8,225.9,158.8,1996.9,239.3,5999.5,1631.8,634.0,1557.4,10062.0,12058.9,2133.4,142.3,0.0,0.0,449.7,47.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,96.1,96.1,9615.2,9615.2,9711.3,4.0,211.8,118.5,334.3,1.9,1788.9,789.2,7.0,2587.0,12632.6,532.0,290.5,19.1,0.0,50.0,891.6,761.6,330.0,220.1,2203.3,0.0,6954.8,1533.1,433.1,1508.3,10429.3,12632.6,4029.0,203.4,0.0,0.0,526.2,47.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,96.1,96.1,9910.2,9910.2,10006.3,3.2,148.9,149.7,301.8,2.3,1497.9,718.1,10.5,2228.8,12536.9,461.8,232.5,9.3,0.0,49.0,752.6,790.0,378.1,355.7,2276.4,0.0,6584.1,1581.9,804.4,1290.1,10260.5,12536.9,3012.8,187.1,0.0,0.0,634.6,47.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,96.1,96.1,10561.6,10561.6,10657.7,158.0,78.1,141.8,377.9,2.1,1176.6,505.3,12.9,1696.9,12732.5,559.7,43.3,1.4,0.0,0.0,604.4,815.7,351.0,300.2,2071.3,1156.4,6412.2,1392.0,715.0,985.6,10661.2,12732.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
