Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,5668.82,69.77,5738.59,43.18,1.59,0.0,535.35,5158.47,580.42,5738.89,3628.05,2110.84,2110.84,642.14,1468.7,0.0,1468.7,1974.92,0.0,7.44,7.44,0.0,0.0,0.0,0.0,0.0
2018-09-30,7286.17,0.0,7286.17,26.73,1.59,0.0,966.47,6291.38,13.0,6304.38,3778.93,2525.45,2525.45,761.12,1764.33,0.0,1764.33,1974.92,0.0,8.93,8.93,0.0,0.0,0.0,0.0,0.0
2018-12-31,6623.95,628.29,7252.24,41.31,1.96,26.39,1268.51,5914.07,5.24,5919.31,4089.4,1829.91,1829.91,555.35,1274.56,0.0,1274.56,1974.92,0.0,6.45,6.45,0.0,0.0,0.0,0.0,0.0
2019-03-31,6550.36,121.45,6671.81,46.47,2.03,0.0,841.97,5781.34,14.09,5795.43,4161.13,1634.3,1634.3,378.17,1256.13,0.0,1256.13,1974.92,32328.02,6.36,6.36,0.0,0.0,0.0,0.0,0.0
2019-06-30,6971.95,14.24,6986.19,49.86,2.09,0.0,262.67,6671.57,3.0,6674.57,4572.57,2102.0,2102.0,600.66,1501.34,0.0,1501.34,1974.92,0.0,7.6,7.6,0.0,0.0,0.0,0.0,0.0
2019-09-30,7404.68,17.95,7422.63,44.1,2.47,0.0,824.19,6551.87,2.64,6554.51,4714.73,1839.78,1839.78,533.02,1306.76,0.0,1306.76,1974.92,0.0,6.62,6.62,0.0,0.0,0.0,0.0,0.0
2019-12-31,7531.58,119.18,7650.76,39.72,2.29,78.33,421.42,7109.0,2.23,7111.23,4767.95,2343.28,2343.28,700.93,1642.35,0.0,1642.35,1974.92,0.0,8.32,8.32,0.0,0.0,0.0,0.0,0.0
2020-03-31,7755.63,83.77,7839.4,42.11,3.15,538.46,1670.93,5584.75,55.28,5640.03,4941.8,698.23,698.23,262.52,435.71,0.0,435.71,1974.92,0.0,2.21,2.21,0.0,0.0,0.0,0.0,0.0
2020-06-30,8103.27,317.5,8420.77,30.74,2.38,198.62,520.31,7668.72,1.35,7670.07,5193.02,2477.05,2477.05,638.04,1839.01,0.0,1839.01,1974.92,0.0,9.31,9.31,0.0,0.0,0.0,0.0,0.0
2020-09-30,8837.84,-58.46,8779.38,36.84,2.26,793.4,-226.25,8173.13,12.08,8185.21,5411.96,2773.25,2773.25,583.05,2190.2,0.0,2190.2,1974.92,0.0,11.09,11.09,0.0,0.0,0.0,0.0,0.0
2020-12-31,8896.21,145.92,9042.13,42.64,2.24,729.96,16.16,8251.13,4.89,8256.02,5445.97,2810.05,2810.05,547.12,2262.93,0.0,2262.93,1974.92,0.0,11.46,11.46,0.0,0.0,0.0,0.0,0.0
2021-03-31,8846.46,299.15,9145.61,34.62,2.65,697.64,281.02,8129.68,4.23,8133.91,5438.14,2695.77,2695.77,626.14,2069.63,0.0,2069.63,1974.92,0.0,10.48,10.48,0.0,0.0,0.0,0.0,0.0
2021-06-30,9437.23,150.12,9587.35,39.36,2.81,781.44,421.88,8341.86,4.76,8346.62,5588.56,2758.06,2758.06,511.46,2246.6,0.0,2246.6,1974.92,0.0,11.38,11.38,0.0,0.0,0.0,0.0,0.0
2021-09-30,9724.01,315.13,10039.14,42.52,4.65,1118.51,-31.43,8904.89,39.68,8944.57,5562.55,3382.02,3382.02,643.23,2738.79,0.0,2738.79,1974.92,0.0,13.87,13.87,0.0,0.0,0.0,0.0,0.0
2021-12-31,9709.95,296.94,10006.89,40.91,5.07,819.02,173.52,8968.37,32.05,9000.42,5548.72,3451.7,3451.7,679.05,2772.65,0.0,2772.65,1974.92,0.0,14.04,14.04,0.0,0.0,0.0,0.0,0.0
2022-03-31,9315.27,264.83,9580.1,36.07,5.43,754.34,619.53,8164.73,21.47,8186.2,5353.08,2833.12,2833.12,545.24,2287.88,0.0,2287.88,1974.92,0.0,11.58,11.58,0.0,0.0,0.0,0.0,0.0
2022-06-30,9373.78,86.12,9459.9,75.41,5.89,504.5,566.47,8307.63,8.61,8316.24,5376.69,2939.55,2939.55,492.29,2447.26,0.0,2447.26,1974.92,0.0,12.39,12.39,0.0,0.0,0.0,0.0,0.0
2022-09-30,9688.29,251.71,9940.0,29.99,5.85,223.88,531.13,9149.15,8.55,9157.7,5728.67,3429.03,3429.03,700.65,2728.38,0.0,2728.38,2633.22,0.0,10.36,10.36,0.0,0.0,0.0,0.0,0.0
2022-12-31,9779.62,-84.73,9694.89,50.23,6.1,-293.82,255.28,9677.1,16.82,9693.92,6134.96,3558.96,3558.96,680.88,2878.08,0.0,2878.08,2633.22,0.0,10.93,10.93,0.0,0.0,0.0,0.0,0.0
2023-03-31,9994.55,118.72,10113.27,25.19,6.25,-319.65,103.61,10297.87,10.69,10308.56,6497.34,3811.22,3811.22,810.31,3000.91,0.0,3000.91,2633.22,0.0,11.27,11.27,0.0,0.0,0.0,0.0,0.0
2023-06-30,10689.49,269.71,10959.2,48.3,5.78,58.01,90.38,10756.73,5.06,10761.79,7049.84,3711.95,3711.95,751.22,2960.73,0.0,2960.73,2633.22,0.0,11.24,11.24,0.0,0.0,0.0,0.0,0.0
2023-09-30,11393.0,182.94,11575.94,42.61,6.07,-760.38,145.15,12142.49,14.22,12156.71,7350.04,4806.67,4806.67,1033.8,3772.87,0.0,3772.87,2633.22,0.0,14.33,14.33,0.0,0.0,0.0,0.0,0.0
2023-12-31,11944.04,37.61,11981.65,63.36,5.89,55.85,107.36,11749.19,18.4,11767.59,7653.34,4114.25,4114.25,844.94,3269.31,0.0,3269.31,2633.22,0.0,12.42,12.42,0.0,0.0,0.0,0.0,0.0
2024-03-31,12383.58,229.56,12613.14,59.57,5.98,-711.87,245.81,13013.65,30.17,13043.82,7896.05,5147.77,5147.77,1131.47,4016.3,0.0,4016.3,2633.22,0.0,15.13,15.13,0.0,0.0,0.0,0.0,0.0
2024-06-30,12690.35,332.96,13023.31,56.64,5.85,472.57,155.01,12333.24,13.75,12346.99,8021.17,4325.82,4325.82,883.37,3442.45,0.0,3442.45,2633.22,0.0,13.07,13.07,0.0,0.0,0.0,0.0,0.0
2024-09-30,13474.36,96.82,13571.18,59.22,5.9,-144.1,128.52,13521.64,24.52,13546.16,8506.54,5039.62,5039.62,1034.15,4005.47,0.0,4005.47,2633.22,0.0,15.21,15.21,0.0,0.0,0.0,0.0,0.0
2024-12-31,13970.4,186.79,14157.19,49.47,6.23,-89.03,259.03,13931.49,15.52,13947.01,8837.34,5109.67,5109.67,1080.58,4029.09,0.0,4029.09,2633.22,0.0,15.3,15.3,0.0,0.0,0.0,0.0,0.0
2025-03-31,14935.0,224.44,15159.44,60.82,6.41,779.97,172.35,14139.89,14.71,14154.6,8769.93,5384.67,5384.67,1148.47,4236.2,0.0,4236.2,2633.22,0.0,15.96,15.96,0.0,0.0,0.0,0.0,0.0
