Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Foreign Currency Monetary Item Translation Difference A/C,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,987.46,987.46,19682.0,19682.0,20669.46,0.0,110162.3,23.52,442.24,110801.75,2540.0,0.0,18583.73,21381.69,152852.9,69.67,2.45,9.71,0.0,0.0,81.83,0.0,32.12,137673.55,47.16,0.0,1192.94,381.58,13557.67,15179.35,152852.9,1380.83,437.81,0.0,0.0,1660.63,0.0,47.16,173.69,257.96,1660.63,135898.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,987.46,987.46,23869.57,23869.57,24857.03,0.0,131168.32,36.16,1007.09,132318.89,734.0,0.0,24811.4,25999.11,183175.03,72.5,1.43,7.39,0.0,0.0,81.32,0.0,77.13,165547.04,438.66,0.0,522.9,1100.24,15566.19,17627.99,183175.03,519.66,607.83,0.0,0.0,1174.81,405.63,47.16,107.32,453.71,1174.81,164213.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,987.46,987.46,27630.3,27630.3,28617.76,0.0,138789.43,9.5,1295.03,140143.71,6349.93,0.0,30389.52,37591.5,206352.97,117.83,0.91,30.37,1.21,0.0,150.32,0.0,101.06,160362.94,149.16,0.0,1728.55,795.26,43317.06,45990.03,206352.97,899.26,685.47,0.0,1500.0,833.46,0.0,149.16,49.75,852.05,2317.46,157794.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1974.92,1974.92,31350.67,31350.67,33325.59,0.0,149489.33,12.38,1848.42,151390.39,0.0,0.0,24326.04,24520.26,209236.24,120.68,0.43,58.69,1.46,0.0,181.26,0.0,382.6,180460.11,149.16,0.0,4490.02,3594.56,20542.39,28776.13,209236.24,259.04,534.92,987.46,2089.76,811.65,0.0,149.16,40.26,194.22,2547.29,177348.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1974.92,1974.92,30328.23,30328.23,32303.15,0.0,204438.91,89.61,220.37,204748.89,0.0,0.0,4617.15,4617.15,241669.19,123.19,5.15,127.23,1.46,0.01,257.04,2904.11,107.65,3268.8,2824.8,0.0,1782.07,228878.25,4915.27,238400.39,241669.19,773.98,569.73,987.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1974.92,1974.92,32328.02,32328.02,34302.94,0.0,244321.09,82.54,99.58,244503.21,0.0,0.0,18911.15,18911.15,297717.3,153.98,8.51,196.94,1.59,0.01,361.03,2358.29,408.13,3127.45,2397.62,0.0,1596.25,270450.92,20145.06,294589.85,297717.3,781.08,2925.53,987.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1974.92,1974.92,33101.64,33101.64,35076.56,0.0,224796.87,75.61,106.51,224978.99,61543.61,0.0,24888.43,86432.04,346487.59,153.0,8.8,287.62,0.77,0.01,450.2,2034.32,505.94,2990.46,2313.2,0.0,3699.99,312083.5,25400.44,343497.13,346487.59,1706.71,7078.4,987.46,0.0,0.0,0.0,2313.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1974.92,1974.92,40893.05,40893.05,42867.97,558.4,244274.95,131.13,103.96,244510.04,85507.36,0.0,26789.42,112296.78,400233.19,260.12,6.1,335.67,0.77,0.01,602.67,2437.71,241.57,3281.95,1909.77,0.0,3069.55,365261.49,26710.43,396951.24,400233.19,11.03,12158.78,987.46,0.0,0.0,0.0,1909.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1974.92,1974.92,48452.28,48452.28,50427.2,558.4,226450.04,25586.09,104.51,252140.64,106651.59,0.0,634.78,107286.37,410412.61,623.67,4.25,6.07,0.0,0.0,633.99,3134.74,225.7,3994.43,2157.97,0.0,2421.7,371930.54,29907.97,406418.18,410412.61,4241.29,11047.28,987.46,0.0,0.0,0.0,2157.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2633.22,2633.22,54454.75,54454.75,57087.97,591.7,243722.29,98.57,110.94,243931.8,137114.13,0.0,26151.53,163265.66,464877.13,638.91,1.62,2.72,0.0,0.0,643.25,3276.99,365.43,4285.67,3137.98,0.0,1987.34,422083.91,33382.23,460591.46,464877.13,3622.62,16531.22,1645.76,0.0,0.0,0.0,3137.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2633.22,2633.22,65591.53,65591.53,68224.75,558.4,0.0,306.13,136.57,442.7,445614.18,0.0,32600.36,478214.54,547440.39,630.21,0.52,23.59,0.0,0.0,654.32,2485.46,382.96,3522.74,5320.31,0.0,2498.7,499192.05,36906.59,543917.65,547440.39,6659.29,21307.57,1645.76,0.0,0.0,0.0,5320.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,2633.22,2633.22,75004.75,75004.75,77637.97,0.0,0.0,262.15,136.79,398.94,486775.09,34.6,48708.88,535518.57,613555.48,626.4,1.84,76.01,0.0,0.0,704.25,2852.75,481.08,4038.08,6641.62,1.99,1749.84,559088.08,42035.87,609517.4,613555.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
