Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Long Term Loans And Advances,Raw Materials,Capital Goods,Short Term Borrowings,Intangible Assets Under Development,Non-Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools"
2014-03-31,31.14,31.14,203.68,203.68,234.82,0.0,5.11,11.95,65.36,33.64,41.15,140.15,386.92,70.07,26.76,9.6,109.45,0.0,0.0,150.33,0.0,155.58,49.82,12.0,19.19,236.59,386.92,25.17,0.0,249.87,621.99,0.0,0.29,6.84,40.59,4.04,7.57,0.0,3.02,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,31.14,31.14,252.21,252.21,283.35,0.0,10.76,10.76,66.11,47.78,57.35,171.24,465.36,75.51,22.98,2.23,101.07,0.44,0.0,137.56,0.29,154.08,132.8,14.69,25.95,327.8,465.36,24.98,0.0,236.36,701.59,0.0,0.29,0.0,35.76,20.96,6.2,0.0,0.36,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,31.14,31.14,354.55,354.55,385.69,0.0,18.24,18.24,76.53,48.52,70.67,195.71,599.65,87.69,19.28,1.88,108.84,1.27,0.0,145.89,0.0,215.21,182.45,22.77,33.33,453.76,599.65,29.37,0.0,313.49,912.07,0.0,0.0,0.0,35.78,14.74,10.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,31.14,31.14,526.53,526.53,557.67,0.0,15.88,25.97,46.48,78.71,6.57,131.76,715.4,92.28,15.53,1.03,108.84,3.23,36.81,148.88,0.0,244.81,251.52,0.78,69.41,566.52,715.4,30.13,0.0,0.0,0.0,0.0,0.0,10.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,62.28,62.28,676.07,676.07,738.35,0.0,9.73,18.85,48.68,135.81,6.89,191.38,948.58,81.68,12.6,2.13,96.4,4.12,39.3,139.83,0.0,306.67,394.34,0.84,106.9,808.75,948.58,34.74,0.0,4.27,12.37,31.14,0.0,9.12,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,62.28,62.28,880.48,880.48,942.75,0.0,12.42,13.78,55.5,123.01,8.35,186.86,1143.39,87.25,13.94,0.45,101.63,5.97,27.78,135.38,1.66,356.54,515.81,0.76,133.23,1008.01,1143.39,11.29,0.0,475.88,1407.96,31.14,0.0,1.36,0.0,40.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,62.28,62.28,1027.76,1027.76,1090.04,45.01,36.56,81.57,47.13,160.18,10.06,217.37,1388.98,134.13,12.93,0.91,147.97,8.77,14.21,187.78,1.71,392.38,664.22,0.89,141.99,1201.2,1388.98,37.76,27.33,526.93,1417.41,31.14,0.0,0.0,16.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,62.28,62.28,1289.9,1289.9,1352.17,60.46,39.6,100.06,56.13,195.75,12.59,264.46,1716.69,151.1,18.55,7.27,176.92,9.96,138.45,325.32,0.06,402.26,859.62,0.91,128.52,1391.37,1716.69,34.24,15.57,511.94,1590.14,31.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,62.28,62.28,1538.63,1538.63,1600.9,118.29,39.76,158.05,84.3,313.33,12.6,410.22,2169.17,251.16,20.35,22.09,293.59,8.97,170.91,473.47,0.57,553.68,965.21,1.0,175.24,1695.7,2169.17,41.96,52.58,646.05,2076.3,31.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,62.28,62.28,2023.49,2023.49,2085.77,153.73,45.45,199.18,103.17,349.79,25.6,478.56,2763.5,317.39,16.2,6.98,340.57,12.89,96.55,450.01,0.39,976.38,1191.55,1.81,143.36,2313.49,2763.5,12.36,65.59,6.33,2611.34,31.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,62.28,62.28,2443.38,2443.38,2505.66,181.19,54.2,235.39,85.64,321.83,38.46,445.94,3186.98,382.54,13.44,2.15,398.13,23.87,228.26,650.26,1.11,971.59,1357.1,3.02,203.9,2536.72,3186.98,15.47,68.17,748.97,2836.2,31.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,62.28,62.28,2797.68,2797.68,2859.97,139.31,56.75,196.07,123.01,357.52,49.16,529.68,3585.72,309.19,8.85,1.62,319.66,37.63,430.94,788.22,0.0,971.53,1606.39,3.72,215.86,2797.5,3585.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
