Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,243.52,243.52,0.0,16.84,0.23,129.15,9.0,41.26,47.04,7.57,54.61,0.01,54.6,54.6,18.88,35.72,35.72,31.14,0.0,11.47,11.47,1.71,55.0,1.4,100.0,45.0
2015-09-30,263.66,263.66,0.0,17.34,0.0,143.57,5.68,41.46,55.6,2.71,58.31,0.0,58.31,58.31,20.21,38.1,38.1,31.14,0.0,12.24,12.24,1.71,55.0,1.4,100.0,45.0
2015-12-31,274.08,274.08,0.0,14.17,0.06,147.35,5.72,46.16,60.62,0.96,61.59,0.0,61.59,61.59,21.69,39.9,39.9,31.14,0.0,12.81,12.81,1.71,55.0,1.4,100.0,45.0
2016-03-31,293.95,293.95,0.0,21.35,0.0,156.42,5.93,49.03,61.23,0.62,61.85,0.0,61.85,61.85,20.76,41.09,41.09,31.14,0.0,13.2,13.2,0.0,0.0,0.0,0.0,0.0
2016-06-30,294.32,294.32,0.0,17.31,0.0,156.43,6.75,51.51,62.32,1.06,63.38,0.0,63.38,63.38,21.45,41.93,41.93,31.14,0.0,13.47,13.47,0.0,0.0,0.0,0.0,0.0
2016-09-30,303.29,303.29,0.0,16.36,0.0,165.4,6.42,47.01,68.09,-3.03,65.06,0.0,65.06,65.06,21.99,43.08,43.08,31.14,0.0,13.83,13.83,0.0,0.0,0.0,0.0,0.0
2016-12-31,309.39,309.39,0.0,15.17,0.0,172.99,6.93,47.35,66.95,-0.76,66.2,0.0,66.2,66.2,22.41,43.79,43.79,31.14,0.0,14.06,14.06,0.0,0.0,0.0,0.0,0.0
2017-03-31,326.05,326.05,0.0,25.88,0.0,174.52,6.82,49.88,68.95,-2.09,66.86,0.0,66.86,66.86,22.36,44.5,44.5,31.14,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0
2017-06-30,323.23,323.23,0.0,19.21,-0.09,179.23,6.48,51.46,66.94,7.93,74.87,0.0,74.87,74.87,25.13,49.74,49.74,31.14,575.58,15.97,15.97,0.0,0.0,0.0,0.0,0.0
2017-09-30,342.15,342.15,0.0,20.81,0.09,186.43,6.45,50.82,77.56,8.88,86.45,0.0,86.45,86.45,29.21,57.24,57.24,62.28,0.0,9.19,9.19,0.0,0.0,0.0,0.0,0.0
2017-12-31,345.54,345.54,0.0,15.33,0.0,183.92,6.29,52.79,87.2,6.81,94.02,0.0,94.02,94.02,31.25,62.77,62.77,62.28,0.0,10.08,10.08,0.0,0.0,0.0,0.0,0.0
2018-03-31,375.38,375.38,0.0,21.93,0.0,201.91,6.14,56.43,88.95,19.62,108.58,0.0,108.58,108.58,38.29,70.29,70.29,62.28,0.0,11.29,11.29,0.0,0.0,0.0,0.0,0.0
2018-06-30,382.03,382.03,0.0,22.84,0.0,196.22,6.1,56.46,100.42,7.85,108.26,0.0,108.26,108.26,37.77,70.5,70.5,62.28,0.0,11.32,11.32,0.0,0.0,0.0,0.0,0.0
2018-09-30,402.78,402.78,0.0,22.57,0.0,214.33,6.08,59.17,100.64,23.32,123.96,0.0,123.96,123.96,41.77,82.18,82.18,62.28,0.0,13.2,13.2,0.0,0.0,0.0,0.0,0.0
2018-12-31,407.01,407.01,0.0,23.16,0.0,218.07,6.22,62.45,97.11,-2.69,94.41,0.0,94.41,94.41,28.42,65.99,65.99,62.28,0.0,10.6,10.6,0.0,0.0,0.0,0.0,0.0
2019-03-31,405.1,405.1,0.0,31.99,-1.66,213.97,6.69,62.34,91.78,14.99,106.76,0.0,106.76,106.76,35.47,71.29,71.29,62.28,0.0,11.45,11.45,0.0,0.0,0.0,0.0,0.0
2019-06-30,361.71,361.71,0.0,14.78,0.47,217.52,10.45,59.09,59.4,12.11,71.51,1.32,70.19,70.19,21.4,48.79,48.79,62.28,0.0,7.83,7.83,0.0,0.0,0.0,0.0,0.0
2019-09-30,385.83,385.83,0.0,23.23,-0.15,236.99,10.96,55.39,59.4,12.39,71.79,1.36,70.44,70.44,20.63,49.81,49.81,62.28,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
