Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%)
2015-06-30,11299.31,144.37,11443.68,5104.79,288.58,-1024.54,1145.22,268.78,604.62,4473.5,582.73,522.23,1104.96,315.44,789.52,0.0,789.52,226.3,563.22,0.0,563.22,186.06,6.06,6.02,90.81,97.61
2015-09-30,14125.91,109.5,14235.41,2048.01,247.15,597.26,1221.51,308.96,655.69,8306.03,850.8,480.82,1331.62,373.99,957.63,545.85,1503.48,259.47,1244.01,0.0,1244.01,186.13,13.37,13.3,0.0,0.0
2015-12-31,15732.77,135.41,15868.18,2619.46,289.66,-32.82,1310.41,192.0,766.02,10026.32,697.13,576.72,1273.85,398.02,875.83,91.73,967.56,166.29,801.27,0.0,801.27,186.24,8.61,8.57,0.0,0.0
2016-03-31,22265.41,0.0,22265.41,2358.89,304.05,525.64,1299.54,227.66,813.87,14035.29,2700.47,761.26,3461.73,389.37,3072.36,-77.3,2995.06,603.99,2391.07,0.0,2391.07,186.3,25.67,25.57,0.0,0.0
2016-06-30,12036.52,0.0,12036.52,1702.23,264.65,-303.38,1289.77,279.32,647.29,7471.66,684.98,482.42,1167.4,331.11,836.29,-50.0,786.29,239.55,546.74,0.0,546.74,186.4,3.91,3.9,0.0,0.0
2016-09-30,14589.44,116.04,14705.48,2298.42,285.28,12.58,1207.1,272.93,564.37,9250.01,814.79,645.38,1460.17,360.33,1099.84,1905.05,3004.89,286.15,2718.74,0.0,2718.74,186.47,29.16,29.0,0.0,0.0
2016-12-31,15769.19,177.01,15946.2,2279.72,325.36,42.28,1285.94,266.65,691.87,9968.88,1085.5,498.74,1584.24,357.34,1226.9,0.0,1226.9,292.72,934.18,0.0,934.18,186.54,10.02,9.99,0.0,0.0
2017-03-31,23323.61,0.0,23323.61,1822.33,515.55,380.11,1364.08,396.29,836.53,15383.94,2624.78,345.31,2970.09,269.25,2700.84,-961.08,1739.76,485.68,1254.08,0.0,1254.08,186.59,8.96,8.86,0.0,0.0
2017-06-30,13937.04,0.0,13937.04,1945.86,315.95,-305.64,1386.84,258.4,624.4,9004.13,707.1,423.7,1130.8,359.26,771.54,0.0,771.54,213.4,558.14,0.0,558.14,186.68,3.99,3.98,0.0,0.0
2017-09-30,15859.84,0.0,15859.84,6684.01,300.37,-344.79,1420.13,259.38,498.27,5993.28,1049.19,660.91,1710.1,367.19,1342.91,174.91,1517.82,355.91,1161.91,0.0,1161.91,280.11,8.3,8.28,0.0,0.0
2017-12-31,17715.73,0.0,17715.73,7739.19,276.25,-691.06,1428.8,264.88,642.88,6645.56,1409.23,446.22,1855.45,332.18,1523.27,56.8,1580.07,358.18,1221.89,0.0,1221.89,280.21,8.72,8.67,0.0,0.0
2018-03-31,26941.74,0.0,26941.74,2036.85,404.05,-169.09,1475.1,266.51,1087.56,18647.73,3193.03,374.6,3567.63,373.6,3194.03,198.82,3392.85,947.63,2445.22,0.0,2445.22,280.27,17.45,17.41,0.0,0.0
2018-06-30,15173.69,0.0,15173.69,5942.47,280.21,-504.59,1496.09,254.25,680.22,6041.02,984.02,546.71,1530.73,346.96,1183.77,2.83,1186.6,274.8,911.8,0.0,911.8,280.35,6.51,6.49,0.0,0.0
2018-09-30,18648.76,0.0,18648.76,7406.59,342.32,-251.79,1595.26,259.53,860.68,7036.7,1399.47,723.79,2123.26,369.74,1753.52,496.79,2250.31,496.6,1753.71,0.0,1753.71,280.44,12.51,12.49,0.0,0.0
2018-12-31,22342.98,0.0,22342.98,10369.84,358.51,-657.22,1507.83,268.32,660.15,7963.58,1871.97,887.0,2758.97,488.56,2270.41,0.0,2270.41,635.63,1634.78,0.0,1634.78,280.44,11.66,11.64,0.0,0.0
2019-03-31,29465.24,0.0,29465.24,1669.72,304.82,149.14,1443.74,269.48,329.99,22340.85,2957.5,767.24,3724.74,472.78,3251.96,-24.7,3227.26,1046.38,2180.88,169.4,2350.28,280.55,16.76,16.73,0.0,0.0
2019-06-30,16498.89,0.0,16498.89,6733.06,188.9,-245.89,1448.04,233.94,545.29,6613.53,982.02,462.11,1444.13,481.63,962.5,626.99,1589.49,315.77,1273.72,118.28,1392.0,280.62,9.92,9.91,0.0,0.0
2019-09-30,18751.69,0.0,18751.69,7376.37,196.2,-70.5,1547.7,249.7,574.65,7574.22,1303.35,1022.16,2325.51,559.05,1766.46,0.0,1766.46,-10.19,1776.65,206.95,1983.6,280.65,14.14,14.12,0.0,0.0
2019-12-31,19885.85,0.0,19885.85,1417.55,245.14,-73.43,1505.44,244.51,768.13,14559.26,1219.25,632.91,1852.16,589.81,1262.35,0.0,1262.35,205.08,1057.27,188.82,1246.09,280.72,8.88,8.87,0.0,0.0
2020-03-31,27252.75,0.0,27252.75,1411.1,225.38,327.81,1425.75,257.05,808.79,20430.95,2365.92,801.67,3167.59,563.71,2603.88,0.0,2603.88,489.64,2114.24,140.4,2254.64,280.78,16.06,16.04,0.0,0.0
2020-06-30,8149.99,0.0,8149.99,804.76,141.11,-144.71,1359.83,234.76,444.7,4962.69,346.85,698.26,1045.11,708.45,336.66,0.0,336.66,55.01,281.65,24.93,306.58,280.8,2.18,2.18,0.0,0.0
2020-09-30,15791.68,0.0,15791.68,1331.87,299.99,394.69,1402.63,249.42,594.81,10536.86,981.41,935.15,1916.56,656.4,1260.16,-2818.65,-1558.49,208.61,-1767.1,8483.61,6716.51,280.81,47.83,47.83,0.0,0.0
2020-12-31,19619.81,0.0,19619.81,1713.07,348.89,297.79,1395.76,240.42,530.91,13469.58,1623.39,1127.66,2751.05,567.81,2183.24,0.0,2183.24,478.34,1704.9,167.87,1872.77,280.85,13.34,13.32,0.0,0.0
2021-03-31,29754.11,0.0,29754.11,1844.24,448.12,-205.18,1327.16,301.02,703.53,22046.34,3288.88,674.37,3963.25,486.89,3476.36,0.0,3476.36,1009.32,2467.04,-25.93,2441.11,280.91,17.57,17.55,0.0,0.0
2021-06-30,13109.0,0.0,13109.0,1287.44,239.46,-362.83,1543.25,260.27,645.28,8730.55,765.58,670.49,1436.07,466.92,969.15,0.0,969.15,219.18,749.97,0.0,749.97,280.92,5.34,5.33,0.0,0.0
2021-09-30,17061.0,0.0,17061.0,1464.97,251.54,-521.83,1567.43,261.25,599.7,12296.45,1141.49,1353.77,2495.26,424.21,2071.05,267.29,2338.34,312.9,2025.44,0.0,2025.44,280.93,14.42,14.4,0.0,0.0
2021-12-31,21551.54,0.0,21551.54,11166.5,319.98,-1242.44,1617.18,258.73,667.58,7302.26,1461.75,1012.44,2474.19,412.0,2062.19,0.0,2062.19,391.35,1670.84,0.0,1670.84,280.97,11.89,11.88,0.0,0.0
2022-03-31,37439.22,0.0,37439.22,3628.46,259.64,197.47,1899.27,307.89,827.04,26757.77,3561.68,702.8,4264.48,440.76,3823.72,0.0,3823.72,922.57,2901.15,0.0,2901.15,281.01,20.65,20.63,0.0,0.0
2022-06-30,20211.69,0.0,20211.69,2988.15,195.8,-1443.16,1926.5,342.07,640.71,14357.63,1203.99,567.85,1771.84,504.5,1267.34,0.0,1267.34,356.12,911.22,0.0,911.22,281.03,6.49,6.48,0.0,0.0
2022-09-30,25769.75,0.0,25769.75,2769.88,304.12,-918.07,2109.73,337.57,539.31,19057.27,1569.94,1554.22,3124.16,578.61,2545.55,0.0,2545.55,436.09,2109.46,0.0,2109.46,281.04,15.01,15.0,0.0,0.0
2022-12-31,27785.41,0.0,27785.41,3259.74,391.39,-580.75,2014.8,334.76,707.46,19675.92,1982.09,832.96,2815.05,508.11,2306.94,0.0,2306.94,481.5,1825.44,0.0,1825.44,281.07,12.99,12.98,0.0,0.0
2023-03-31,36734.13,0.0,36734.13,4145.27,184.97,11.25,2247.2,357.24,626.37,25994.87,3166.96,1079.92,4246.88,534.01,3712.87,0.0,3712.87,710.02,3002.85,0.0,3002.85,281.1,21.37,21.35,0.0,0.0
2023-06-30,26930.54,0.0,26930.54,2862.26,316.5,-733.75,2098.76,378.56,817.55,19695.81,1494.85,858.23,2353.08,547.35,1805.73,397.97,2203.7,411.34,1792.36,0.0,1792.36,281.11,12.75,12.74,0.0,0.0
2023-09-30,28151.12,0.0,28151.12,2596.81,347.22,182.17,2173.73,415.56,875.84,20054.72,1505.07,2236.28,3741.35,584.18,3157.17,0.0,3157.17,447.45,2709.72,0.0,2709.72,274.88,19.29,19.28,0.0,0.0
2023-12-31,31600.92,0.0,31600.92,2858.6,292.56,175.39,2205.46,438.45,767.9,22841.96,2020.6,1225.6,3246.2,629.84,2616.36,0.0,2616.36,480.18,2136.18,0.0,2136.18,274.91,15.54,15.53,0.0,0.0
2024-03-31,39553.27,0.0,39553.27,3303.81,122.26,788.02,2386.49,518.42,992.56,28528.68,2913.03,1020.49,3933.52,644.46,3289.06,50.02,3339.08,673.01,2666.07,0.0,2666.07,274.93,19.4,19.33,0.0,0.0
2024-06-30,30278.75,0.0,30278.75,2406.01,369.72,65.96,2452.96,480.78,832.79,22166.5,1504.03,2448.52,3952.55,567.18,3385.37,0.0,3385.37,424.03,2961.34,0.0,2961.34,274.97,21.54,21.54,0.0,0.0
2024-09-30,34918.36,0.0,34918.36,3661.0,328.4,-255.35,2514.61,504.86,858.87,24856.25,2449.72,833.38,3283.1,583.12,2699.98,0.0,2699.98,706.87,1993.11,0.0,1993.11,275.0,14.5,14.49,0.0,0.0
2024-12-31,34984.28,0.0,34984.28,4335.46,455.74,247.97,2577.11,487.96,828.89,23644.56,2406.59,1197.38,3603.97,542.51,3061.46,0.0,3061.46,642.08,2419.38,0.0,2419.38,275.03,17.59,17.58,0.0,0.0
2025-03-31,42328.96,0.0,42328.96,4816.54,256.04,1030.65,2898.19,487.38,1373.84,28196.19,3270.13,1196.56,4466.69,502.65,3964.04,474.78,4438.82,929.83,3508.99,0.0,3508.99,275.04,25.52,25.5,0.0,0.0
