Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Equity Share Application Money,Hybrid/Debt/Other Securities,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,185.38,185.38,33457.2,33476.45,0.0,33661.83,5478.14,93.57,299.61,6281.24,5980.78,16345.45,13921.76,2113.52,38361.51,78304.58,7560.81,113.99,411.86,150.55,0.0,8237.21,15168.41,0.0,3721.57,62.78,27189.97,4046.23,1982.53,21538.76,1782.86,6345.65,15418.58,51114.61,78304.58,15044.54,6003.34,36.27,1006.72,8403.03,151.59,9740.38,13476.54,1798.22,2291.84,19.25,0.0,0.0,409.92,1954.36,1701.93,205.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,185.91,185.91,36883.1,36898.67,0.0,37084.58,8508.6,119.62,350.45,9341.66,3791.08,18844.77,15340.79,2500.88,40477.52,86903.76,7402.2,85.16,304.54,189.5,0.0,7981.4,17672.82,0.0,2720.83,127.86,28502.91,5380.08,2207.79,23051.11,1515.8,7812.35,18433.72,58400.85,86903.76,22896.78,6936.27,29.97,687.45,8753.27,151.59,8060.92,16058.34,2342.93,3124.14,15.57,0.0,0.0,362.99,1412.86,1074.52,219.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,186.3,186.3,40516.85,40532.03,0.0,40718.33,8339.27,152.54,370.23,9065.4,3881.87,22118.8,18591.69,2693.62,47285.98,97069.71,7120.59,138.4,250.69,158.91,0.0,7668.59,19897.94,0.0,3031.73,187.89,30786.15,4670.98,1888.0,26309.19,1680.91,10205.15,21529.33,66283.56,97069.71,19427.25,8212.48,35.72,878.06,10210.97,151.59,7468.59,18429.76,2092.35,2661.88,15.18,0.0,0.0,203.36,1736.06,1178.96,120.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,186.59,186.59,45672.95,45672.95,0.0,45859.54,7134.28,92.43,470.68,7697.39,3424.09,24338.32,19672.91,1092.99,48528.31,102238.44,6523.22,124.67,302.53,201.25,396.7,7548.37,19776.81,285.22,1777.54,2751.03,32138.97,6982.08,1762.86,19921.95,3535.72,1905.8,35991.06,70099.47,102238.44,42258.67,0.0,0.0,0.0,0.0,151.59,31883.81,17246.33,1951.05,5031.03,0.0,0.0,153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,280.27,280.27,48737.22,48737.22,0.0,49017.49,5495.16,109.91,472.87,6077.94,5065.84,31097.11,23092.66,1102.22,60357.83,115610.02,6272.46,193.09,452.1,200.77,474.98,7593.4,22994.26,400.62,1684.13,3367.54,36039.95,4344.98,2500.04,24454.24,4317.87,992.34,42960.6,79570.07,115610.02,46004.04,17699.28,0.0,0.0,16350.8,244.94,50537.78,18397.23,3274.18,1070.8,0.0,3.56,153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,280.55,280.55,49660.96,49660.96,106.91,50048.42,3772.07,82.27,497.62,4351.96,8217.62,36225.03,24333.09,1483.61,70259.35,124659.73,7982.02,228.72,567.31,171.69,381.26,9331.0,18197.3,841.86,1279.76,3950.64,33600.56,4706.85,3349.24,28212.55,7619.97,1305.94,45864.62,91059.17,124659.73,67808.22,20212.38,0.0,0.0,20211.96,244.94,53882.38,13783.93,3063.29,1643.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,280.78,280.78,51794.65,51794.65,99.92,52175.35,7185.71,204.02,611.23,8000.96,18599.59,36629.39,24595.91,1555.39,81380.28,141556.59,7266.25,83.72,796.55,0.66,490.4,8637.58,27975.28,1428.2,3507.0,4373.42,45921.48,6059.15,2769.9,27912.96,3938.39,515.14,54439.57,95635.11,141556.59,52146.93,24947.51,0.0,0.0,10187.99,244.94,42534.94,14020.87,4058.33,2000.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,280.91,280.91,60045.01,60045.01,87.62,60413.54,15868.21,142.62,639.02,16649.85,7940.5,37469.8,24158.86,1320.01,70889.17,147952.56,7879.58,55.39,236.12,48.01,421.61,8640.71,28569.12,494.0,2567.05,4049.89,44320.77,18454.4,2858.56,29948.24,3763.28,434.91,48172.4,103631.79,147952.56,39458.27,5602.5,0.0,0.0,5458.45,244.94,109342.27,12694.24,10145.41,8308.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,281.01,281.01,66743.66,66743.66,89.38,67114.05,12968.41,207.07,645.27,13820.75,7329.88,45385.34,32990.78,1861.48,87567.48,168502.28,8328.96,194.58,571.5,11.26,589.64,9695.94,27049.5,1140.3,4084.58,4514.1,46484.42,18478.22,3132.51,36347.35,6498.51,249.6,57311.67,122017.86,168502.28,67013.79,10383.99,0.0,0.0,11806.6,244.94,176195.93,10631.79,10098.38,2418.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,281.1,281.1,71172.23,71172.23,74.62,71527.95,9390.85,165.58,636.97,10193.4,8760.24,41780.37,38330.16,1832.37,90703.14,172424.49,8993.29,194.1,1938.38,16.39,568.57,11710.73,27036.97,1539.14,3306.81,4290.25,47883.9,20224.29,3428.56,33152.58,4569.64,168.29,62997.23,124540.59,172424.49,95485.53,15996.53,0.0,0.0,16398.59,244.94,136523.3,10584.92,13148.22,4851.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,274.93,274.93,64015.42,64015.42,125.69,64416.04,11931.14,210.73,697.73,12839.6,10609.33,40846.33,44919.82,1651.57,98027.05,175282.69,9678.78,199.62,1397.04,26.63,1161.26,12463.33,30728.77,1587.12,579.06,5255.16,50613.44,16813.34,3520.97,36961.55,4769.19,63.04,62541.16,124669.25,175282.69,148156.43,18448.48,0.0,0.0,16131.44,244.94,169041.56,14311.06,13891.15,1422.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,275.04,275.04,71620.8,71620.8,0.0,71895.84,9286.0,359.73,765.72,10411.45,12648.88,38795.99,50265.96,2398.23,104109.06,186416.35,11167.79,107.95,1117.33,0.0,0.0,12393.07,32853.88,1544.69,726.67,6325.48,53843.79,24788.29,3398.77,38330.18,4346.61,635.02,61073.69,132572.56,186416.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
