Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,447.39,12.63,460.02,300.82,0.0,-41.54,34.81,30.54,69.39,66.0,6.07,72.07,13.41,58.66,58.66,17.88,40.78,40.78,37.68,10.82,10.82,0.94,25.04,2.82,100.0,74.96
2015-09-30,482.73,7.96,490.69,281.2,0.0,26.77,37.85,31.43,43.58,69.86,5.19,75.05,11.11,63.94,63.94,19.54,44.4,44.4,37.68,11.78,11.78,0.94,25.04,2.82,100.0,74.96
2015-12-31,452.82,8.12,460.94,290.13,0.0,-10.9,37.45,31.47,61.09,51.7,5.74,57.44,9.84,47.6,47.6,16.86,30.74,30.74,37.68,8.16,8.16,0.0,0.0,0.0,0.0,0.0
2016-03-31,536.25,13.37,549.62,325.07,0.0,19.66,39.31,30.4,90.59,44.59,16.64,61.23,10.06,51.17,51.17,11.54,39.63,39.63,37.68,10.33,10.33,0.0,0.0,0.0,0.0,0.0
2016-06-30,508.72,13.97,522.69,327.62,0.0,-6.8,42.75,29.66,58.68,70.78,7.33,78.11,15.04,63.07,63.07,17.74,45.33,45.33,37.68,12.03,12.03,0.0,0.0,0.0,0.0,0.0
2016-09-30,524.62,9.9,534.52,348.41,0.0,-38.5,50.9,29.57,57.43,86.71,7.13,93.84,12.85,80.99,80.99,18.21,62.78,62.78,37.68,16.66,16.66,0.0,0.0,0.0,0.0,0.0
2016-12-31,492.17,14.07,506.24,335.15,0.0,-34.35,49.65,29.61,46.24,79.94,5.75,85.69,8.38,77.31,77.31,16.79,60.52,60.52,37.68,8.03,8.03,0.0,0.0,0.0,0.0,0.0
2017-03-31,638.11,19.0,657.11,387.3,0.0,43.51,50.83,28.59,56.3,90.58,7.12,97.7,8.76,88.94,88.94,19.15,69.79,69.79,36.95,9.35,9.35,0.0,0.0,0.0,0.0,0.0
2017-06-30,543.45,12.18,555.63,376.89,0.0,-35.17,56.35,29.51,59.16,68.89,4.08,72.97,9.64,63.33,63.33,17.16,46.17,46.17,36.95,6.25,6.25,0.0,0.0,0.0,0.0,0.0
2017-09-30,616.53,0.0,616.53,407.6,0.0,-11.31,55.33,26.48,52.78,85.65,4.41,90.06,8.11,81.95,81.95,18.76,63.19,63.19,36.95,8.55,8.55,0.0,0.0,0.0,0.0,0.0
2017-12-31,642.44,0.0,642.44,414.15,0.0,2.68,61.8,25.01,61.13,77.67,3.74,81.41,7.13,74.28,74.28,13.31,60.97,60.97,36.95,8.25,8.25,0.0,0.0,0.0,0.0,0.0
2018-03-31,696.92,0.0,696.92,448.45,0.0,-1.33,59.57,23.97,73.58,92.68,2.93,95.61,5.61,90.0,90.0,35.36,54.64,54.64,36.95,7.39,7.39,0.0,0.0,0.0,0.0,0.0
2018-06-30,760.52,0.0,760.52,444.88,0.0,13.5,79.03,23.75,83.44,115.92,1.44,117.36,9.91,107.45,107.45,30.18,77.27,77.27,36.28,10.62,10.62,0.0,0.0,0.0,0.0,0.0
2018-09-30,668.09,21.07,689.16,435.81,0.0,-58.34,93.2,24.56,72.76,121.17,1.2,122.37,8.13,114.24,114.24,31.98,82.26,82.26,36.28,11.34,11.34,0.0,0.0,0.0,0.0,0.0
2018-12-31,650.72,23.51,674.23,448.88,0.0,-73.59,90.49,24.12,85.51,98.82,10.03,108.85,7.29,101.56,101.56,31.47,70.09,70.09,36.28,9.66,9.66,0.0,0.0,0.0,0.0,0.0
2019-03-31,822.67,31.95,854.62,469.57,0.0,68.15,94.23,23.4,105.87,93.4,6.53,99.93,10.42,89.51,89.51,30.01,59.5,59.5,36.28,8.2,8.2,0.0,0.0,0.0,0.0,0.0
2019-06-30,764.38,37.31,801.69,457.42,0.0,14.32,103.17,23.77,88.44,114.57,8.54,123.11,10.37,112.74,112.74,38.48,74.26,74.26,36.28,10.23,10.23,0.0,0.0,0.0,0.0,0.0
2019-09-30,662.27,30.01,692.28,457.17,0.0,-83.21,103.0,24.35,71.19,119.78,11.57,131.35,8.7,122.65,122.65,23.48,99.17,99.17,36.28,13.67,13.67,0.0,0.0,0.0,0.0,0.0
2019-12-31,669.62,16.6,686.22,410.08,0.0,-21.6,101.47,24.89,82.43,88.95,9.42,98.37,9.23,89.14,89.14,8.29,80.85,80.85,34.4,11.4,11.4,0.0,0.0,0.0,0.0,0.0
2020-03-31,717.88,0.0,717.88,370.55,197.18,-93.21,75.61,25.9,89.5,52.35,6.9,59.25,7.11,52.14,52.14,11.81,40.33,40.33,34.41,5.86,5.86,0.0,0.0,0.0,0.0,0.0
2020-06-30,399.87,13.63,413.5,74.84,0.0,126.9,74.25,26.79,59.01,51.71,6.48,58.19,4.93,53.26,53.26,13.18,40.08,40.08,34.41,5.82,5.82,0.0,0.0,0.0,0.0,0.0
2020-09-30,816.14,26.56,842.7,422.75,0.0,67.06,102.17,26.21,80.52,143.99,9.7,153.69,4.64,149.05,149.05,38.7,110.35,110.35,34.41,16.04,16.04,0.0,0.0,0.0,0.0,0.0
2020-12-31,771.76,23.95,795.71,427.74,0.0,-38.78,109.05,24.38,92.64,180.68,10.69,191.37,4.76,186.61,186.61,51.05,135.56,135.56,34.41,19.7,19.7,0.0,0.0,0.0,0.0,0.0
2021-03-31,893.45,8.28,901.73,453.19,0.0,45.69,99.32,20.54,94.16,188.83,11.22,200.05,4.15,195.9,195.9,49.27,146.63,146.63,34.41,21.31,21.31,0.0,0.0,0.0,0.0,0.0
2021-06-30,754.68,10.72,765.4,409.57,0.0,-30.18,103.8,18.83,96.62,166.76,36.7,203.46,2.76,200.7,200.7,52.17,148.53,148.53,34.41,21.59,21.59,0.0,0.0,0.0,0.0,0.0
2021-09-30,1064.23,0.0,1064.23,537.39,0.0,8.95,114.55,18.98,95.06,289.3,13.74,303.04,4.84,298.2,298.2,78.21,219.99,219.99,34.41,6.39,6.39,0.0,0.0,0.0,0.0,0.0
2021-12-31,1007.55,27.95,1035.5,621.85,0.0,-64.47,110.34,19.08,136.31,212.39,23.88,236.27,3.94,232.33,232.33,57.11,175.22,175.22,34.41,5.09,5.09,0.0,0.0,0.0,0.0,0.0
2022-03-31,1171.12,37.42,1208.54,709.94,0.0,2.47,104.2,18.76,133.62,239.55,10.56,250.11,1.85,248.26,248.26,61.2,187.06,187.06,34.41,5.44,5.44,0.0,0.0,0.0,0.0,0.0
2022-06-30,1269.29,43.72,1313.01,853.53,0.0,-66.46,118.08,19.65,125.06,263.15,43.08,306.23,5.33,300.9,300.9,76.85,224.05,224.05,34.18,6.54,6.54,0.0,0.0,0.0,0.0,0.0
2022-09-30,1073.67,36.99,1110.66,803.66,137.5,-311.9,111.74,19.52,104.96,245.18,25.12,270.3,9.03,261.27,261.27,58.17,203.1,203.1,34.18,5.94,5.94,0.0,0.0,0.0,0.0,0.0
2022-12-31,1148.39,0.0,1148.39,707.35,0.0,51.08,114.85,19.23,128.5,127.38,11.62,139.0,5.26,133.74,133.74,31.77,101.97,101.97,34.18,2.98,2.98,0.0,0.0,0.0,0.0,0.0
2023-03-31,1131.72,35.77,1167.49,675.19,0.0,132.57,117.33,19.24,137.56,85.6,50.32,135.92,7.08,128.84,128.84,22.92,105.92,105.92,34.18,3.1,3.1,0.0,0.0,0.0,0.0,0.0
2023-06-30,1000.19,36.44,1036.63,671.37,0.0,-2.73,121.01,20.27,118.36,108.35,31.74,140.09,7.67,132.42,132.42,31.4,101.02,101.02,34.18,2.96,2.96,0.0,0.0,0.0,0.0,0.0
2023-09-30,947.9,34.12,982.02,588.87,0.0,18.19,121.53,20.41,99.04,133.98,63.99,197.97,5.18,192.79,192.79,36.36,156.43,156.43,34.18,4.58,4.58,0.0,0.0,0.0,0.0,0.0
2023-12-31,904.36,0.0,904.36,602.88,0.0,-92.17,124.77,20.42,115.98,132.48,13.36,145.84,3.89,141.95,141.95,29.07,112.88,112.88,34.18,3.3,3.3,0.0,0.0,0.0,0.0,0.0
2024-03-31,1088.94,41.72,1130.66,536.27,0.0,185.71,120.58,20.53,128.78,138.79,94.86,233.65,6.1,227.55,227.55,42.96,184.59,184.59,34.18,5.4,5.4,0.0,0.0,0.0,0.0,0.0
2024-06-30,1034.08,44.21,1078.29,613.4,0.0,14.2,138.13,21.62,102.07,188.87,9.41,198.28,6.07,192.21,192.21,38.81,153.4,153.4,34.18,4.49,4.49,0.0,0.0,0.0,0.0,0.0
2024-09-30,1003.04,32.07,1035.11,634.77,0.0,-24.84,137.26,22.15,93.72,172.05,96.95,269.0,4.97,264.03,264.03,53.56,210.47,210.47,34.18,6.16,6.16,0.0,0.0,0.0,0.0,0.0
2024-12-31,946.92,37.3,984.22,622.32,0.0,-76.44,134.0,23.2,121.99,159.15,17.09,176.24,4.1,172.14,172.14,34.88,137.26,137.26,34.18,4.02,4.02,0.0,0.0,0.0,0.0,0.0
2025-03-31,1078.68,39.37,1118.05,614.89,0.0,67.37,142.19,22.76,116.54,154.3,57.39,211.69,4.82,206.87,206.87,54.96,151.91,151.91,34.18,4.44,4.44,0.0,0.0,0.0,0.0,0.0
