Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,88.2,88.2,1402.91,1402.91,1491.11,592.07,117.75,0.22,23.37,733.41,229.65,349.87,274.43,80.72,934.66,3159.19,1379.6,8.51,93.93,0.0,0.0,1482.04,278.82,40.81,5.72,1807.39,26.22,338.76,769.4,92.48,114.87,10.09,1351.8,3159.19,226.14,696.25,414.14,7.38,226.14,0.19,80.59,15.17,0.0,284.24,26.23,0.0,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,88.2,88.2,1436.66,1436.66,1524.86,338.54,124.49,0.82,26.1,489.95,785.11,230.64,380.32,52.83,1448.9,3463.71,1344.54,6.07,140.57,0.0,0.0,1491.18,108.18,66.56,1.95,1667.87,193.25,402.96,935.25,38.36,209.71,16.31,1795.84,3463.71,647.83,406.29,1169.73,4.75,1066.34,0.24,88.0,7.89,0.0,108.53,13.44,180.0,10.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,88.2,88.2,1483.47,1483.47,1571.67,469.24,120.3,35.6,0.0,625.14,1404.35,467.52,347.34,28.75,2247.96,4444.77,1258.02,4.69,395.05,0.0,21.62,1679.38,88.93,0.0,115.75,1884.07,27.18,598.06,1534.35,208.54,35.27,157.3,2560.7,4444.77,673.17,0.0,0.0,0.0,58.51,0.0,97.18,4.7,0.0,88.93,27.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,88.2,88.2,1477.45,1477.45,1565.65,0.0,25.93,1.29,16.6,43.82,1078.95,225.52,418.91,2.43,1725.81,3335.28,760.57,0.92,92.12,0.0,0.51,854.12,831.84,0.0,144.28,1830.24,127.34,147.97,503.85,84.85,551.25,89.78,1505.04,3335.28,0.0,0.0,0.0,0.0,65.89,0.0,116.89,11.25,0.0,831.84,0.0,99.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,88.2,88.2,1527.61,1527.61,1615.81,194.0,22.16,0.0,15.87,232.03,1174.24,493.47,134.66,3.12,1805.49,3653.33,716.53,1.65,193.91,0.0,0.51,912.6,831.84,0.0,193.97,1938.41,284.37,227.22,1036.3,78.8,2.49,85.74,1714.92,3653.33,642.84,0.0,0.0,0.0,46.79,0.0,38.31,5.95,0.0,831.84,0.0,257.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,88.2,88.2,1517.66,1517.66,1605.86,401.13,4.18,0.0,16.28,421.59,272.88,529.36,179.45,7.5,989.19,3016.64,697.41,2.22,506.1,0.0,0.51,1206.24,808.28,0.45,205.36,2220.33,26.47,131.6,437.34,63.96,60.75,76.19,796.31,3016.64,481.51,0.0,0.0,0.0,29.29,0.0,14.16,0.0,0.0,808.28,0.0,23.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,89.28,89.28,1548.86,1548.86,1638.14,589.67,14.63,3.07,24.45,631.82,180.2,321.33,120.78,61.91,684.22,2954.18,973.81,100.36,23.46,0.0,31.46,1129.09,816.7,0.0,218.14,2163.93,5.89,99.98,412.45,186.22,13.89,71.82,790.25,2954.18,579.74,79.05,341.41,0.0,9.36,0.0,28.51,0.0,0.0,816.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,102.68,102.68,1908.26,1908.26,2010.94,650.83,30.43,8.06,29.17,718.49,1.51,252.29,211.42,67.02,532.24,3261.67,1000.53,7.66,20.63,3.12,31.46,1063.4,829.04,457.37,203.02,2552.83,105.04,128.54,252.05,102.52,59.5,61.19,708.84,3261.67,507.8,10.09,347.23,12.81,12.3,0.0,52.22,0.0,0.0,829.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,120.59,120.59,2606.08,2606.08,2726.67,431.54,29.73,26.59,34.21,522.07,123.12,265.53,103.03,44.95,536.63,3785.37,994.97,10.1,9.42,1.12,31.46,1047.07,845.52,924.29,246.98,3063.86,307.48,125.74,116.3,42.06,41.2,88.73,721.51,3785.37,462.21,88.25,438.02,29.24,16.69,0.0,26.39,30.14,0.0,843.07,307.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,126.24,126.24,2868.63,2868.63,2994.87,230.71,36.74,28.75,27.11,323.31,107.74,268.97,107.84,45.04,529.59,3847.77,807.28,30.77,17.21,1.82,196.42,1053.5,1850.37,0.0,263.95,3167.82,134.29,140.13,161.03,38.11,138.02,68.37,679.95,3847.77,501.26,231.78,173.7,1.01,11.91,0.0,17.5,25.4,0.0,1850.37,134.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,126.24,126.24,3049.34,3049.34,3175.58,256.04,43.44,36.49,31.52,367.49,72.6,179.96,161.83,46.17,460.56,4003.63,828.23,27.07,27.9,5.26,192.31,1080.77,1654.34,358.74,295.38,3389.23,86.13,126.35,280.98,41.72,7.02,72.2,614.4,4003.63,818.93,26.39,9.01,47.32,24.64,0.0,34.23,66.71,0.0,1654.34,86.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
