Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-03-31,567.41,2.84,570.25,186.02,3.9,27.96,56.37,53.15,26.24,131.43,85.18,0.69,85.87,34.13,51.74,-0.64,51.1,23.64,27.46,0.0,27.46,24.31,1.13,1.13,11.08,45.59,12.36,93.48,50.86
2016-06-30,567.75,0.01,567.76,195.91,11.54,-1.68,59.82,53.57,26.2,145.36,77.04,0.68,77.72,33.96,43.76,0.0,43.76,16.93,26.83,0.0,26.83,24.31,1.1,1.1,11.08,45.6,12.36,93.44,50.83
2016-09-30,659.84,0.08,659.92,216.91,13.75,-10.98,66.39,54.0,26.48,198.59,94.78,1.5,96.28,35.77,60.51,-0.15,60.36,23.88,36.48,0.0,36.48,24.31,1.5,1.5,11.11,45.69,12.35,93.51,50.78
2016-12-31,572.69,0.26,572.95,200.29,8.07,-24.98,68.05,56.72,27.6,162.47,74.73,1.43,76.16,34.49,41.67,-1.23,40.44,14.57,25.87,0.0,25.87,24.31,1.06,1.06,1.11,45.69,12.14,91.93,49.93
2017-03-31,587.31,18.14,605.45,202.13,11.92,5.78,0.0,60.64,24.84,206.52,93.62,7.27,100.89,34.63,66.26,-0.2,66.06,22.78,43.28,-1.78,41.5,24.31,1.71,1.71,0.0,0.0,0.0,0.0,0.0
2017-06-30,588.51,4.48,592.99,203.76,11.75,-5.75,69.18,60.16,21.27,142.75,89.87,2.0,91.87,29.85,62.02,0.0,62.02,20.57,41.45,0.0,41.45,24.31,1.71,1.71,0.0,0.0,0.0,0.0,0.0
2017-09-30,619.08,-2.59,616.49,212.87,12.54,33.78,69.79,62.57,20.06,114.53,90.35,5.67,96.02,30.75,65.27,0.0,65.27,23.48,41.79,0.0,41.79,24.31,1.72,1.72,0.0,0.0,0.0,0.0,0.0
2017-12-31,623.94,8.44,632.38,227.27,5.31,-28.45,86.21,63.97,22.54,163.48,92.05,7.11,99.16,30.92,68.24,0.0,68.24,22.7,45.54,0.0,45.54,24.31,1.87,1.87,0.0,0.0,0.0,0.0,0.0
2018-03-31,731.42,-3.1,728.32,231.35,4.33,6.49,101.37,65.75,27.91,174.49,116.63,6.72,123.35,31.57,91.78,-4.88,86.9,30.34,56.56,0.0,56.56,24.31,2.33,2.33,0.0,0.0,0.0,0.0,0.0
2018-06-30,728.57,2.97,731.54,252.89,2.31,-24.5,112.62,64.96,28.14,193.09,102.03,1.85,103.88,32.92,70.96,-1.0,69.96,24.46,45.5,0.0,45.5,24.31,1.87,1.87,0.0,0.0,0.0,0.0,0.0
2018-09-30,750.72,3.12,753.84,267.17,1.26,-27.34,119.33,66.97,28.76,201.42,96.27,2.88,99.15,33.8,65.35,-0.13,65.22,22.57,42.65,0.0,42.65,24.31,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2018-12-31,666.59,0.0,666.59,219.31,1.85,-25.47,115.01,65.1,29.7,147.56,113.53,4.93,118.46,34.9,83.56,-0.63,82.93,29.16,53.77,0.0,53.77,24.31,2.21,2.21,0.0,0.0,0.0,0.0,0.0
2019-03-31,706.63,0.38,707.01,216.21,6.05,19.17,107.28,63.86,28.66,172.12,93.66,10.37,104.03,32.92,71.11,-0.88,70.23,22.08,48.15,0.0,48.15,24.31,1.98,1.98,0.0,0.0,0.0,0.0,0.0
2019-06-30,698.45,1.28,699.73,219.88,2.23,13.62,105.03,65.18,31.59,167.63,94.57,2.92,97.49,36.03,61.46,0.0,61.46,21.32,40.14,0.0,40.14,24.31,1.65,1.65,0.0,0.0,0.0,0.0,0.0
2019-09-30,635.53,-1.27,634.26,215.22,1.23,-17.25,101.52,58.47,32.36,162.79,79.92,4.61,84.53,37.31,47.22,0.0,47.22,16.52,30.7,0.0,30.7,24.31,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2019-12-31,675.59,0.03,675.62,225.16,1.68,3.42,104.57,63.49,33.08,158.7,85.52,4.57,90.09,36.47,53.62,-3.51,50.11,16.86,33.25,0.0,33.25,24.31,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2020-03-31,586.83,4.23,591.06,207.54,2.04,-39.1,85.15,63.6,35.03,179.24,57.56,1.93,59.49,34.12,25.37,0.0,25.37,-30.45,55.82,0.0,55.82,24.31,2.3,2.3,0.0,0.0,0.0,0.0,0.0
2020-06-30,221.02,0.98,222.0,43.55,2.07,51.64,42.97,50.49,28.83,57.18,-54.73,1.9,-52.83,36.14,-88.97,0.0,-88.97,-32.24,-56.73,0.0,-56.73,24.31,-2.33,-2.33,0.0,0.0,0.0,0.0,0.0
2020-09-30,625.5,4.29,629.79,208.99,1.75,6.86,76.99,62.95,32.19,148.58,91.48,5.5,96.98,37.85,59.13,0.0,59.13,21.74,37.39,0.0,37.39,24.31,1.54,1.54,0.0,0.0,0.0,0.0,0.0
