Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Intangible Assets Under Development,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure
2014-03-31,24.31,24.31,238.35,238.35,262.66,409.8,0.0,15.3,0.0,425.1,697.08,478.29,451.02,10.31,1636.7,2324.46,1121.07,4.66,42.72,1169.78,16.28,114.48,42.46,0.0,1343.0,0.0,474.83,404.17,26.64,75.32,0.5,981.46,2324.46,123.41,34.82,0.0,55.27,0.33,13.55,0.59,15.92,0.0,1.33,374.95,65.33,4.39,10.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,24.31,24.31,286.68,286.68,310.99,810.18,0.0,198.12,0.0,1008.3,317.04,277.16,351.18,16.46,961.84,2281.13,1022.3,4.07,40.56,1137.46,16.37,103.62,56.71,0.0,1314.16,0.0,496.01,345.56,29.27,95.53,0.6,966.97,2281.13,117.31,28.51,0.0,38.08,0.28,13.55,1.99,16.01,0.0,70.53,409.5,69.65,16.86,12.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,24.31,24.31,369.8,369.8,394.11,669.71,0.0,208.75,0.0,878.46,380.66,277.78,334.95,35.14,1028.53,2301.1,1017.84,3.37,64.05,1155.63,16.5,49.32,89.77,0.0,1311.22,0.0,500.21,351.41,36.65,101.12,0.49,989.88,2301.1,117.81,22.07,0.0,23.69,0.21,13.55,1.15,16.14,0.0,70.37,441.97,71.7,21.99,25.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,24.31,24.31,928.66,928.66,952.97,776.62,0.0,204.45,0.0,981.07,265.88,362.72,275.99,7.42,912.01,2846.05,1464.08,3.02,85.16,1621.43,35.77,116.93,19.33,7.93,1801.39,0.0,560.85,327.89,14.06,3.21,138.65,1044.66,2846.05,75.31,754.95,0.0,0.0,11.57,13.55,35.77,3.51,0.0,69.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,24.31,24.31,1085.31,1085.31,1109.62,908.31,0.0,113.39,0.0,1021.7,358.43,578.05,231.52,8.8,1176.8,3308.12,1849.16,3.97,113.27,1966.4,46.38,80.52,18.28,13.08,2124.66,0.0,592.82,424.0,16.55,2.97,147.12,1183.46,3308.12,212.85,789.72,0.0,0.0,9.96,13.55,6.49,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,24.31,24.31,1225.38,1225.38,1249.69,1092.24,0.0,19.75,8.82,1120.81,324.61,629.39,378.85,6.72,1339.57,3710.07,1898.84,5.38,448.38,2352.67,45.26,45.07,25.58,6.06,2474.64,0.0,669.67,379.95,20.75,1.71,163.35,1235.43,3710.07,305.38,921.59,0.0,0.0,30.99,13.55,5.18,5.39,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,24.31,24.31,1318.92,1318.92,1343.23,1103.25,0.0,52.29,9.6,1165.14,263.74,571.64,516.91,6.72,1359.01,3867.38,1964.96,5.23,488.24,2458.43,42.4,54.93,26.24,9.25,2591.25,0.0,699.03,369.12,13.23,11.05,183.7,1276.13,3867.38,251.26,643.1,0.0,0.0,38.11,13.55,1.96,40.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,24.31,24.31,1462.22,1462.22,1486.53,994.26,0.0,47.68,5.56,1047.5,225.63,631.74,380.14,4.68,1242.19,3776.22,2155.73,4.0,261.9,2421.63,46.07,14.38,21.1,7.37,2510.55,0.5,630.0,381.89,56.75,39.88,156.65,1265.67,3776.22,274.36,596.13,0.0,0.0,57.6,13.55,5.6,40.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,24.31,24.31,1787.73,1787.73,1812.04,862.39,67.09,41.95,5.1,976.53,317.5,606.61,114.17,0.89,1039.17,3827.74,2258.45,2.93,88.96,2350.34,51.53,0.0,0.0,51.04,2452.91,0.0,684.52,379.76,86.84,61.73,161.98,1374.83,3827.74,426.93,700.16,0.0,0.0,65.35,13.55,8.2,43.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,24.31,24.31,2102.7,2102.7,2127.01,740.76,133.55,42.83,5.17,922.31,582.99,825.66,148.94,1.2,1558.79,4608.11,2252.26,2.53,226.83,2481.62,114.5,0.0,0.0,91.17,2687.29,0.0,990.57,498.86,115.86,73.73,241.8,1920.82,4608.11,1044.76,1119.99,0.0,0.0,34.11,13.55,8.19,106.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,24.31,24.31,2389.17,2389.17,2413.48,1262.32,135.84,62.96,6.19,1467.31,591.22,828.95,214.42,1.32,1635.91,5516.7,2379.91,1.45,813.18,3194.54,243.97,0.0,0.0,223.78,3662.29,0.0,925.58,510.43,138.03,107.56,172.81,1854.41,5516.7,1215.0,1700.95,0.0,0.0,43.95,13.55,10.92,233.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
