Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-12-31,222.61,222.61,0.0,0.0,134.86,8.72,40.74,38.28,-3.54,34.74,1.31,33.43,0.0,33.43,14.55,18.88,6.92,25.8,38.29,1.32,1.29,0.0,0.0,0.0,0.0,0.0
2019-03-31,340.42,340.42,0.0,0.0,221.35,11.51,78.94,28.63,16.0,44.63,1.61,43.02,0.0,43.02,15.43,27.59,0.0,27.59,54.83,1.01,0.99,0.0,0.0,0.0,0.0,0.0
2019-06-30,343.84,343.84,0.0,0.0,229.04,17.33,57.88,39.59,7.98,47.57,3.3,44.28,0.0,44.28,14.33,29.95,0.0,29.95,54.94,1.08,1.07,0.0,0.0,0.0,0.0,0.0
2019-09-30,354.04,354.04,0.0,0.0,229.03,16.96,55.31,52.76,3.11,55.86,3.22,52.64,0.0,52.64,17.16,35.48,0.0,35.48,55.29,1.28,1.27,0.0,0.0,0.0,0.0,0.0
2019-12-31,368.23,368.23,0.0,0.0,236.68,16.84,69.84,44.87,9.33,54.2,3.11,51.09,0.0,51.09,19.84,31.25,0.0,31.25,55.33,1.13,1.12,0.0,0.0,0.0,0.0,0.0
2020-03-31,396.05,396.05,0.0,0.0,248.75,18.14,67.05,62.11,15.47,77.59,2.72,74.87,0.0,74.87,30.79,44.08,0.0,44.08,55.34,1.59,1.58,0.0,0.0,0.0,0.0,0.0
2020-06-30,384.86,384.86,0.0,0.0,240.68,18.3,55.57,70.31,-5.6,64.72,2.75,61.97,0.0,61.97,21.27,40.7,0.0,40.7,55.41,1.47,1.45,0.0,0.0,0.0,0.0,0.0
2020-09-30,401.09,401.09,0.0,0.0,258.77,18.11,56.39,67.83,2.99,70.82,2.61,68.21,0.0,68.21,23.29,44.92,0.0,44.92,55.42,1.62,1.59,0.0,0.0,0.0,0.0,0.0
2020-12-31,409.51,409.51,0.0,0.0,266.88,17.72,58.72,66.18,10.35,76.53,2.49,74.04,0.0,74.04,24.12,49.93,0.0,49.93,55.42,1.8,1.76,0.0,0.0,0.0,0.0,0.0
2021-03-31,445.07,445.07,0.0,0.0,288.6,15.82,59.47,81.19,4.21,85.39,2.39,83.0,0.0,83.0,24.99,58.02,0.0,58.02,55.46,2.07,2.01,0.0,0.0,0.0,0.0,0.0
2021-06-30,453.23,453.23,0.0,0.0,311.5,16.58,58.38,66.78,23.24,90.02,2.44,87.58,0.0,87.58,21.24,66.35,0.0,66.35,55.52,2.36,2.31,0.0,0.0,0.0,0.0,0.0
2021-09-30,509.86,509.86,0.0,0.0,329.97,17.47,61.67,100.75,12.57,113.32,2.36,110.96,0.0,110.96,28.94,82.02,0.0,82.02,55.53,2.95,2.88,0.0,0.0,0.0,0.0,0.0
2021-12-31,528.95,528.95,0.0,0.0,357.07,16.86,73.28,81.75,15.27,97.02,2.74,94.28,0.0,94.28,24.68,69.6,0.0,69.6,55.69,2.49,2.46,0.0,0.0,0.0,0.0,0.0
2022-03-31,557.33,557.33,0.0,0.0,376.42,17.61,79.17,84.14,23.06,107.19,3.19,104.01,0.0,104.01,25.93,78.08,0.0,78.08,55.9,2.8,2.77,0.0,0.0,0.0,0.0,0.0
2022-06-30,563.44,563.44,0.0,0.0,371.7,18.2,91.01,82.53,22.6,105.13,2.34,102.79,0.0,102.79,25.78,77.01,0.0,77.01,56.0,2.74,2.71,0.0,0.0,0.0,0.0,0.0
2022-09-30,612.39,612.39,0.0,0.0,429.64,19.25,92.98,70.51,-1.65,68.86,2.56,66.3,0.0,66.3,16.24,50.06,0.0,50.06,54.44,1.79,1.77,0.0,0.0,0.0,0.0,0.0
2022-12-31,616.97,616.97,0.0,0.0,434.18,19.5,112.56,50.75,15.9,66.65,2.65,63.99,0.0,63.99,16.76,47.23,0.0,47.23,54.66,1.72,1.71,0.0,0.0,0.0,0.0,0.0
2023-03-31,624.44,624.44,0.0,0.0,433.84,18.99,132.53,39.08,-2.68,36.41,2.3,34.11,0.0,34.11,8.06,26.06,0.0,26.06,54.97,0.94,0.93,0.0,0.0,0.0,0.0,0.0
2023-06-30,622.53,622.53,0.0,0.0,443.88,19.61,103.05,55.98,8.8,64.78,1.97,62.82,0.0,62.82,15.82,46.99,0.0,46.99,55.03,1.7,1.68,0.0,0.0,0.0,0.0,0.0
2023-09-30,646.61,646.61,0.0,0.0,443.73,19.7,109.62,73.57,50.17,123.74,1.96,121.78,0.0,121.78,24.95,96.83,0.0,96.83,55.11,3.5,3.45,0.0,0.0,0.0,0.0,0.0
2023-12-31,693.36,693.36,0.0,0.0,473.47,19.08,102.76,98.05,21.03,119.09,1.64,117.45,0.0,117.45,31.45,86.0,0.0,86.0,55.15,3.11,3.06,0.0,0.0,0.0,0.0,0.0
2024-03-31,682.03,682.03,0.0,0.0,473.55,17.94,113.3,77.24,18.32,95.56,1.36,94.2,0.0,94.2,25.29,68.91,0.0,68.91,55.19,2.48,2.44,0.0,0.0,0.0,0.0,0.0
2024-06-30,721.38,721.38,57.25,0.0,439.95,17.54,86.57,120.07,23.71,143.78,1.25,142.53,0.0,142.53,34.16,108.37,0.0,108.37,55.22,3.9,3.84,0.0,0.0,0.0,0.0,0.0
2024-09-30,643.69,643.69,4.03,0.0,481.37,19.17,93.23,45.89,23.0,68.9,2.53,66.37,0.0,66.37,14.35,52.02,0.0,52.02,55.26,1.87,1.84,0.0,0.0,0.0,0.0,0.0
2024-12-31,660.31,660.31,0.0,0.0,491.47,18.05,90.53,60.27,17.93,78.2,2.65,75.55,0.0,75.55,17.66,57.89,0.0,57.89,55.32,2.08,2.05,0.0,0.0,0.0,0.0,0.0
