Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Share Capital Suspense,Intangible Assets Under Development,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,17.58,17.58,1256.74,1261.84,0.0,1279.42,928.46,70.16,0.0,0.0,998.62,857.87,363.68,318.47,11.15,1551.17,3829.21,1479.14,2.22,48.89,0.0,1530.25,544.76,0.0,238.8,36.32,2350.13,1049.66,247.39,63.22,112.99,5.8,1479.08,3829.21,319.26,4.44,0.0,122.56,0.11,3995.8,416.85,0.02,0.0,5.1,0.0,0.0,0.02,1.06,9.98,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,17.58,17.58,1346.5,1351.6,0.0,1369.18,673.09,56.29,0.0,0.0,729.38,929.02,335.54,502.24,30.21,1797.01,3895.57,1478.65,1.97,24.16,0.0,1504.78,682.91,0.0,146.51,29.33,2363.53,1078.84,264.5,42.09,95.12,51.47,1532.04,3895.57,610.97,5.26,0.05,176.33,2.65,4781.1,546.0,0.02,0.0,5.1,0.0,0.0,0.02,0.58,3.72,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,17.58,17.58,1268.0,1273.1,0.0,1290.68,607.55,19.65,0.0,0.0,627.2,201.79,399.46,941.63,14.27,1557.15,3475.03,1421.38,1.97,33.21,0.0,1456.56,778.36,0.0,137.1,14.71,2386.73,688.49,243.77,79.58,62.57,13.87,1088.3,3475.03,1646.85,7.85,0.03,251.46,0.08,3412.82,641.45,0.02,0.0,5.1,0.0,0.0,0.02,0.57,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,17.59,17.59,1459.76,1459.76,0.0,1477.35,568.76,5.9,11.12,4.49,590.27,181.53,281.48,904.53,10.14,1377.68,3445.41,1439.26,15.17,7.99,25.74,1488.16,735.12,67.52,1.3,20.69,2312.79,734.56,210.46,6.12,0.0,130.85,1132.62,3445.41,693.14,14.76,0.0,0.0,145.52,53.38,66.3,0.0,50.63,0.0,0.11,0.0,50.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,17.7,17.7,1620.43,1620.43,0.0,1638.13,274.98,0.0,10.81,6.86,292.65,432.43,568.02,1104.31,6.67,2111.43,4042.21,1349.82,15.61,5.33,25.08,1395.84,878.31,68.28,20.0,101.36,2463.79,1097.62,134.46,10.11,0.48,335.75,1578.42,4042.21,0.0,417.95,0.0,0.0,142.28,2.46,144.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,17.7,17.7,1695.8,1695.8,0.0,1713.5,352.06,28.0,9.44,7.21,396.71,375.22,408.07,1003.7,15.41,1802.4,3912.61,1249.12,15.47,10.08,22.71,1298.75,978.51,82.62,12.0,87.14,2459.02,972.72,161.75,24.58,4.51,290.03,1453.59,3912.61,403.92,17.3,0.11,0.0,175.7,2.93,167.66,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,17.7,17.7,1696.05,1696.05,0.0,1713.75,410.0,8.64,50.69,8.62,477.95,492.32,436.27,941.82,15.48,1885.89,4077.59,1286.4,17.26,19.32,24.89,1347.87,999.45,81.61,8.0,90.12,2527.05,956.81,161.78,15.0,4.0,412.95,1550.54,4077.59,499.55,6.95,0.0,0.0,127.7,1.75,170.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,17.7,17.7,2576.38,2576.38,0.0,2594.08,79.42,125.18,42.93,7.19,254.72,354.59,305.17,752.58,13.43,1425.77,4274.57,1082.82,2.13,112.3,33.5,1230.75,1010.18,0.0,304.0,116.43,2661.36,957.06,200.63,30.29,104.0,321.23,1613.21,4274.57,707.44,6.87,0.0,0.0,171.16,3.33,183.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,17.74,17.74,2742.4,2742.4,0.0,2760.14,79.4,162.93,34.27,7.21,283.81,24.84,340.19,656.37,10.01,1031.41,4075.36,1211.25,1.55,15.08,31.08,1258.96,1118.87,0.0,200.0,155.67,2733.5,986.04,145.7,44.37,0.0,165.75,1341.86,4075.36,296.76,3.27,0.2,0.0,386.19,4.53,272.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,17.75,17.75,2859.24,2859.24,5.18,2882.17,110.86,156.38,34.03,7.66,308.93,397.0,280.88,105.46,11.23,794.57,3985.67,1225.57,1.14,97.54,30.88,1355.13,991.85,0.0,200.0,103.39,2650.37,978.64,206.69,12.05,0.0,137.92,1335.3,3985.67,398.83,2.78,0.1,0.0,402.4,5.28,299.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,17.75,17.75,2891.64,2891.64,10.01,2919.4,203.94,170.88,29.3,9.21,413.33,834.77,340.54,146.86,11.88,1334.05,4666.78,1330.01,0.69,283.61,56.65,1670.96,1073.78,0.0,0.0,99.63,2844.37,1186.03,240.91,4.67,200.0,190.8,1822.41,4666.78,905.73,2.23,0.07,0.0,38.13,7.19,386.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
