Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-03-31,383.87,0.0,383.87,82.64,173.02,76.54,51.67,288.72,340.39,-83.24,423.63,-94.33,329.3,48.05,281.25,0.0,281.25,4136.63,0.0,0.68,0.68,0.0,0.0,0.0,0.0,0.0
2017-06-30,701.78,0.0,701.78,65.48,91.64,58.77,485.89,110.66,596.55,24.18,572.37,15.31,587.68,136.31,451.37,0.0,451.37,4136.63,0.0,1.09,1.09,0.0,0.0,0.0,0.0,0.0
2017-09-30,727.26,0.0,727.26,76.03,94.82,65.6,490.81,82.35,573.16,30.36,542.8,21.06,563.86,128.97,434.89,0.0,434.89,4136.63,0.0,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2017-12-31,436.58,0.0,436.58,68.91,93.51,68.05,206.11,92.02,298.13,-18.33,316.46,-30.84,285.62,79.92,205.7,0.0,205.7,4136.63,0.0,0.56,0.5,0.0,0.0,0.0,0.0,0.0
2018-03-31,344.79,0.0,344.79,54.8,84.54,83.83,121.62,91.63,213.25,47.61,165.64,45.57,211.21,78.29,132.92,0.0,132.92,3929.8,0.0,0.24,0.33,0.0,0.0,0.0,0.0,0.0
2018-06-30,614.22,0.0,614.22,75.3,95.3,76.55,367.07,36.24,403.31,135.97,267.34,117.45,384.79,91.19,293.6,0.0,293.6,3929.8,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0
2018-09-30,751.9,0.0,751.9,68.36,96.49,67.99,519.06,79.34,598.4,140.92,457.48,104.41,561.89,131.99,429.9,0.0,429.9,3929.8,0.0,1.09,1.09,0.0,0.0,0.0,0.0,0.0
2018-12-31,484.49,0.0,484.49,74.94,97.51,77.84,234.2,66.66,300.86,-42.1,342.96,-96.58,246.38,64.51,181.87,0.0,181.87,3929.8,0.0,0.46,0.46,0.0,0.0,0.0,0.0,0.0
2019-03-31,805.16,0.0,805.16,97.21,100.96,82.9,524.09,70.98,595.07,0.54,594.53,4.95,599.48,140.56,458.92,0.0,458.92,3929.8,0.0,1.17,1.17,0.0,0.0,0.0,0.0,0.0
2019-06-30,724.49,0.0,724.49,80.19,92.24,66.65,485.41,89.39,574.8,22.97,551.83,-2.18,549.65,129.11,420.54,0.0,420.54,3929.8,0.0,1.07,1.07,0.0,0.0,0.0,0.0,0.0
2019-09-30,946.68,0.0,946.68,67.96,92.4,111.76,674.56,82.44,757.0,67.05,689.95,54.99,744.94,125.04,619.9,0.0,619.9,3929.8,0.0,1.58,1.58,0.0,0.0,0.0,0.0,0.0
2019-12-31,490.59,0.0,490.59,71.64,93.2,77.28,248.47,56.95,305.42,41.45,263.97,9.43,273.4,61.39,212.01,0.0,212.01,3929.8,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2020-03-31,539.76,0.0,539.76,87.89,106.25,107.2,238.42,158.85,397.27,136.6,260.67,130.7,391.37,-8.07,399.44,0.0,399.44,3929.8,0.0,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2020-06-30,674.89,0.0,674.89,81.69,94.96,75.17,423.07,36.59,459.66,16.12,443.54,-59.4,384.14,83.06,301.08,0.0,301.08,3929.8,0.0,0.78,0.78,0.0,0.0,0.0,0.0,0.0
2020-09-30,855.25,0.0,855.25,75.69,96.58,63.7,619.28,33.65,652.93,-33.48,686.41,-39.36,647.05,124.4,522.65,0.0,522.65,3929.8,0.0,1.41,1.41,0.0,0.0,0.0,0.0,0.0
2020-12-31,495.04,0.0,495.04,79.75,105.22,87.62,222.45,36.52,258.97,-15.39,274.36,-21.57,252.79,57.28,195.51,0.0,195.51,3929.8,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2021-03-31,465.65,0.0,465.65,83.42,96.51,142.33,143.39,615.48,758.87,29.9,728.97,128.51,857.48,243.68,613.8,0.0,613.8,3929.8,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0
2021-06-30,663.66,0.0,663.66,76.7,96.45,77.29,413.22,38.72,451.94,26.2,425.74,19.33,445.07,105.53,339.54,0.0,339.54,3929.8,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0
2021-09-30,883.78,0.0,883.78,72.04,102.33,117.86,591.55,43.21,634.76,15.0,619.76,-81.23,538.53,132.46,406.07,0.0,406.07,3929.8,9419.41,1.03,1.03,0.0,0.0,0.0,0.0,0.0
2021-12-31,550.92,0.0,550.92,78.03,102.31,87.47,283.11,56.95,340.06,37.73,302.33,-4.86,297.47,64.8,232.67,0.0,232.67,3929.8,9651.56,0.59,0.59,0.0,0.0,0.0,0.0,0.0
2022-03-31,323.6,0.0,323.6,62.64,103.2,121.18,36.58,64.7,101.28,82.41,18.87,3.06,21.93,22.69,-0.76,0.0,-0.76,3929.8,0.0,-0.07,-0.07,0.0,0.0,0.0,0.0,0.0
2022-06-30,1006.25,0.0,1006.25,81.77,100.41,93.85,730.22,64.25,794.47,144.41,650.06,38.75,688.81,81.02,607.79,0.0,607.79,3929.8,0.0,1.55,1.55,0.0,0.0,0.0,0.0,0.0
2022-09-30,880.74,0.0,880.74,73.62,105.32,90.92,610.88,40.52,651.4,116.57,534.83,47.34,582.17,131.1,451.07,0.0,451.07,3929.8,0.0,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2022-12-31,551.67,0.0,551.67,69.74,103.16,100.19,278.58,172.05,450.63,116.93,333.7,16.81,350.51,59.53,290.98,0.0,290.98,3929.8,0.0,0.74,0.74,0.0,0.0,0.0,0.0,0.0
2023-03-31,496.75,0.0,496.75,69.72,81.7,134.43,210.9,86.61,297.51,54.32,243.19,-142.83,100.36,86.75,13.61,0.0,13.61,3929.8,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2023-06-30,664.62,0.0,664.62,68.85,96.84,98.75,400.18,73.72,473.9,93.72,380.18,-19.61,360.57,90.37,270.2,0.0,270.2,3929.8,0.0,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2023-09-30,870.74,0.0,870.74,64.43,97.97,106.32,602.02,81.95,683.97,128.57,555.4,14.26,569.66,128.31,441.35,0.0,441.35,3929.8,10359.06,1.12,1.12,0.0,0.0,0.0,0.0,0.0
2023-12-31,536.55,0.0,536.55,66.67,108.07,106.41,255.4,83.64,339.04,145.89,193.15,-16.18,176.97,41.63,135.34,0.0,135.34,3929.8,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0
2024-03-31,461.68,0.0,461.68,99.34,231.23,139.61,-8.5,60.66,52.16,85.66,-33.5,90.67,57.17,-4.34,61.51,0.0,61.51,3929.8,10100.48,0.16,0.16,0.0,0.0,0.0,0.0,0.0
2024-06-30,831.73,0.0,831.73,79.92,114.44,116.23,521.14,71.15,592.29,142.07,450.22,-21.19,429.03,101.88,327.15,0.0,327.15,3929.8,0.0,0.83,0.83,0.0,0.0,0.0,0.0,0.0
2024-09-30,994.51,0.0,994.51,72.57,116.19,118.07,687.68,82.43,770.11,159.05,611.06,9.12,620.18,147.12,473.06,0.0,473.06,3929.8,0.0,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2024-12-31,625.02,0.0,625.02,78.51,115.42,121.63,309.46,74.63,384.09,204.86,179.23,-5.71,173.52,34.27,139.25,0.0,139.25,3929.8,10781.08,0.35,0.35,0.0,0.0,0.0,0.0,0.0
