Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,2034.87,0.69,2035.56,4.06,1688.61,98.74,54.44,1.39,0.0,233.18,-44.86,30.11,-14.75,10.59,-25.34,-5.21,-30.55,0.0,-30.55,0.0,-30.55,100.0,-0.31,-0.31,10.07,10.07,89.93,100.0,89.93
2015-09-30,4884.99,11.37,4896.36,22.98,4671.48,-72.46,47.37,1.26,0.0,260.37,-34.64,44.67,10.03,5.46,4.57,40.28,44.85,0.25,44.6,0.0,44.6,100.0,0.45,0.45,10.07,10.07,89.93,100.0,89.93
2015-12-31,3584.76,50.64,3635.4,25.16,3531.47,-215.1,47.69,1.29,0.0,231.78,13.11,20.04,33.15,7.83,25.32,4.42,29.74,9.85,19.89,0.0,19.89,100.0,0.2,0.2,10.07,10.07,89.93,100.0,89.93
2016-03-31,1961.49,0.0,1961.49,23.6,1681.67,115.47,51.62,1.93,0.0,126.45,-39.25,33.19,-6.06,6.02,-12.08,25.88,13.8,-7.08,20.88,0.0,20.88,100.0,0.21,0.21,10.07,10.07,89.93,100.0,89.93
2016-06-30,2780.7,1.48,2782.18,36.77,2865.31,-235.41,48.68,1.8,0.0,93.17,-28.14,24.54,-3.6,2.08,-5.68,-1.33,-7.01,0.0,-7.01,0.0,-7.01,100.0,-0.07,-0.07,10.07,10.07,89.93,100.0,89.93
2016-09-30,1389.95,16.02,1405.97,52.22,1517.58,-222.95,44.91,1.11,0.0,41.64,-28.54,31.06,2.52,1.57,0.95,9.5,10.45,0.0,10.45,0.0,10.45,100.0,0.1,0.1,10.07,10.07,89.93,100.0,89.93
2016-12-31,4939.65,10.09,4949.74,5.6,5706.4,-1030.93,45.49,0.91,0.0,206.15,16.12,11.8,27.92,3.21,24.71,84.95,109.66,35.23,74.43,0.0,74.43,100.0,0.74,0.74,10.07,10.07,89.93,100.0,89.93
2017-03-31,2538.22,0.0,2538.22,17.16,2732.96,-478.65,56.6,2.86,0.0,230.06,-22.77,7.15,-15.62,14.41,-30.03,-1.85,-31.88,-11.06,-20.82,0.0,-20.82,100.0,-0.21,-0.21,10.07,10.07,89.93,100.0,89.93
2017-06-30,6320.08,0.0,6320.08,13.29,5627.38,220.11,57.86,1.16,0.0,393.47,6.81,24.71,31.52,2.33,29.19,-1.61,27.58,9.45,18.13,0.0,18.13,100.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2017-09-30,3648.54,0.0,3648.54,39.87,3424.3,-16.0,60.08,1.52,0.0,143.83,-5.06,22.51,17.45,2.55,14.9,-0.81,14.09,2.46,11.63,0.0,11.63,100.0,0.12,0.12,10.07,10.07,89.93,100.0,89.93
2017-12-31,3387.11,0.0,3387.11,45.19,2864.59,185.55,61.85,1.31,0.0,212.38,16.24,0.25,16.49,4.98,11.51,-1.11,10.4,4.14,6.26,0.0,6.26,99.97,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2018-03-31,3095.08,0.0,3095.08,33.04,2555.13,262.48,79.49,1.25,0.0,160.64,3.05,15.63,18.68,6.74,11.94,-4.88,7.06,-5.76,12.82,0.0,12.82,100.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2018-06-30,5088.05,0.0,5088.05,25.41,3606.94,1151.24,70.13,1.35,0.0,217.94,15.04,8.61,23.65,10.07,13.58,-1.49,12.09,2.15,9.94,0.0,9.94,150.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-09-30,7422.81,0.0,7422.81,32.41,7454.92,-446.98,61.15,1.4,0.0,258.84,61.07,1.43,62.5,13.16,49.34,-1.59,47.75,16.07,31.68,0.0,31.68,150.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2018-12-31,9366.78,0.0,9366.78,47.34,9779.27,-848.79,57.22,1.28,10.21,262.97,57.28,1.89,59.17,18.67,40.5,1.61,42.11,14.06,28.05,0.0,28.05,150.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2019-03-31,7101.8,0.0,7101.8,19.09,5205.82,1597.82,32.85,1.51,16.37,185.9,42.44,5.86,48.3,23.37,24.93,-8.29,16.64,4.88,11.76,0.0,11.76,150.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2019-06-30,6886.31,0.0,6886.31,51.84,6829.51,-387.12,48.14,1.24,10.47,301.6,30.63,17.87,48.5,25.9,22.6,0.03,22.63,2.9,19.73,0.0,19.73,150.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2019-09-30,6290.05,0.0,6290.05,69.85,5858.46,143.36,48.2,1.37,0.0,110.99,57.82,2.7,60.52,26.77,33.75,1.5,35.25,11.7,23.55,0.0,23.55,150.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0
2019-12-31,7461.48,0.0,7461.48,7.3,6952.81,225.91,66.4,1.3,0.0,162.39,45.37,2.18,47.55,39.25,8.3,2.11,10.41,9.43,0.98,0.0,0.98,150.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2020-03-31,3497.14,0.0,3497.14,48.47,3432.85,61.81,31.63,1.74,20.7,109.86,-209.92,9.44,-200.48,47.08,-247.56,-47.96,-295.52,-24.15,-271.37,0.0,-271.37,150.0,-1.81,-1.81,0.0,0.0,0.0,0.0,0.0
2020-06-30,1839.95,0.0,1839.95,9.04,1761.44,31.95,37.0,1.42,5.62,15.67,-22.19,2.18,-20.01,47.4,-67.41,-26.88,-94.29,0.0,-94.29,0.0,-94.29,150.0,-0.63,-0.63,0.0,0.0,0.0,0.0,0.0
2020-09-30,5774.31,0.0,5774.31,15.73,6649.63,-1084.23,33.88,1.3,6.71,161.94,-10.65,25.39,14.74,48.09,-33.35,13.03,-20.32,0.0,-20.32,0.0,-20.32,150.0,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0
2020-12-31,10542.05,0.0,10542.05,30.36,9977.21,-20.07,32.91,1.23,10.41,502.95,7.05,3.1,10.15,51.07,-40.92,-19.74,-60.66,0.0,-60.66,0.0,-60.66,150.0,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0
2021-03-31,8225.3,0.0,8225.3,20.38,6560.35,1234.2,31.25,0.99,5.54,407.55,-34.96,11.52,-23.44,51.92,-75.36,-843.58,-918.94,-324.53,-594.41,0.0,-594.41,150.0,-3.96,-3.96,0.0,0.0,0.0,0.0,0.0
2021-06-30,4168.81,0.0,4168.81,5.49,3948.43,8.96,30.68,1.14,9.38,193.46,-28.73,17.59,-11.14,48.28,-59.42,-22.43,-81.85,0.0,-81.85,0.0,-81.85,150.0,-0.55,-0.55,0.0,0.0,0.0,0.0,0.0
2021-09-30,1390.54,0.0,1390.54,38.46,1280.82,-8.41,31.54,1.1,7.09,68.95,-29.01,30.71,1.7,50.22,-48.52,-137.28,-185.8,0.0,-185.8,0.0,-185.8,150.0,-1.24,-1.24,0.0,0.0,0.0,0.0,0.0
2021-12-31,1663.53,0.0,1663.53,44.29,1477.11,11.02,29.9,1.18,6.37,115.58,-21.92,1.13,-20.79,53.17,-73.96,-11.59,-85.55,0.0,-85.55,0.0,-85.55,150.0,-0.57,-0.57,0.0,0.0,0.0,0.0,0.0
2022-03-31,1170.41,0.0,1170.41,19.16,578.28,0.19,22.3,1.15,23.29,19.08,506.96,5.01,511.97,54.27,457.7,16.1,473.8,362.53,111.27,0.0,111.27,150.0,0.74,0.74,0.0,0.0,0.0,0.0,0.0
2022-06-30,247.7,0.0,247.7,8.92,215.68,11.88,26.68,1.12,6.16,1.52,-24.26,9.12,-15.14,111.59,-126.73,0.99,-125.74,0.0,-125.74,0.0,-125.74,150.0,-0.84,-0.84,0.0,0.0,0.0,0.0,0.0
2022-09-30,14.09,0.0,14.09,0.0,0.0,10.11,30.25,1.11,8.52,1.68,-37.58,23.25,-14.33,9.7,-24.03,1413.65,1389.62,272.43,1117.19,0.0,1117.19,150.0,7.45,7.41,0.0,0.0,0.0,0.0,0.0
2022-12-31,6.12,0.0,6.12,0.0,0.0,4.66,25.25,1.13,9.97,1.04,-35.93,24.78,-11.15,-7.29,-3.86,1.8,-2.06,-74.12,72.06,0.0,72.06,150.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0
2023-03-31,4.64,0.0,4.64,4.86,0.0,-3.25,21.86,1.08,6.46,2.94,-29.31,43.04,13.73,-2.79,16.52,0.82,17.34,4.78,12.56,0.0,12.56,150.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2023-06-30,2.16,0.0,2.16,0.0,0.0,0.72,57.21,1.0,0.0,7.3,-64.07,28.54,-35.53,0.47,-36.0,42.61,6.61,3.79,2.82,0.0,2.82,150.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2023-09-30,1.81,0.0,1.81,0.0,0.0,0.07,23.96,1.01,0.0,8.09,-31.32,43.51,12.19,1.07,11.12,1.03,12.15,1.48,10.67,0.0,10.67,150.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2023-12-31,0.73,0.0,0.73,0.0,0.0,0.0,29.89,0.98,0.0,7.21,-37.35,62.6,25.25,-0.99,26.24,0.01,26.25,3.35,22.9,0.0,22.9,150.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2024-03-31,0.64,0.0,0.64,0.23,0.0,-0.22,22.44,1.35,0.0,10.99,-34.15,64.35,30.2,0.15,30.05,0.97,31.02,-0.8,31.82,0.0,31.82,150.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2024-06-30,0.65,0.0,0.65,0.0,0.0,0.0,42.97,1.01,0.0,8.3,-51.63,138.1,86.47,0.1,86.37,-44.14,42.23,10.62,31.61,0.0,31.61,150.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2024-09-30,1.56,0.0,1.56,0.0,0.0,0.0,23.52,1.01,8.15,0.13,-31.25,43.02,11.77,0.12,11.65,27.75,39.4,1.24,38.16,0.0,38.16,150.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2024-12-31,0.25,0.0,0.25,0.0,0.0,0.0,24.41,1.0,6.1,0.3,-31.56,35.06,3.5,0.55,2.95,0.05,3.0,3.56,-0.56,0.0,-0.56,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
