Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,291.54,1.1,292.64,124.92,7.06,91.3,69.36,12.5,81.86,0.0,81.86,0.0,81.86,26.44,55.42,0.0,55.42,7.14,7.76,7.68,0.0,0.0,0.0,0.0,0.0
2017-09-30,280.21,1.14,281.35,122.05,7.24,79.47,72.59,11.16,83.75,0.12,83.63,0.0,83.63,28.3,55.33,0.0,55.33,7.16,7.73,7.65,0.0,0.0,0.0,0.0,0.0
2017-12-31,305.04,1.4,306.44,126.26,7.27,87.83,85.08,4.37,89.45,0.29,89.16,0.0,89.16,24.94,64.22,0.0,64.22,7.17,8.96,8.91,0.0,0.0,0.0,0.0,0.0
2018-03-31,287.72,2.35,290.07,118.9,7.45,81.52,82.2,11.73,93.93,0.5,93.43,0.0,93.43,30.27,63.16,0.0,63.16,7.17,8.81,8.76,0.0,0.0,0.0,0.0,0.0
2018-06-30,294.58,0.0,294.58,128.01,7.03,88.94,70.6,12.2,82.8,0.68,82.12,0.0,82.12,26.8,55.32,0.0,55.32,7.18,7.71,7.67,0.0,0.0,0.0,0.0,0.0
2018-09-30,281.74,0.0,281.74,120.19,7.31,86.69,67.55,29.73,97.28,0.0,97.28,0.0,97.28,31.99,65.29,0.0,65.29,7.2,9.07,9.03,0.0,0.0,0.0,0.0,0.0
2018-12-31,317.95,0.0,317.95,129.42,7.57,107.84,73.12,34.62,107.74,0.0,107.74,0.0,107.74,13.98,93.76,0.0,93.76,7.21,13.0,12.97,0.0,0.0,0.0,0.0,0.0
2019-03-31,289.57,0.0,289.57,123.51,6.39,95.07,64.6,11.64,76.24,0.0,76.24,0.0,76.24,25.14,51.1,0.0,51.1,7.22,7.08,7.07,0.0,0.0,0.0,0.0,0.0
2019-06-30,286.21,0.0,286.21,124.47,6.42,102.5,52.82,16.32,69.14,0.0,69.14,0.0,69.14,22.78,46.36,0.0,46.36,7.23,6.42,6.41,0.0,0.0,0.0,0.0,0.0
2019-09-30,294.95,0.0,294.95,129.71,6.48,91.96,66.8,86.17,152.97,0.0,152.97,0.0,152.97,38.22,114.75,0.0,114.75,7.23,15.87,15.86,0.0,0.0,0.0,0.0,0.0
2019-12-31,307.95,0.0,307.95,139.35,6.34,100.11,62.15,17.34,79.49,0.0,79.49,0.0,79.49,25.41,54.08,0.0,54.08,7.23,7.48,7.46,0.0,0.0,0.0,0.0,0.0
2020-03-31,299.05,0.0,299.05,123.22,18.34,86.02,71.47,36.71,108.18,2.23,105.95,0.0,105.95,24.88,81.07,0.0,81.07,7.25,11.2,11.19,0.0,0.0,0.0,0.0,0.0
2020-06-30,214.19,0.0,214.19,105.85,16.1,63.5,28.74,15.98,44.72,1.75,42.97,0.0,42.97,11.39,31.58,37.73,69.31,7.25,9.56,9.56,0.0,0.0,0.0,0.0,0.0
2020-09-30,228.26,0.0,228.26,113.76,15.5,69.89,29.11,40.01,69.12,1.68,67.44,0.0,67.44,17.16,50.28,29.7,79.98,7.25,11.03,11.02,0.0,0.0,0.0,0.0,0.0
2020-12-31,235.46,0.0,235.46,115.0,17.69,69.59,33.18,19.08,52.26,1.69,50.57,0.0,50.57,10.41,40.16,-103.8,-63.64,7.26,-8.77,-8.75,0.0,0.0,0.0,0.0,0.0
2021-03-31,245.93,0.0,245.93,104.79,13.75,76.63,50.76,147.26,198.02,1.88,196.14,0.0,196.14,14.86,181.28,0.0,181.28,7.27,24.96,24.94,0.0,0.0,0.0,0.0,0.0
2021-06-30,252.34,0.0,252.34,118.3,13.49,74.89,45.66,68.26,113.92,1.86,112.06,0.0,112.06,18.45,93.61,0.0,93.61,7.27,12.86,12.85,0.0,0.0,0.0,0.0,0.0
