Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2013-12-31,7.07,7.07,601.77,601.77,608.84,0.0,0.0,13.9,13.9,0.0,63.66,91.22,122.54,277.41,900.15,83.64,0.0,0.0,0.0,83.64,150.58,16.15,180.66,0.7,431.72,221.56,153.01,41.89,33.88,18.07,468.42,900.15,12.28,56.54,51.56,0.0,0.0,150.58,221.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-31,7.14,7.14,720.25,720.25,727.39,0.0,12.26,10.27,22.53,0.0,71.12,95.02,116.11,282.25,1032.17,70.83,0.0,0.0,0.0,70.83,151.39,21.66,185.02,0.53,429.43,355.52,126.59,58.63,42.85,19.15,602.74,1032.17,26.18,78.8,95.67,509.17,0.0,151.39,355.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,7.12,7.12,668.02,668.02,675.14,0.0,9.3,12.74,22.04,0.0,24.26,151.8,119.96,296.03,993.2,59.06,0.1,0.13,0.0,59.28,151.39,28.04,145.29,0.78,384.77,357.56,135.13,43.48,54.69,17.56,608.43,993.2,49.18,85.75,110.01,562.3,0.0,151.39,357.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,7.13,7.13,707.78,707.78,714.91,0.0,8.37,13.53,21.9,0.0,32.49,178.09,124.77,335.34,1072.15,60.08,0.74,0.0,1.91,62.72,127.83,33.75,117.09,0.01,341.4,417.6,189.81,25.82,56.63,40.87,730.75,1072.15,61.88,100.2,133.93,711.97,0.0,545.44,417.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,7.17,7.17,804.53,804.53,811.7,0.0,3.53,12.88,16.41,0.0,46.82,187.93,53.39,288.14,1116.25,48.21,2.32,0.0,11.6,62.13,512.94,27.1,12.61,29.39,644.17,131.32,161.44,43.26,59.4,76.66,472.08,1116.25,75.19,0.0,0.0,0.0,0.0,163.54,131.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,7.21,7.21,801.72,801.72,808.93,0.0,7.74,12.98,20.72,0.0,52.07,194.68,54.81,301.56,1131.21,32.09,16.63,0.0,4.57,53.29,476.42,45.4,36.56,43.87,655.54,183.03,164.82,51.0,9.21,67.61,475.67,1131.21,60.55,0.0,0.0,0.0,0.0,217.66,183.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,7.23,7.23,751.52,751.52,758.75,0.0,5.37,13.58,18.95,0.0,67.58,209.73,56.87,334.18,1111.88,28.29,10.87,0.0,11.8,50.96,383.73,28.36,32.5,58.97,554.52,252.25,153.43,72.94,7.15,71.59,557.36,1111.88,94.84,0.0,0.0,0.0,0.0,33.24,252.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,7.26,7.26,688.06,688.06,695.32,0.0,78.96,16.88,95.84,0.0,54.95,437.61,55.57,548.13,1339.29,137.98,7.95,0.0,9.79,155.72,379.21,24.33,23.17,45.78,628.21,292.98,117.23,99.43,66.85,134.59,711.08,1339.29,99.54,0.0,0.0,0.0,0.0,32.37,292.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,7.29,7.29,1020.27,1020.27,1027.56,2.23,73.36,18.85,92.21,0.0,106.51,206.05,63.83,376.39,1498.39,135.3,50.01,0.0,5.3,190.61,341.24,37.6,0.0,123.3,692.75,302.98,255.17,117.18,1.86,128.45,805.64,1498.39,248.04,0.0,0.0,0.0,162.39,178.85,302.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,7.31,7.31,1063.03,1063.03,1070.34,0.04,40.86,24.92,65.78,0.0,112.63,296.58,66.78,475.99,1612.15,111.59,40.91,0.0,9.38,161.88,336.63,54.54,0.0,119.47,672.52,329.29,365.51,74.45,2.81,167.57,939.63,1612.15,400.37,277.91,0.0,1013.96,159.16,177.47,329.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,7.31,7.31,1482.16,1482.16,1489.47,0.35,41.86,35.43,77.29,0.0,123.73,273.91,79.09,476.73,2043.84,74.33,45.09,0.0,8.78,128.2,431.2,57.15,0.0,144.14,760.69,564.11,375.82,108.15,3.55,231.52,1283.15,2043.84,506.85,265.32,0.0,1347.65,249.55,181.65,564.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,7.31,7.31,1779.0,1779.0,1786.31,0.0,210.4,46.01,256.41,42.2,111.91,321.23,85.18,560.52,2603.24,201.84,9.03,0.85,0.0,211.72,543.27,54.88,0.0,500.38,1310.25,719.81,284.59,95.78,5.3,187.51,1292.99,2603.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
