Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Other Assets,Deferred Tax Assets [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,4277.76,4277.76,132447.25,132447.25,136725.01,0.0,16578.68,1185.02,25719.96,43483.66,0.0,6372.48,11926.17,781.12,19079.77,199288.43,30229.19,50.06,25557.79,0.0,121620.31,17204.31,29488.52,1132.0,169445.13,0.0,5882.54,8165.67,10798.88,4366.96,629.25,29843.3,199288.43,85206.18,1800.99,18210.59,18372.86,7481.83,7.15,3928.27,18991.74,11777.08,0.0,65783.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,4277.76,4277.76,140323.22,140323.22,144600.98,0.0,17733.15,1128.89,25443.38,44305.42,1393.0,5489.1,10293.81,1997.58,19173.49,208079.88,31421.12,69.6,28579.19,0.0,126780.94,18124.28,19470.82,13540.58,177916.63,0.0,5963.53,13578.27,2760.07,6947.68,913.71,30163.25,208079.88,85471.13,1226.84,150.86,17542.1,5015.35,7.45,3928.27,24769.12,12697.06,0.0,66711.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,4277.76,4277.76,161496.92,161496.92,165774.68,0.0,19297.28,242.37,18684.38,38224.03,0.0,5126.45,12047.37,704.33,17878.15,221876.85,94212.54,66.54,16671.19,17224.61,128174.88,36827.79,4148.76,21949.86,191101.29,3003.24,5625.57,5431.42,9956.64,1027.21,5731.48,30773.19,221876.85,72286.86,1024.31,300.89,21698.85,3028.12,5.09,3928.27,26153.35,12792.2,3003.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,6416.63,6416.63,179121.75,179121.75,185538.38,0.0,22163.21,1029.15,19285.29,42477.65,0.0,5154.8,11945.89,2132.78,19233.47,247249.49,104718.71,88.34,15782.81,19173.09,139762.95,50515.42,2807.11,24256.74,217342.21,3634.33,6165.32,6476.21,9510.78,1426.95,2693.7,29907.28,247249.49,45395.68,1828.41,335.34,18511.04,3055.67,17.2,6067.14,46125.23,17818.29,3634.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,6416.63,6416.63,186968.05,186968.05,193384.68,0.0,26259.16,920.65,21301.84,48481.64,25592.21,7334.55,15176.91,1258.19,49361.86,291228.18,119515.55,112.86,13545.06,21838.53,155011.99,85730.8,2133.47,26835.36,269711.63,0.0,6688.91,7772.64,1012.7,1402.12,4640.19,21516.55,291228.18,56362.29,1596.98,348.27,16924.69,3364.43,188.03,6067.14,72172.17,17971.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,6290.15,6290.15,196702.4,196702.4,202992.56,0.0,28070.38,830.26,23624.74,52525.38,21593.57,8825.0,14712.65,1585.66,46716.88,302234.81,124244.66,174.46,15523.54,19526.69,159469.35,84881.54,1046.13,28447.45,273844.46,0.0,7749.17,8439.96,504.06,633.93,11063.23,28390.35,302234.81,93825.42,1785.92,374.82,19198.29,2940.85,286.79,5947.55,61714.02,18123.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,6290.15,6290.15,188047.94,188047.94,194338.09,2245.1,26344.1,5247.24,27939.21,61775.64,11704.01,7113.63,20651.84,1097.53,40567.02,296680.75,127518.1,180.96,20016.58,16208.97,163924.6,72429.99,1182.48,32157.69,269694.75,0.0,8566.62,4777.39,968.23,511.73,12162.03,26986.0,296680.75,95668.02,1935.45,321.01,17973.66,1015.96,609.46,5947.55,34042.19,21789.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,6290.14,6290.14,198268.43,198268.43,204558.57,6327.52,27473.37,12729.05,30535.18,77065.12,8695.14,6376.65,20372.28,1385.83,36829.9,318453.58,130482.51,217.25,24811.29,16137.79,171648.84,81376.44,1327.41,32323.44,286676.13,0.0,8474.47,7797.33,302.55,383.47,14819.63,31777.45,318453.58,91576.91,0.0,0.0,21851.25,0.0,239.34,5947.55,42586.82,28088.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6290.14,6290.14,230857.95,230857.95,237148.09,6396.9,19733.25,7198.39,30186.24,63514.79,0.0,6154.73,27099.75,3346.89,36601.37,337264.24,136753.2,182.4,28753.68,13217.03,178906.31,85173.22,26077.63,11180.62,301337.76,0.0,7861.42,11788.48,236.23,244.22,15796.12,35926.48,337264.24,84271.41,0.0,0.0,16768.39,0.0,190.59,5947.55,49129.69,17325.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6290.14,6290.14,251555.7,251555.7,257845.84,3949.93,21761.18,4856.43,37473.8,68041.34,3268.95,6255.6,29692.7,1932.66,41149.91,367037.09,141447.05,167.75,32892.38,13475.86,187983.03,84985.58,1696.54,39294.27,313959.41,0.0,8319.51,10250.31,21634.05,259.14,12614.68,53077.68,367037.09,76267.04,0.0,0.0,19432.8,0.0,471.49,5947.55,48391.67,17438.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,6290.14,6290.14,299686.37,299686.37,305976.51,3988.25,24708.83,21608.5,48170.3,98475.87,2121.0,6382.09,30529.44,2535.98,41568.5,446020.89,178513.67,608.72,33330.8,19782.71,232235.89,105371.37,1927.6,40744.43,380279.28,197.51,10711.81,11409.74,30031.3,282.28,13108.96,65741.61,446020.89,91151.2,0.0,0.0,24431.6,0.0,343.28,5947.55,108979.42,17532.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
