Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2018-09-30,4872.52,4872.52,4394.61,-220.39,84.2,44.37,224.46,345.27,13.86,359.13,10.08,349.05,349.05,123.31,225.74,225.74,624.08,3.62,3.56
2018-12-31,5450.94,5450.94,4673.67,-23.62,87.93,52.16,259.63,401.17,8.64,409.81,14.89,394.92,394.92,137.81,257.11,257.11,624.08,4.12,4.06
2019-03-31,5033.37,5033.37,4414.39,-106.07,85.94,61.94,262.58,314.59,14.66,329.25,12.16,317.09,317.09,114.2,202.89,202.89,624.08,3.25,3.21
2019-06-30,5780.53,5780.53,4913.69,-64.26,94.23,74.97,240.93,520.97,11.94,532.91,16.76,516.15,516.15,180.84,335.31,335.31,624.08,5.37,5.3
2019-09-30,5949.01,5949.01,5443.43,-390.6,104.42,83.32,276.36,432.08,8.86,440.94,17.54,423.4,423.4,89.95,333.45,333.45,624.08,5.34,5.28
2019-12-31,6751.94,6751.94,5511.95,227.28,111.01,86.69,308.58,506.43,6.94,513.37,16.03,497.34,497.34,103.08,394.26,394.26,627.78,6.3,6.25
2020-03-31,6193.53,6193.53,5480.07,-105.63,115.08,94.83,286.34,322.84,35.59,358.43,12.43,346.0,346.0,59.13,286.87,286.87,647.77,4.49,4.46
2020-06-30,3833.23,3833.23,3210.99,98.88,121.22,86.09,293.28,22.77,51.34,74.11,7.55,66.56,66.56,17.0,49.56,49.56,647.77,0.77,0.76
2020-09-30,5218.15,5218.15,4550.31,-65.2,122.8,90.38,285.35,234.51,55.81,290.32,7.91,282.41,282.41,71.86,210.55,210.55,647.77,3.25,3.22
2020-12-31,7432.69,7432.69,6316.45,-6.86,126.77,100.25,304.96,591.12,49.2,640.32,8.72,631.6,631.6,161.35,470.25,470.25,647.77,7.26,7.21
2021-03-31,7303.13,7303.13,6536.48,-284.72,124.34,94.64,310.42,521.97,52.55,574.52,10.3,564.22,564.22,129.27,434.95,434.95,647.77,6.71,6.66
2021-06-30,5031.75,5031.75,4349.33,60.33,134.58,92.73,266.29,128.49,36.21,164.7,8.41,156.29,156.29,41.16,115.13,115.13,647.77,1.78,1.76
2021-09-30,7649.64,7649.64,7073.03,-517.33,129.28,97.07,294.51,573.08,32.99,606.07,9.02,597.05,597.05,148.15,448.9,448.9,647.78,6.93,6.88
2021-12-31,9065.02,9065.02,7546.23,169.31,141.35,108.03,339.94,760.16,32.31,792.47,10.5,781.97,781.97,196.18,585.79,585.79,647.78,9.04,8.97
2022-03-31,8606.09,8606.09,7503.64,-131.87,143.02,123.23,349.34,618.73,39.36,658.09,11.67,646.42,646.42,180.07,466.35,466.35,647.77,7.2,7.14
2022-06-30,9806.89,9806.89,8331.49,-75.58,156.76,123.34,386.33,884.55,36.91,921.46,11.66,909.8,909.8,230.16,679.64,679.64,647.78,10.49,10.41
2022-09-30,10384.66,10384.66,9702.5,-822.69,163.02,136.51,446.96,758.36,43.76,802.12,11.77,790.35,790.35,59.87,730.48,730.48,647.78,11.28,11.19
2022-12-31,11304.58,11304.58,9115.67,573.66,167.49,141.75,473.31,832.7,40.51,873.21,12.03,861.18,861.18,220.11,641.07,641.07,647.77,9.9,9.82
2023-03-31,10337.12,10337.12,9094.23,-144.06,160.91,141.65,443.86,640.53,41.91,682.44,12.61,669.83,669.83,164.62,505.21,505.21,648.26,7.8,7.75
2023-06-30,11584.44,11584.44,10055.96,-158.8,177.54,140.57,473.28,895.89,46.79,942.68,11.0,931.68,931.68,236.32,695.36,695.36,650.73,10.71,10.68
2023-09-30,12307.72,12307.72,11103.21,-514.48,195.56,150.9,521.66,850.87,45.63,896.5,11.67,884.83,884.83,226.29,658.54,658.54,650.73,10.12,10.1
2023-12-31,13247.33,13247.33,11174.81,191.4,202.98,163.24,557.2,957.7,44.43,1002.13,11.07,991.06,991.06,254.24,736.82,736.82,650.73,11.32,11.3
2024-03-31,12393.46,12393.46,10880.54,-185.99,209.63,178.08,549.06,762.14,52.2,814.34,10.53,803.81,803.81,199.61,604.2,604.2,650.73,9.28,9.27
2024-09-30,14050.32,14050.32,12987.8,-929.89,248.27,184.92,639.08,920.14,46.5,966.64,13.38,953.26,953.26,242.89,710.37,710.37,650.73,10.92,10.89
2024-12-31,15565.23,15565.23,13154.25,221.95,265.98,203.87,687.83,1031.35,36.44,1067.79,15.19,1052.6,1052.6,267.95,784.65,784.65,650.73,12.06,12.04
2025-03-31,14462.39,14462.39,12800.42,-286.22,267.89,216.02,698.9,765.38,39.13,804.51,15.99,788.52,788.52,168.81,619.71,619.71,650.73,9.52,9.5
