Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-09-30,399.71,0.0,399.71,265.24,0.0,-0.38,0.0,14.84,9.52,85.11,25.38,11.22,36.6,25.17,11.43,0.0,11.43,4.05,7.38,0.0,7.38,221.92,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2018-12-31,351.04,0.0,351.04,249.72,0.0,-0.43,0.0,15.23,9.48,40.5,36.54,9.56,46.1,29.69,16.41,0.0,16.41,5.63,10.78,0.0,10.78,221.92,0.49,0.49,0.0,0.0,0.0,0.0,0.0
2019-03-31,205.69,0.0,205.69,153.79,0.0,14.5,0.0,18.94,9.67,40.19,-31.4,12.31,-19.09,28.78,-47.87,0.0,-47.87,-16.84,-31.03,0.0,-31.03,221.92,-1.4,-1.4,0.0,0.0,0.0,0.0,0.0
2019-06-30,140.87,0.0,140.87,123.32,0.0,-13.97,0.0,16.28,9.65,28.43,-22.84,16.33,-6.51,29.09,-35.6,0.0,-35.6,-12.55,-23.05,0.0,-23.05,221.92,-1.04,-1.04,0.0,0.0,0.0,0.0,0.0
2019-09-30,55.44,0.0,55.44,64.35,0.0,-16.21,0.0,16.43,10.78,15.82,-35.73,19.95,-15.78,30.48,-46.26,0.0,-46.26,-16.37,-29.89,0.0,-29.89,221.92,-1.35,-1.35,0.0,0.0,0.0,0.0,0.0
2019-12-31,198.37,0.0,198.37,110.67,0.0,28.8,0.0,16.65,10.25,39.06,-7.06,27.16,20.1,27.07,-6.97,0.0,-6.97,-2.44,-4.53,0.0,-4.53,221.92,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0
2020-03-31,132.99,0.0,132.99,38.94,87.78,-16.91,0.0,15.78,9.98,204.98,-207.56,13.16,-194.4,65.63,-260.03,0.0,-260.03,-90.42,-169.61,0.0,-169.61,221.92,-7.64,-7.64,0.0,0.0,0.0,0.0,0.0
2020-06-30,59.73,0.0,59.73,20.96,43.33,-2.94,0.0,16.59,9.64,20.42,-48.27,18.75,-29.52,43.25,-72.77,0.0,-72.77,-25.21,-47.56,0.0,-47.56,221.92,-2.14,-2.14,0.0,0.0,0.0,0.0,0.0
2020-09-30,135.12,0.0,135.12,39.24,79.28,8.13,0.0,18.37,9.87,34.92,-54.69,17.86,-36.83,41.58,-78.41,0.0,-78.41,-31.33,-47.08,0.0,-47.08,221.92,-2.12,-2.12,0.0,0.0,0.0,0.0,0.0
2020-12-31,157.64,0.0,157.64,133.33,2.67,5.43,0.0,18.92,9.79,23.63,-36.13,10.84,-25.29,48.1,-73.39,0.0,-73.39,-25.61,-47.78,0.0,-47.78,221.92,-2.15,-2.15,0.0,0.0,0.0,0.0,0.0
2021-03-31,151.57,0.0,151.57,88.33,15.14,20.47,0.0,14.04,9.62,112.77,-108.8,65.31,-43.49,38.63,-82.12,0.0,-82.12,-28.74,-53.38,0.0,-53.38,221.92,-2.41,-2.41,0.0,0.0,0.0,0.0,0.0
2021-06-30,122.3,0.0,122.3,83.57,27.52,-8.35,0.0,15.02,9.64,25.38,-30.48,18.75,-11.73,41.37,-53.1,0.0,-53.1,-18.54,-34.56,0.0,-34.56,221.92,-1.56,-1.56,0.0,0.0,0.0,0.0,0.0
2021-09-30,231.03,0.0,231.03,125.66,98.51,-2.56,0.0,14.47,9.69,24.31,-39.05,7.19,-31.86,45.89,-77.75,0.0,-77.75,-27.15,-50.6,0.0,-50.6,221.92,-2.28,-2.28,0.0,0.0,0.0,0.0,0.0
