Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Other Assets,Assets Held For Sale,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Government/Other Grants,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure
2014-03-31,62.39,62.39,2067.46,2067.46,0.0,2129.85,143.08,51.74,40.3,2.26,237.38,12.37,439.58,305.13,273.79,1030.87,3398.1,897.08,9.2,27.78,0.0,934.06,882.52,0.35,1888.09,0.0,682.71,136.49,626.16,19.73,1510.01,3398.1,524.94,11.16,48.67,315.17,1.33,51.59,0.0,882.52,0.0,0.0,0.0,71.16,44.92,385.13,4.42,115.53,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,62.44,62.44,2313.35,2313.35,0.0,2375.79,41.73,43.37,1.36,4.78,91.24,0.0,394.52,463.71,323.59,1181.82,3648.85,976.21,8.59,22.13,0.0,1007.32,1011.76,175.38,2241.23,0.0,689.72,132.51,522.34,21.94,1407.62,3648.85,491.96,6.46,38.33,295.83,0.49,51.59,0.0,1011.76,0.0,0.0,0.39,46.77,41.11,342.89,2.41,136.15,38.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,62.46,62.46,2581.72,2581.72,0.0,2644.18,0.0,74.91,4.13,6.61,85.65,0.0,436.33,440.81,387.65,1264.79,3994.62,1050.64,10.82,20.49,0.0,1082.05,460.27,0.38,1615.94,0.0,784.36,157.64,1344.21,35.93,2378.68,3994.62,292.9,7.33,97.9,246.33,0.2,51.59,156.0,309.61,0.0,0.0,0.1,73.24,56.54,362.31,2.81,93.17,64.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,62.49,62.49,3211.09,3211.09,0.0,3273.58,0.0,113.76,4.57,9.08,127.41,198.05,629.56,621.2,110.19,1559.0,4959.99,1191.67,18.16,11.91,0.0,1293.93,389.07,102.14,1785.14,0.0,928.43,228.5,1937.53,80.39,3174.85,4959.99,104.4,805.33,0.0,276.73,0.0,51.59,164.7,175.21,0.0,55.92,16.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,62.51,62.51,3676.64,3676.64,0.0,3739.15,81.0,206.95,23.19,23.88,335.02,27.0,1633.99,652.16,154.09,2467.24,6541.41,1247.9,1483.47,24.05,0.0,2809.21,41.7,57.77,2908.68,0.0,1621.65,325.4,1526.17,159.51,3616.4,6541.41,103.47,1832.99,0.0,230.17,0.0,51.59,0.0,0.0,0.0,53.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,62.55,62.55,4179.71,4179.71,0.27,4242.53,40.5,321.67,21.26,32.36,415.79,0.0,1559.36,758.54,202.86,2520.76,7179.08,1430.6,1470.21,232.15,0.51,3133.47,58.26,167.58,3368.16,0.0,1917.03,404.78,1284.83,204.28,3810.92,7179.08,283.24,2330.6,0.0,0.0,328.8,51.59,0.0,58.26,0.0,0.0,0.0,8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,62.58,62.58,4241.59,4241.59,0.64,4304.81,0.0,286.52,112.9,35.57,434.99,0.0,1414.07,683.98,210.01,2308.06,7047.86,1899.44,1449.98,82.77,3.36,3435.55,1.63,157.11,3594.29,0.0,1871.88,240.92,1106.92,233.85,3453.57,7047.86,215.92,1881.4,0.0,0.0,245.59,51.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,62.6,62.6,5101.21,5101.21,0.64,5164.45,393.65,339.11,107.39,58.43,898.58,98.55,1596.78,804.31,257.55,2757.19,8820.22,1860.7,1429.6,86.26,3.65,3380.21,1.63,151.23,3533.07,306.3,2619.89,560.31,1624.74,175.91,5287.15,8820.22,183.06,1785.55,0.0,0.0,309.28,51.59,0.0,0.0,306.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,62.63,62.63,5925.48,5925.48,0.53,5988.64,272.57,350.62,187.77,76.25,887.21,122.96,2379.41,873.71,253.23,3629.31,10505.16,2021.34,1412.16,56.75,0.46,3490.71,274.31,152.91,3917.93,153.42,2968.08,764.83,2535.84,165.06,6587.23,10505.16,141.22,2334.85,0.0,0.0,455.47,51.59,0.0,272.68,153.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,62.65,62.65,6549.53,6549.53,2.3,6614.48,0.0,361.51,198.22,136.72,696.45,0.0,2642.54,914.82,274.91,3832.27,11143.2,2227.77,1392.8,163.42,2.99,3786.98,20.45,283.99,4091.42,180.87,3708.47,971.33,1861.87,329.24,7051.78,11143.2,538.3,2937.63,0.0,0.0,364.58,51.59,0.0,20.0,180.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,62.67,62.67,7375.78,7375.78,0.0,7438.45,0.0,357.52,257.61,87.72,702.85,0.0,2690.7,1310.16,277.67,4278.53,12419.83,2606.18,1381.63,296.91,1.79,4286.51,41.18,226.2,4553.89,0.0,3408.52,1157.2,3015.42,284.8,7865.94,12419.83,385.78,2629.49,0.0,0.0,504.52,51.59,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,62.69,62.69,8268.3,8268.3,0.0,8330.99,0.0,375.32,253.35,54.74,683.41,0.0,3040.07,1385.58,334.9,4760.55,13774.95,3563.44,1065.23,116.47,0.0,4745.14,74.03,157.52,4976.69,0.0,4007.37,1253.6,3352.58,184.71,8798.26,13774.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
