Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-09-30,3668.94,0.0,3668.94,2065.68,704.82,-234.88,306.81,72.08,86.69,0.0,452.75,214.99,43.33,258.32,6.83,251.49,0.0,251.49,64.62,186.87,186.87,62.65,2.98,2.98,0.0,0.0,0.0,0.0,0.0
2022-12-31,4119.71,0.0,4119.71,2321.99,673.27,-235.51,326.61,74.57,127.82,0.0,481.8,349.16,39.9,389.06,7.28,381.78,0.0,381.78,97.84,283.94,283.94,62.65,4.53,4.53,0.0,0.0,0.0,0.0,0.0
2023-03-31,4849.59,0.0,4849.59,2538.7,830.73,2.63,326.16,77.4,109.52,0.0,511.08,453.37,46.81,500.18,9.75,490.43,0.0,490.43,128.72,361.71,361.71,62.65,5.77,5.77,0.0,0.0,0.0,0.0,0.0
2023-06-30,4823.7,0.0,4823.7,2322.55,687.45,347.87,355.22,76.27,134.3,0.0,573.93,326.11,64.69,390.8,8.47,382.33,0.0,382.33,94.95,287.38,287.38,62.67,4.59,4.59,0.0,0.0,0.0,0.0,0.0
2023-09-30,3891.24,0.0,3891.24,2262.85,574.85,-242.45,376.61,81.18,84.63,0.0,461.26,292.31,52.39,344.7,9.33,335.37,0.0,335.37,86.27,249.1,249.1,62.67,3.97,3.97,0.0,0.0,0.0,0.0,0.0
2023-12-31,4400.62,0.0,4400.62,2462.49,587.77,-116.35,376.21,87.66,176.34,7.23,474.32,344.95,55.94,400.89,10.2,390.69,0.0,390.69,102.82,287.87,287.87,62.67,4.59,4.59,0.0,0.0,0.0,0.0,0.0
2024-03-31,5434.34,0.0,5434.34,2825.88,569.95,253.66,417.87,93.37,132.09,3.77,594.31,543.44,75.71,619.15,17.71,601.44,0.0,601.44,152.58,448.86,448.86,62.67,7.16,7.16,0.0,0.0,0.0,0.0,0.0
2024-06-30,5798.11,0.0,5798.11,3088.26,737.84,123.86,458.17,92.01,172.37,3.39,638.02,484.19,77.03,561.22,8.55,552.67,0.0,552.67,141.49,411.18,411.18,62.69,6.56,6.56,0.0,0.0,0.0,0.0,0.0
2024-09-30,4532.99,0.0,4532.99,2443.89,890.27,-331.5,460.21,94.62,130.1,28.12,531.88,285.4,92.76,378.16,10.08,368.08,0.0,368.08,95.49,272.59,272.59,62.69,4.35,4.35,0.0,0.0,0.0,0.0,0.0
2024-12-31,4882.5,0.0,4882.5,2973.14,716.63,-487.76,464.11,104.09,177.66,2.8,604.28,327.55,64.03,391.58,9.39,382.19,0.0,382.19,99.38,282.81,282.81,62.69,4.51,4.51,0.0,0.0,0.0,0.0,0.0
2025-03-31,6532.21,0.0,6532.21,3494.01,742.74,197.27,469.33,108.0,142.27,8.61,717.26,652.72,68.65,721.37,15.22,706.15,0.0,706.15,183.89,522.26,522.26,62.69,8.33,8.33,0.0,0.0,0.0,0.0,0.0
