Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-03-31,7353.15,49.2,7402.35,2991.26,427.2,97.36,0.0,146.67,575.69,2299.92,864.25,0.0,864.25,979.5,-115.25,-1653.84,-1769.09,-614.85,-1154.24,-1154.24,96.79,0.0,-11.92,-11.92,0.0,0.0,0.0,0.0,0.0
2019-06-30,7084.78,0.0,7084.78,3028.18,276.07,-59.17,0.0,161.67,567.05,2070.06,1040.92,0.0,1040.92,696.95,343.97,0.0,343.97,120.11,223.86,223.86,101.8,0.0,2.22,2.21,0.0,0.0,0.0,0.0,0.0
2019-09-30,6572.92,0.0,6572.92,3010.63,260.22,-165.36,0.0,162.52,582.3,2049.84,672.77,0.0,672.77,656.87,15.9,0.0,15.9,0.75,15.15,15.15,102.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2019-12-31,6640.26,0.0,6640.26,2563.85,212.63,360.08,0.0,160.9,570.19,1990.71,781.9,0.0,781.9,634.28,147.62,0.0,147.62,50.69,96.93,96.93,102.0,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.0
2020-03-31,5930.31,0.0,5930.31,2085.01,133.54,-333.61,0.0,193.58,567.55,2289.59,994.65,0.0,994.65,622.51,372.14,0.0,372.14,90.4,281.74,281.74,102.0,0.0,2.76,2.76,0.0,0.0,0.0,0.0,0.0
2020-06-30,6280.78,0.0,6280.78,2145.94,333.46,-67.5,0.0,172.3,561.58,1868.31,1266.69,0.0,1266.69,603.97,662.72,0.0,662.72,157.98,504.74,504.74,102.0,0.0,4.95,4.95,0.0,0.0,0.0,0.0,0.0
2020-09-30,7859.3,0.0,7859.3,2098.37,412.85,414.28,0.0,169.89,567.97,2329.12,1866.82,11.49,1878.31,553.59,1324.72,0.0,1324.72,326.74,997.98,997.98,102.0,0.0,9.78,9.78,0.0,0.0,0.0,0.0,0.0
2020-12-31,8737.93,0.0,8737.93,1937.24,369.7,46.14,0.0,166.94,566.35,2309.65,3341.91,1.44,3343.35,528.64,2814.71,-171.81,2642.9,417.3,2225.6,2225.6,102.0,0.0,21.82,21.82,0.0,0.0,0.0,0.0,0.0
2021-03-31,10429.82,0.0,10429.82,2570.28,429.65,-209.88,0.0,166.73,547.55,2589.46,4336.03,653.18,4989.21,500.34,4488.87,0.0,4488.87,1062.89,3425.98,3425.98,102.0,0.0,33.59,33.59,0.0,0.0,0.0,0.0,0.0
2021-06-30,10384.6,0.0,10384.6,3353.49,489.49,-969.72,0.0,177.82,555.95,2809.78,3967.79,30.61,3998.4,444.27,3554.13,0.0,3554.13,893.4,2660.73,2660.73,102.0,0.0,26.09,26.09,0.0,0.0,0.0,0.0,0.0
2021-09-30,13261.2,0.0,13261.2,4616.72,374.17,292.29,0.0,177.66,562.26,3281.45,3956.65,19.18,3975.83,350.12,3625.71,0.0,3625.71,914.36,2711.35,2711.35,102.01,0.0,26.58,26.58,0.0,0.0,0.0,0.0,0.0
2021-12-31,11954.8,0.0,11954.8,5413.84,434.93,-560.12,0.0,190.93,563.42,3307.71,2604.09,23.74,2627.83,325.27,2302.56,0.0,2302.56,588.92,1713.64,1713.64,102.01,0.0,16.8,16.8,0.0,0.0,0.0,0.0,0.0
2022-03-31,13830.83,0.0,13830.83,5675.54,416.23,526.12,0.0,178.18,550.52,4208.2,2276.04,28.47,2304.51,295.13,2009.38,-323.71,1685.67,487.99,1197.68,1197.68,101.07,0.0,11.74,11.74,0.0,0.0,0.0,0.0,0.0
2022-06-30,12848.52,0.0,12848.52,6617.14,451.02,-1740.22,0.0,202.53,539.53,4007.23,2771.29,20.83,2792.12,257.93,2534.19,5804.69,8338.88,1715.8,6623.08,6623.08,100.5,0.0,65.54,65.54,0.0,0.0,0.0,0.0,0.0
2022-09-30,13107.06,0.0,13107.06,4908.82,416.14,1517.13,0.0,222.83,544.46,4204.43,1293.25,8.08,1301.33,319.77,981.56,-1663.93,-682.37,-209.2,-473.17,-473.17,100.5,0.0,-4.71,-4.71,0.0,0.0,0.0,0.0,0.0
2022-12-31,11832.25,0.0,11832.25,4932.57,337.29,144.55,0.0,223.07,544.32,3950.3,1700.15,9.66,1709.81,343.46,1366.35,-7252.6,-5886.25,-1373.98,-4512.27,-4512.27,100.5,0.0,-44.9,-44.9,0.0,0.0,0.0,0.0,0.0
2023-03-31,13392.25,0.0,13392.25,6185.29,577.57,33.5,0.0,225.77,537.63,4229.96,1602.53,10.34,1612.87,364.62,1248.25,-146.42,1101.83,312.63,789.2,789.2,100.5,0.0,7.85,7.85,0.0,0.0,0.0,0.0,0.0
2023-06-30,12310.57,0.0,12310.57,5494.0,643.08,-517.62,0.0,210.58,539.89,3827.2,2113.44,14.0,2127.44,257.86,1869.58,0.0,1869.58,470.06,1399.52,1399.52,100.5,0.0,13.93,13.93,0.0,0.0,0.0,0.0,0.0
2023-09-30,12081.79,0.0,12081.79,4716.46,407.85,883.67,0.0,227.06,554.54,3534.66,1757.55,25.92,1783.47,257.89,1525.58,0.0,1525.58,417.01,1108.57,1108.57,100.5,0.0,11.03,11.03,0.0,0.0,0.0,0.0,0.0
2023-12-31,11515.93,0.0,11515.93,5203.24,398.88,-635.69,0.0,221.8,559.48,3608.82,2159.4,29.51,2188.91,195.17,1993.74,0.0,1993.74,510.06,1483.68,1483.68,100.24,0.0,14.78,14.78,0.0,0.0,0.0,0.0,0.0
2024-03-31,13773.42,0.0,13773.42,5977.18,801.68,411.88,0.0,264.4,562.56,3799.09,1956.63,15.03,1971.66,209.86,1761.8,0.0,1761.8,480.27,1281.53,1281.53,100.24,0.0,12.78,12.78,0.0,0.0,0.0,0.0,0.0
2024-06-30,12842.8,0.0,12842.8,6455.42,481.83,-145.65,0.0,249.61,563.8,3102.44,2135.35,22.55,2157.9,183.1,1974.8,0.0,1974.8,518.26,1456.54,1456.54,101.18,0.0,14.46,14.46,0.0,0.0,0.0,0.0,0.0
2024-09-30,11503.98,0.0,11503.98,5706.59,268.66,208.43,0.0,219.99,573.36,3160.31,1366.64,24.9,1391.54,167.08,1224.46,0.0,1224.46,330.11,894.35,894.35,101.18,0.0,8.83,8.83,0.0,0.0,0.0,0.0,0.0
2024-12-31,11435.77,0.0,11435.77,5148.28,479.52,-38.7,0.0,252.37,570.98,3433.29,1590.03,15.83,1605.86,132.77,1473.09,0.0,1473.09,310.32,1162.77,1162.77,101.18,0.0,11.49,11.49,0.0,0.0,0.0,0.0,0.0
2025-03-31,13035.48,0.0,13035.48,5724.38,532.84,503.12,0.0,250.66,564.35,3885.79,1574.34,51.11,1625.45,137.07,1488.38,-1313.64,174.74,67.21,107.53,107.53,101.18,0.0,1.06,1.06,0.0,0.0,0.0,0.0,0.0
