Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Money Received Against Share Warrants,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,91.49,91.49,12972.84,12972.84,13064.33,13520.78,1345.46,695.11,19.59,15580.94,9146.13,1637.34,3454.95,3265.97,17504.39,46149.66,18192.32,67.01,11640.25,22.92,0.0,29922.5,1350.52,1615.71,0.63,32889.36,0.0,3936.25,1460.96,762.0,6543.65,557.44,13260.3,46149.66,15349.6,108.25,2832.02,0.0,77.57,1691.61,0.0,0.0,1976.38,277.43,1345.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,91.49,91.49,12419.72,12419.72,12511.21,18507.42,1658.59,244.52,31.89,20442.42,7607.63,1443.02,4073.07,92.88,13216.6,46170.23,27134.69,80.39,3532.77,30.35,0.0,30778.2,1486.96,2315.91,1.08,34582.15,1000.0,3720.03,1321.27,288.97,4504.04,753.77,11588.08,46170.23,15057.15,241.49,1661.75,1.72,77.57,1828.05,1018.13,0.0,2029.79,243.27,214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,91.49,91.49,22974.18,22974.18,23065.67,16411.57,4452.73,290.7,27.81,21182.81,7503.47,1947.84,6858.49,38.47,16348.27,60596.75,42939.94,83.37,5652.99,32.75,0.14,48709.19,1476.94,0.0,965.25,51151.38,0.0,2439.06,830.86,331.94,804.01,5039.5,9445.37,60596.75,15629.63,198.08,658.84,0.0,77.57,232.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,91.5,91.5,21674.7,21674.7,21766.2,16403.88,3983.63,3537.62,37.6,23962.73,7759.46,2364.6,4202.31,38.55,14364.92,60093.85,41402.38,73.5,7504.65,24.58,0.14,49005.25,1485.25,77.59,693.53,51261.62,0.0,1886.97,797.2,146.17,787.5,5214.39,8832.23,60093.85,13223.56,119.92,2339.68,0.0,77.57,1826.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,96.79,96.79,22690.97,22690.97,22792.56,14411.05,3673.45,3568.09,43.08,21695.67,6910.19,3380.36,5266.46,31.36,15588.37,60076.6,45564.06,72.37,2653.99,35.3,0.14,48325.86,1490.36,150.43,398.09,50364.74,0.0,3098.89,794.31,126.11,1046.54,4646.01,9711.86,60076.6,13236.37,81.07,2923.43,0.0,77.57,1490.36,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,96.79,96.79,22446.97,22446.97,22548.56,12338.0,3366.47,3194.21,67.96,18966.64,5257.37,4181.88,6674.12,43.67,16157.04,57672.24,44293.04,69.68,1584.1,40.02,0.14,45986.98,1692.92,103.67,466.89,48250.46,0.0,3893.18,903.6,100.8,1619.52,2904.68,9421.78,57672.24,11363.22,121.42,2896.2,0.0,77.57,1692.92,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,102.0,102.0,23607.07,23607.07,23709.07,12029.62,3670.35,3816.32,75.95,19592.24,3175.47,4623.9,7725.49,48.68,15573.54,58874.85,44406.25,65.55,810.43,41.03,0.14,45323.4,1698.85,3.42,337.67,47363.34,0.0,3886.96,963.23,515.59,2427.79,3717.94,11511.51,58874.85,12925.33,6819.69,5215.0,0.0,77.57,1698.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,102.0,102.0,32540.11,32540.11,32642.11,13959.75,6238.01,3806.06,95.71,24099.53,2750.57,3808.86,5769.48,60.73,12389.64,69131.28,42649.6,71.92,572.41,31.61,0.14,43325.68,4557.32,4039.38,764.96,52687.34,1000.21,4591.67,1960.75,5687.4,105.41,3098.5,16443.94,69131.28,13858.8,9201.78,9473.76,0.0,77.57,4557.32,1000.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,101.07,101.07,40259.41,40259.41,40360.48,8364.95,6683.06,3801.3,138.38,18987.69,4960.88,5290.48,5503.44,59.28,15814.08,75162.25,40975.99,382.27,731.43,28.15,0.0,42117.84,5988.56,7842.35,1432.32,57381.07,327.42,7050.51,1210.47,3055.82,3973.7,2163.26,17781.18,75162.25,8172.71,20530.02,17714.0,0.0,77.57,2041.47,327.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,100.5,100.5,40456.35,40456.35,40556.85,7081.75,3985.12,954.33,155.41,12176.61,4793.63,4460.5,4978.84,63.2,14296.17,67029.63,39511.45,572.04,2090.58,28.15,0.0,42202.22,4931.55,5446.69,965.34,53545.8,761.13,5463.09,1130.5,4022.96,50.19,2055.96,13483.83,67029.63,9529.18,18493.07,7514.97,0.0,77.57,4931.55,761.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,100.24,100.24,45393.36,45393.36,45493.6,6156.26,5611.06,686.75,235.31,12689.38,4963.99,4269.61,4541.49,58.9,13833.99,72016.97,38617.25,855.78,3780.05,22.16,0.0,43275.24,6892.17,5523.34,1405.86,57096.61,638.7,5976.98,2191.48,3489.45,26.06,2597.69,14920.36,72016.97,19631.11,11870.01,4312.76,0.0,77.37,6892.17,638.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,101.18,101.18,49661.69,49661.69,49762.87,4894.23,5249.94,664.68,267.93,11076.78,2023.6,5078.58,5466.37,80.78,12649.33,73488.98,39365.47,936.82,5009.78,0.0,0.0,45312.07,8554.51,5162.01,1248.1,60276.69,1314.83,4750.91,1324.06,3564.65,46.46,2211.38,13212.29,73488.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
