Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Inventories,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,59.24,59.24,1264.22,1264.22,0.0,1323.46,0.0,0.0,0.24,0.24,0.0,0.0,0.78,1.32,1325.06,0.93,0.0,0.0,0.0,0.0,0.93,18.73,0.0,1305.24,0.0,0.0,0.78,0.22,18.82,19.82,1325.06,18.7,0.0,0.62,0.0,0.0,18.03,0.0,1266.21,0.0,0.04,0.54,1266.21,19.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,62.05,62.05,1338.02,1338.02,0.0,1400.06,50.0,0.0,0.35,50.35,0.0,0.0,17.34,17.69,1468.1,0.93,0.0,0.0,0.0,0.0,0.93,17.18,0.0,1421.1,0.0,3.28,41.62,0.3,1.81,47.0,1468.1,71.83,0.0,0.38,0.0,0.0,18.03,0.0,1378.3,0.0,0.0,0.35,1378.3,24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,63.31,63.31,1412.58,1412.58,0.0,1475.89,50.0,0.0,0.69,50.69,0.0,0.0,9.92,13.72,1540.3,0.87,0.05,1.61,0.0,0.0,2.53,14.69,0.0,1459.72,0.0,5.24,3.34,70.72,1.27,80.58,1540.3,35.55,0.16,0.0,0.0,28.08,18.04,8.01,1409.35,0.0,0.0,3.79,1417.35,25.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,63.58,63.58,1435.91,1435.91,0.0,1499.49,0.0,0.0,1.11,1.11,0.0,1.11,64.76,70.22,1570.96,0.79,1.28,0.0,0.0,0.0,2.06,13.3,0.0,1481.92,78.0,1.09,8.53,0.68,0.74,89.04,1570.96,37.96,0.22,0.0,0.0,0.89,18.04,0.0,1443.84,0.0,0.15,4.35,1443.84,22.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,63.8,63.8,1413.28,1413.28,5.22,1482.29,0.0,9.03,3.72,12.74,0.0,1.41,4.29,5.7,1501.15,1.82,0.83,0.0,0.0,0.0,2.66,8.13,37.54,48.32,1419.05,2.54,24.69,0.0,6.53,1452.82,1501.15,77.51,0.0,0.0,0.0,0.0,18.04,0.0,1409.05,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,63.84,63.84,3466.79,3466.79,0.0,3530.63,8071.7,84.28,43.24,8199.22,4959.41,53.15,1041.07,6053.64,17795.21,88.62,1.53,6.02,0.0,263.43,359.59,258.2,172.69,790.47,1305.27,2025.45,1419.73,12170.39,83.9,17004.74,17795.21,3516.47,0.0,0.0,0.0,0.0,18.04,0.0,0.0,1305.27,11.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,75.67,75.67,3532.14,3532.14,0.0,3607.81,7223.89,64.14,37.63,7325.65,6918.35,52.28,1457.99,8428.62,19362.08,349.86,0.64,2.49,0.0,203.02,556.01,202.81,348.01,1106.83,1958.55,9.62,1650.67,14231.86,404.55,18255.25,19362.08,2342.73,0.0,0.0,0.0,0.0,18.04,0.0,0.0,1958.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,75.77,75.77,3744.96,3744.96,0.0,3820.73,7082.07,82.39,31.56,7196.02,9217.98,66.42,1909.56,11193.97,22210.73,95.54,280.31,6.56,0.0,264.0,646.42,206.36,557.36,1410.13,1204.26,159.88,3592.5,15594.3,249.66,20800.59,22210.73,1462.02,0.0,0.0,0.0,0.0,18.04,0.0,0.0,1204.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,75.92,75.92,4350.98,4350.98,0.0,4426.9,6474.92,64.34,41.38,6580.64,9771.07,96.07,2261.58,12128.72,23136.26,432.08,1.92,5.64,0.0,288.51,728.15,158.5,560.74,1447.39,2448.85,156.34,5608.8,12884.05,590.83,21688.88,23136.26,1844.68,0.0,0.0,0.0,0.0,18.04,0.0,0.0,2448.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,76.09,76.09,5038.82,5038.82,0.0,5114.91,6853.6,122.61,51.26,7027.47,10526.89,133.38,1279.69,11939.96,24082.34,476.02,2.95,27.4,0.0,293.7,800.07,31.8,486.27,1318.14,3779.69,218.47,3169.46,14549.34,1047.24,22764.2,24082.34,809.41,436.02,0.0,0.0,0.0,18.03,0.0,0.0,3779.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,76.31,76.31,5477.03,5477.03,42.57,5595.91,0.0,92.92,38.82,131.74,20010.9,140.33,1709.25,21860.48,27588.13,496.33,4.12,51.83,0.17,293.7,846.15,75.92,288.41,1210.48,5156.58,71.92,1830.5,18426.84,891.81,26377.65,27588.13,1046.95,410.45,0.0,0.0,0.0,18.03,0.0,0.0,5156.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
