Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,10262.76,137.59,10400.35,5724.51,1057.47,-418.81,808.25,580.3,-256.01,3014.24,-109.6,907.15,797.55,434.98,362.57,-30.57,332.0,42.16,289.84,0.0,289.84,679.18,0.86,0.86,0.0,0.0,0.0,0.0,0.0
2015-09-30,10500.79,192.9,10693.69,6275.54,1038.75,37.43,769.49,591.96,-267.58,2062.85,185.25,214.95,400.2,367.16,33.04,-305.09,-272.05,16.74,-288.79,0.0,-288.79,679.18,-0.85,-0.85,0.0,0.0,0.0,0.0,0.0
2015-12-31,9878.74,163.05,10041.79,5670.79,959.71,408.97,824.98,590.98,-263.9,1943.81,-93.55,493.9,400.35,357.16,43.19,-182.44,-139.25,-2.43,-136.82,0.0,-136.82,679.18,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0
2016-03-31,12799.68,0.0,12799.68,7326.56,1046.04,-17.54,785.36,565.98,-246.91,2680.48,659.71,110.79,770.5,433.59,336.91,-0.23,336.68,-61.27,397.95,0.0,397.95,679.18,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2016-06-30,10166.05,153.5,10319.55,6783.85,938.83,-836.16,898.25,712.24,-246.77,2207.27,-137.96,624.55,486.59,340.07,146.52,-108.65,37.87,12.12,25.75,0.0,25.75,679.18,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2016-09-30,10140.06,182.39,10322.45,6560.47,967.23,-105.23,881.7,718.57,-245.29,1957.38,-412.38,146.02,-266.36,372.77,-639.13,30.21,-608.92,21.84,-630.76,0.0,-630.76,679.18,-1.86,-1.86,0.0,0.0,0.0,0.0,0.0
2016-12-31,10123.93,95.92,10219.85,6647.44,930.81,-99.14,845.35,728.96,-218.06,2036.99,-652.5,93.95,-558.55,413.73,-972.28,-59.33,-1031.61,14.33,-1045.94,0.0,-1045.94,679.22,-3.08,-3.08,0.0,0.0,0.0,0.0,0.0
2017-03-31,13586.68,0.0,13586.68,7662.64,1109.1,789.1,932.53,809.62,-231.43,2704.73,-189.61,114.32,-75.29,454.52,-529.81,-288.3,-818.11,10.93,-829.04,0.0,-829.04,679.22,-2.44,-2.44,0.0,0.0,0.0,0.0,0.0
2017-06-30,9094.34,0.0,9094.34,6050.71,851.4,-481.9,888.57,674.78,-208.88,2058.61,-738.95,639.93,-99.02,367.83,-466.85,0.0,-466.85,0.2,-467.05,0.0,-467.05,679.22,-1.38,-1.38,0.0,0.0,0.0,0.0,0.0
2017-09-30,13887.78,0.0,13887.78,8651.02,994.6,662.44,885.38,750.63,-177.77,2085.15,36.33,141.88,178.21,444.1,-265.89,0.0,-265.89,29.41,-295.3,0.0,-295.3,679.22,-0.87,-0.87,0.0,0.0,0.0,0.0,0.0
2017-12-31,16101.6,0.0,16101.6,10268.6,1360.23,151.03,929.3,768.87,-219.92,2229.02,614.47,91.89,706.36,501.04,205.32,-4.73,200.59,16.94,183.65,0.0,183.65,679.22,0.53,0.53,0.0,0.0,0.0,0.0,0.0
2018-03-31,19779.32,0.0,19779.32,12110.29,1556.18,507.19,1103.6,856.17,-246.46,3634.74,257.61,677.02,934.63,446.43,488.2,-961.93,-473.73,26.21,-499.94,0.0,-499.94,679.22,-1.47,-1.47,0.0,0.0,0.0,0.0,0.0
2018-06-30,16592.33,210.78,16803.11,11582.55,1584.4,-1090.68,1032.92,705.15,0.0,2424.86,563.91,1393.47,1957.38,493.23,1464.15,0.0,1464.15,276.5,1187.65,0.0,1187.65,679.22,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2018-09-30,17644.13,114.56,17758.69,11427.74,1601.86,-119.6,1045.4,754.05,-246.43,2952.86,342.81,343.87,686.68,443.12,243.56,-93.21,150.35,41.21,109.14,0.0,109.14,679.22,0.31,0.31,0.0,0.0,0.0,0.0,0.0
2018-12-31,16099.82,107.85,16207.67,10449.56,1520.47,-149.62,1060.11,766.83,-237.31,2051.84,745.79,269.4,1015.19,468.08,547.11,-28.19,518.92,-98.7,617.62,0.0,617.62,679.22,1.8,1.8,0.0,0.0,0.0,0.0,0.0
2019-03-31,18428.6,132.81,18561.41,10288.92,2016.59,1504.59,1134.67,872.61,-322.97,2750.48,316.52,419.8,736.32,389.14,347.18,-81.67,265.51,159.32,106.19,0.0,106.19,679.22,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2019-06-30,13250.19,101.72,13351.91,9401.53,1651.46,-1458.96,1149.34,777.05,-301.91,2134.85,-1.45,401.2,399.75,439.49,-39.74,-7.93,-47.67,49.43,-97.1,0.0,-97.1,679.22,-0.29,-0.29,0.0,0.0,0.0,0.0,0.0
2019-09-30,9913.33,87.15,10000.48,5530.68,1304.17,644.83,1067.09,760.65,-306.44,2204.66,-1205.16,361.42,-843.74,497.92,-1341.66,71.67,-1269.99,11.98,-1281.97,0.0,-1281.97,679.22,-3.78,-3.78,0.0,0.0,0.0,0.0,0.0
2019-12-31,10668.44,174.47,10842.91,5697.52,1280.99,1063.21,1018.27,853.46,-260.28,2082.67,-892.93,351.51,-541.42,478.54,-1019.96,-3.89,-1023.85,15.66,-1039.51,0.0,-1039.51,719.54,-3.01,-3.01,0.0,0.0,0.0,0.0,0.0
2020-03-31,9653.8,79.07,9732.87,5542.12,1443.36,473.6,1149.61,984.13,-300.83,2367.81,-1926.93,268.92,-1658.01,557.05,-2215.06,-2570.77,-4785.83,85.22,-4871.05,0.0,-4871.05,719.54,-13.54,-13.54,0.0,0.0,0.0,0.0,0.0
2020-06-30,2634.14,52.73,2686.87,1173.22,457.22,309.56,966.74,859.89,-177.7,820.85,-1722.91,134.33,-1588.58,552.8,-2141.38,-48.88,-2190.26,0.38,-2190.64,0.0,-2190.64,719.54,-6.09,-6.09,0.0,0.0,0.0,0.0,0.0
2020-09-30,9591.18,76.92,9668.1,6107.98,1317.2,-174.86,1058.6,909.92,-201.99,1424.25,-773.0,241.98,-531.02,634.67,-1165.69,-46.36,-1212.05,0.4,-1212.45,0.0,-1212.45,719.54,-3.37,-3.37,0.0,0.0,0.0,0.0,0.0
2020-12-31,14507.5,123.1,14630.6,9814.79,1656.3,-591.5,1105.89,947.64,-180.02,1970.17,-92.67,206.65,113.98,656.22,-542.24,-58.3,-600.54,37.5,-638.04,0.0,-638.04,719.54,-1.77,-1.77,0.0,0.0,0.0,0.0,0.0
2021-03-31,19826.57,219.33,20045.9,12914.62,2058.95,387.76,1081.76,964.16,-257.82,2396.95,499.52,260.0,759.52,614.86,144.66,1545.62,1690.28,44.59,1645.69,0.0,1645.69,765.81,4.37,4.37,0.0,0.0,0.0,0.0,0.0
2021-06-30,11818.31,85.88,11904.19,8813.14,1723.01,-1401.54,1180.41,959.36,-203.92,1747.7,-913.97,245.81,-668.16,621.1,-1289.26,-24.89,-1314.15,6.59,-1320.74,0.0,-1320.74,765.81,-3.45,-3.45,0.0,0.0,0.0,0.0,0.0
2021-09-30,10890.06,105.96,10996.02,7256.09,1183.22,-26.29,886.25,432.68,-209.66,1682.81,-209.08,201.3,-7.78,530.94,-538.72,-33.16,-571.88,3.8,-575.68,-83.65,-659.33,765.81,-1.72,-1.72,0.0,0.0,0.0,0.0,0.0
2021-12-31,12259.02,93.76,12352.78,8499.61,1342.76,-188.35,918.1,452.12,-233.09,1746.38,-184.75,138.74,-46.01,535.55,-581.56,-0.09,-581.65,53.84,-635.49,811.34,175.85,765.86,0.45,0.44,0.0,0.0,0.0,0.0,0.0
2022-03-31,17224.61,113.66,17338.27,11036.46,1605.8,870.43,875.6,457.86,-261.85,2145.0,608.97,195.32,804.29,491.75,312.54,141.55,454.09,40.74,413.35,0.0,413.35,765.88,1.07,1.07,0.0,0.0,0.0,0.0,0.0
2022-06-30,14793.12,81.32,14874.44,10525.85,1655.95,-919.23,1062.85,422.98,-243.87,2190.13,179.78,210.77,390.55,528.8,-138.25,-1.43,-139.68,41.35,-181.03,0.0,-181.03,765.93,-0.47,-0.47,0.0,0.0,0.0,0.0,0.0
2022-09-30,14850.97,95.81,14946.78,9674.4,1513.01,349.83,964.43,446.13,-252.78,2145.02,106.74,195.06,301.8,549.35,-247.55,-4.04,-251.59,41.0,-292.59,0.0,-292.59,765.98,-0.76,-0.76,0.0,0.0,0.0,0.0,0.0
2022-12-31,15793.98,0.0,15793.98,10115.98,1583.0,-65.25,972.28,430.18,0.0,1867.21,890.58,173.18,1063.76,503.43,560.33,-0.11,560.22,54.03,506.19,0.0,506.19,766.01,1.31,1.31,0.0,0.0,0.0,0.0,0.0
2023-03-31,19961.61,180.52,20142.13,11910.58,1809.36,1119.34,1022.07,467.57,0.0,2226.12,1587.09,241.93,1829.02,465.93,1363.09,-277.24,1085.85,-1609.71,2695.56,0.0,2695.56,766.02,7.03,7.02,0.0,0.0,0.0,0.0,0.0
2023-06-30,15733.05,99.52,15832.57,10943.39,1889.39,-1395.71,1064.47,495.91,0.0,2052.7,782.42,299.08,1081.5,411.74,669.76,-647.95,21.81,85.85,-64.04,0.0,-64.04,766.05,-0.17,-0.17,0.0,0.0,0.0,0.0,0.0
2023-09-30,18403.19,138.51,18541.7,11492.58,1840.87,-9.06,1085.94,509.0,0.0,2187.42,1434.95,579.81,2014.76,471.48,1543.28,-126.02,1417.26,147.62,1269.64,0.0,1269.64,766.21,3.3,3.3,0.0,0.0,0.0,0.0,0.0
2023-12-31,18668.56,0.0,18668.56,12098.26,1851.81,-861.33,1110.48,513.13,0.0,2493.86,1462.35,146.82,1609.17,411.95,1197.22,3668.9,4866.12,296.07,4570.05,0.0,4570.05,766.32,11.92,11.9,0.0,0.0,0.0,0.0,0.0
2024-03-31,20260.24,0.0,20260.24,10490.81,2182.12,1665.66,1047.27,498.8,0.0,2457.04,1918.54,124.16,2042.7,410.57,1632.13,-86.53,1545.6,-580.8,2126.4,0.0,2126.4,766.5,5.54,5.53,0.0,0.0,0.0,0.0,0.0
2024-06-30,16732.0,130.0,16862.0,10142.0,2015.0,-601.0,1151.0,477.0,0.0,2250.0,1428.0,1989.0,3417.0,344.0,3073.0,-38.0,3035.0,845.0,2190.0,0.0,2190.0,767.0,5.8,5.8,0.0,0.0,0.0,0.0,0.0
2024-09-30,15518.0,0.0,15518.0,8877.0,1551.0,101.0,1141.0,492.0,0.0,2203.0,1153.0,294.0,1447.0,261.0,1186.0,-33.0,1153.0,676.0,477.0,0.0,477.0,736.0,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2024-12-31,17040.0,0.0,17040.0,9742.0,1747.0,229.0,1111.0,497.0,0.0,2202.0,1512.0,306.0,1818.0,265.0,1553.0,-24.0,1529.0,125.0,1404.0,0.0,1404.0,736.0,3.81,3.81,0.0,0.0,0.0,0.0,0.0
2025-03-31,19869.0,130.0,19999.0,11104.0,2054.0,555.0,1110.0,542.0,0.0,2724.0,1910.0,207.0,2117.0,252.0,1865.0,-230.0,1635.0,253.0,1382.0,0.0,1382.0,736.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0
