Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-03-31,1103.99,291.83,34.31,3.11,231.99,853.25,137.99,166.93,507.06,217.5,289.56,72.0,217.56,0.0,217.56,121.86,0.0,0.0,3.57,3.57,1483.81,1033.46,3.58,2.53,1.39,0.0,0.0,0.0,0.0,0.0
2017-06-30,1088.55,274.15,18.75,2.63,236.3,845.51,151.45,174.01,449.41,233.44,215.97,68.0,147.97,0.0,147.97,121.86,0.0,0.0,2.43,2.43,1807.01,1189.16,4.27,2.85,0.95,0.0,0.0,0.0,0.0,0.0
2017-09-30,1110.79,273.62,15.32,2.64,230.13,847.36,155.07,203.06,427.01,321.36,105.65,30.0,75.65,0.0,75.65,121.86,0.0,0.0,1.24,1.24,2136.19,1407.3,4.83,3.24,0.48,0.0,0.0,0.0,0.0,0.0
2017-12-31,1116.54,281.24,21.31,3.23,224.85,860.68,153.36,211.94,421.19,324.7,96.49,25.0,71.49,0.0,71.49,145.33,0.0,0.0,1.04,1.04,2663.32,1698.92,5.94,3.88,0.43,0.0,0.0,0.0,0.0,0.0
2018-03-31,1104.93,293.92,21.83,70.2,208.65,847.99,179.2,192.63,479.71,394.17,85.54,34.98,50.56,0.0,50.56,145.33,0.0,0.0,0.66,0.66,3015.76,1862.83,6.56,4.16,0.3,0.0,0.0,0.0,0.0,0.0
2018-06-30,1134.27,289.52,15.05,3.69,254.87,858.91,178.56,200.31,459.62,422.67,36.95,-8.96,45.91,0.0,45.91,145.33,0.0,0.0,0.6,0.6,3563.39,2088.32,7.44,4.5,0.27,0.0,0.0,0.0,0.0,0.0
2018-09-30,1159.09,287.22,7.28,3.35,175.56,877.8,172.66,220.65,361.39,213.14,148.25,64.51,83.74,0.0,83.74,159.86,0.0,0.0,1.05,1.05,3707.41,2051.51,7.7,4.41,0.49,0.0,0.0,0.0,0.0,0.0
2018-12-31,1141.74,292.23,5.49,3.3,259.89,861.93,197.67,218.04,425.01,400.4,24.61,3.41,21.2,0.0,21.2,159.86,0.0,0.0,0.27,0.27,4055.73,2295.6,8.49,4.99,0.12,0.0,0.0,0.0,0.0,0.0
2019-03-31,1161.28,281.62,15.08,15.61,272.45,854.36,212.28,214.63,464.77,352.34,112.43,52.41,60.02,0.0,60.02,159.86,0.0,0.0,0.75,0.75,4449.57,2420.34,8.79,4.98,0.35,0.0,0.0,0.0,0.0,0.0
2019-06-30,1175.5,282.13,32.46,2.44,269.84,908.56,203.75,204.93,445.13,329.97,115.16,42.24,72.92,0.0,72.92,159.86,0.0,0.0,0.91,0.91,4510.83,2321.77,9.17,4.94,0.4,0.0,0.0,0.0,0.0,0.0
2019-09-30,1193.24,300.21,41.63,2.43,277.73,941.23,212.99,229.86,431.16,365.17,65.99,2.66,63.33,0.0,63.33,159.86,0.0,0.0,0.79,0.79,4391.03,2118.35,8.89,4.5,0.34,0.0,0.0,0.0,0.0,0.0
2019-12-31,1152.36,291.81,37.32,22.29,260.06,926.57,225.49,227.05,384.73,364.26,20.47,5.4,15.07,0.0,15.07,159.86,0.0,0.0,0.19,0.19,4423.97,1945.68,8.92,4.13,0.08,0.0,0.0,0.0,0.0,0.0
2020-03-31,1143.95,275.52,29.35,7.34,346.99,865.68,214.42,223.22,499.83,429.27,70.56,-13.14,83.7,0.0,83.7,159.86,0.0,0.0,1.05,1.05,4212.77,1808.65,8.68,3.92,0.46,0.0,0.0,0.0,0.0,0.0
2020-06-30,1112.11,241.35,20.88,1.76,317.13,814.26,213.64,191.45,473.88,337.57,136.31,30.81,105.5,0.0,105.5,159.86,0.0,0.0,1.32,1.32,4055.66,1585.23,8.34,3.44,0.59,0.0,0.0,0.0,0.0,0.0
2020-09-30,1140.3,246.19,6.53,1.68,271.56,793.21,220.55,203.74,448.76,284.73,164.03,49.14,114.89,0.0,114.89,159.86,0.0,0.0,1.44,1.44,3998.43,1428.2,7.93,2.99,0.63,0.0,0.0,0.0,0.0,0.0
2020-12-31,1104.65,234.55,8.43,2.68,251.49,766.73,368.28,209.88,256.91,201.21,55.7,21.07,34.63,0.0,34.63,159.86,0.0,0.0,0.43,0.43,3842.47,1263.11,7.37,2.55,0.19,0.0,0.0,0.0,0.0,0.0
2021-03-31,1096.48,219.7,32.45,0.68,216.47,736.71,351.21,228.08,249.78,71.45,178.33,73.96,104.37,0.0,104.37,159.86,0.0,0.0,1.31,1.31,4142.87,1719.39,7.85,3.41,0.55,0.0,0.0,0.0,0.0,0.0
2021-06-30,1118.03,218.56,38.38,0.97,219.99,738.04,227.35,201.95,428.59,264.04,164.55,55.68,108.87,0.0,108.87,159.86,0.0,0.0,1.36,1.36,4167.49,1844.61,7.97,3.69,0.57,0.0,0.0,0.0,0.0,0.0
2021-09-30,1136.19,230.06,31.39,0.31,163.1,717.64,251.15,218.42,373.84,164.15,209.69,44.24,165.45,0.0,165.45,159.86,0.0,0.0,2.07,2.07,3971.64,1537.71,7.38,2.99,0.86,0.0,0.0,0.0,0.0,0.0
2021-12-31,1133.13,234.78,35.71,0.89,195.61,717.28,243.36,237.89,401.59,146.1,255.49,70.01,185.48,0.0,185.48,159.87,0.0,0.0,2.32,2.32,3887.52,1355.57,6.97,2.55,0.93,0.0,0.0,0.0,0.0,0.0
2022-03-31,1138.13,241.38,28.85,0.91,205.48,699.34,223.17,250.93,441.31,140.12,301.19,87.72,213.47,0.0,213.47,160.0,0.0,0.0,2.67,2.67,3431.04,1260.79,5.96,2.28,1.06,0.0,0.0,0.0,0.0,0.0
2022-06-30,1184.12,254.35,33.99,1.07,199.07,727.65,235.73,233.75,475.47,154.64,320.83,92.08,228.75,0.0,228.75,160.02,0.0,0.0,2.86,2.86,3107.17,1098.36,5.21,1.91,1.09,0.0,0.0,0.0,0.0,0.0
2022-09-30,1286.11,271.06,21.24,1.07,241.57,758.13,233.87,256.73,572.32,227.19,345.13,94.9,250.23,0.0,250.23,160.09,0.0,0.0,3.13,3.12,2456.53,818.72,3.97,1.36,1.16,0.0,0.0,0.0,0.0,0.0
2022-12-31,1395.8,281.33,16.51,1.58,317.49,806.22,255.71,261.83,688.95,364.09,324.86,35.57,289.29,0.0,289.29,160.19,0.0,0.0,3.61,3.6,1674.34,550.43,2.66,0.89,1.32,0.0,0.0,0.0,0.0,0.0
2023-03-31,1460.92,292.39,10.86,4.15,400.81,875.74,280.65,273.69,739.05,293.01,446.04,108.22,337.82,0.0,337.82,160.41,0.0,0.0,4.21,4.2,1458.15,468.15,2.27,0.74,1.5,0.0,0.0,0.0,0.0,0.0
2023-06-30,1569.03,304.64,8.12,1.12,333.16,985.84,318.91,262.9,648.42,159.42,489.0,130.37,358.63,0.0,358.63,160.48,0.0,0.0,4.47,446.0,1329.65,390.02,1.99,0.59,1.53,0.0,0.0,0.0,0.0,0.0
2023-09-30,1656.67,333.42,5.98,1.01,338.89,1081.7,327.64,288.72,637.91,126.41,511.5,133.05,378.45,0.0,378.45,160.53,0.0,0.0,4.72,4.7,1219.08,323.63,1.73,0.47,1.57,0.0,0.0,0.0,0.0,0.0
2023-12-31,1793.73,339.3,4.31,2.04,357.79,1138.09,374.73,308.45,675.9,149.71,526.19,114.56,411.63,0.0,411.63,160.76,0.0,0.0,5.13,5.12,1151.86,305.27,1.58,0.42,1.65,0.0,0.0,0.0,0.0,0.0
2024-03-31,1822.4,353.65,3.64,4.88,628.85,1189.11,439.75,317.65,866.91,293.41,573.5,117.4,456.1,0.0,456.1,160.88,0.0,0.0,5.67,5.67,1041.64,297.97,1.4,0.4,1.76,0.0,0.0,0.0,0.0,0.0
2024-06-30,1888.04,385.09,4.27,7.13,388.35,1260.18,333.46,333.39,745.85,132.94,612.91,154.26,458.65,0.0,458.65,160.94,0.0,0.0,5.7,5.7,1024.53,293.66,1.32,0.38,1.7,0.0,0.0,0.0,0.0,0.0
2024-09-30,1976.13,393.22,3.71,10.94,472.01,1324.05,357.0,358.72,816.24,179.83,636.41,162.81,473.6,0.0,473.6,160.96,0.0,0.0,5.89,5.88,885.61,219.22,1.1,0.28,1.72,0.0,0.0,0.0,0.0,0.0
2024-12-31,2055.46,422.76,2.32,5.47,467.43,1407.22,373.82,357.13,815.27,147.44,667.83,171.8,496.03,0.0,496.03,161.0,0.0,0.0,6.16,6.16,690.92,166.69,0.83,0.2,1.74,0.0,0.0,0.0,0.0,0.0
2025-03-31,2080.45,421.4,9.82,4.26,509.33,1426.67,384.93,378.69,834.97,161.4,673.57,160.21,513.36,0.0,513.36,161.02,0.0,0.0,6.38,6.37,641.8,166.21,0.76,0.2,1.73,0.0,0.0,0.0,0.0,0.0
