Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,Expenditure In Foreign Currency,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Capital Goods
2015-03-31,199.2,199.2,2260.65,2260.65,2459.85,0.0,173.35,252.78,712.47,27457.75,57.62,28227.84,30940.47,256.76,9.05,40.14,0.0,305.95,6.0,120.19,285.51,57.36,775.01,18541.92,748.54,7618.28,3067.68,189.04,30165.46,30940.47,48931.61,279.54,0.0,6.0,79.43,974.73,119.66,0.0,0.0,0.0
2016-03-31,199.2,199.2,2647.03,2647.03,2846.23,0.0,165.25,246.34,1011.01,29158.52,206.65,30376.18,33468.75,323.54,21.05,64.61,0.0,409.2,6.0,157.45,279.91,51.62,904.18,20325.91,778.59,8806.17,2487.98,165.92,32564.57,33468.75,0.0,0.0,0.0,6.0,81.09,1845.25,0.0,0.0,0.0,0.0
2017-03-31,249.0,249.0,2359.78,2359.78,2608.78,183.14,1211.04,1394.18,898.26,13987.46,82.71,14968.43,18971.39,524.92,21.35,98.43,0.0,644.7,6.0,664.95,3.08,161.6,1480.33,4028.65,746.2,8362.88,6.64,4346.69,17491.06,18971.39,0.0,0.0,49.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,224.1,224.1,2198.3,2198.3,2422.4,176.35,1224.6,1400.95,2391.07,13008.14,133.2,15532.41,19355.76,617.96,28.41,85.38,0.0,731.75,6.0,544.41,8.94,594.93,1886.03,3785.97,1436.06,7189.56,0.91,5057.23,17469.73,19355.76,0.0,0.0,44.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,224.1,224.1,2581.79,2581.79,2805.89,174.64,1251.86,1426.5,2917.25,13154.3,98.17,16169.72,20402.11,730.98,22.98,88.77,0.0,842.73,6.0,574.64,6.66,895.19,2325.22,3790.3,1471.31,7469.68,4.29,5341.31,18076.89,20402.11,0.0,0.0,44.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,201.69,201.69,2379.51,2379.51,2581.2,206.46,1215.07,1421.53,4728.24,11604.96,126.75,16459.95,20462.68,819.22,17.13,79.96,0.0,916.31,6.0,414.72,6.89,1046.76,2390.68,4622.69,1432.82,5798.28,2.11,6216.1,18072.0,20462.68,44901.23,0.0,44.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,201.69,201.69,2717.37,2717.37,2919.06,193.87,730.16,924.03,6361.82,14350.68,70.27,20782.77,24625.86,794.93,11.92,80.15,0.0,887.0,6.0,423.61,7.1,1217.91,2541.62,5888.61,965.94,8027.91,2.12,7199.66,22084.24,24625.86,22480.58,0.0,44.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,201.69,201.69,3119.67,3119.67,3321.36,163.81,564.73,728.54,6165.65,18903.62,114.67,25183.94,29233.84,956.56,8.06,86.94,0.0,1051.56,6.0,446.83,0.0,1200.01,2704.4,7700.1,1005.41,11480.47,0.0,6343.46,26529.44,29233.84,1719.38,0.0,44.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,201.69,201.69,3975.87,3975.87,4177.56,152.31,410.85,563.16,4462.79,19502.93,174.13,24139.85,28880.57,1006.97,17.36,61.62,0.0,1085.95,6.0,450.1,0.0,1253.33,2795.38,7356.86,1002.33,13286.42,0.0,4439.58,26085.19,28880.57,27382.22,0.0,44.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,201.69,201.69,5368.99,5368.99,5570.68,145.78,425.21,570.99,4466.42,17976.51,191.42,22634.35,28776.02,819.65,18.29,68.24,3.39,909.57,6.0,599.8,20.0,1452.46,2987.83,5713.37,1846.93,14209.63,0.0,4018.26,25788.19,28776.02,37337.56,0.0,44.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0
