Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-12-31,3795.74,1765.97,372.08,92.76,562.77,4049.13,1067.64,606.73,865.82,3427.03,0.0,-2561.21,-896.99,-1664.22,-1664.22,1967.75,0.0,81.91,0.0,0.0,-8.58,-8.58,32490.85,15310.68,18.08,9.45,-2.13,0.0,0.0,0.0,0.0,0.0
2018-03-31,3399.36,1871.48,238.43,122.72,669.51,4132.14,914.12,708.06,547.18,3971.25,0.0,-3424.07,-1310.56,-2113.51,-2113.51,2618.16,12237.14,86.4,0.0,0.0,-10.55,-10.55,38130.7,17377.87,21.48,11.1,-2.75,0.0,0.0,0.0,0.0,0.0
2018-06-30,3328.22,1981.76,255.06,126.83,212.95,4013.69,965.94,541.58,383.61,2768.22,0.0,-2384.61,-862.37,-1522.24,-1522.24,2618.16,0.0,86.4,0.0,0.0,-5.81,-5.81,38777.66,16086.25,22.17,10.58,-1.85,0.0,0.0,0.0,0.0,0.0
2018-09-30,3316.66,2031.67,258.62,78.1,511.95,4009.55,1016.52,662.09,508.84,1982.82,0.0,-1473.98,-550.38,-923.6,-923.6,2618.16,0.0,86.4,0.0,0.0,-3.53,-3.53,37410.76,15794.15,21.48,10.36,-1.11,0.0,0.0,0.0,0.0,0.0
2018-12-31,3358.62,2101.46,259.16,65.59,544.34,3968.78,1037.41,607.77,715.21,1811.85,0.0,-1096.64,-378.41,-718.23,-718.23,2972.51,0.0,88.02,0.0,0.0,-2.56,-2.56,35332.68,15605.07,20.64,10.32,-0.86,0.0,0.0,0.0,0.0,0.0
2019-03-31,2946.25,2339.35,99.97,91.25,1143.69,3874.36,545.35,681.97,1518.83,4733.82,0.0,-3214.99,-737.58,-2477.41,-2477.41,4047.2,27997.79,91.2,0.0,0.0,-7.89,-7.89,32356.04,11333.24,19.29,7.73,-2.96,0.0,0.0,0.0,0.0,0.0
2019-06-30,3069.21,2422.02,89.29,133.92,779.11,3924.25,883.05,581.42,1104.83,1034.78,0.0,70.05,-48.28,118.33,118.33,4125.92,27997.79,89.46,0.0,0.0,0.29,0.29,32908.44,11440.59,19.93,7.98,0.15,0.0,0.0,0.0,0.0,0.0
2019-09-30,3136.86,2406.37,137.39,209.46,813.63,3999.12,980.56,698.26,1025.77,791.33,0.0,234.44,100.37,134.07,134.07,4125.92,0.0,89.46,0.0,0.0,0.32,0.32,33497.22,11551.91,19.89,7.9,0.17,0.0,0.0,0.0,0.0,0.0
2019-12-31,3062.28,2561.14,138.83,266.63,1249.41,4007.0,912.02,662.95,1696.32,1249.21,0.0,447.11,291.79,155.32,155.32,5709.76,0.0,92.39,0.0,0.0,0.33,0.33,33258.59,13568.05,19.99,9.26,0.19,0.0,0.0,0.0,0.0,0.0
2020-03-31,3237.11,2526.09,115.38,50.47,794.68,4003.24,1441.09,762.16,517.24,2178.33,0.0,-1661.09,-132.02,-1529.07,-1529.07,5709.76,0.0,92.39,0.0,0.0,-2.71,-2.71,32589.08,11534.46,18.92,7.63,-1.93,0.0,0.0,0.0,0.0,0.0
2020-06-30,3123.33,2541.65,173.51,177.86,710.33,3871.01,1038.51,526.19,1290.97,974.64,0.0,316.33,180.9,135.43,135.43,5709.76,0.0,92.39,0.0,0.0,0.24,0.24,31946.17,10469.44,18.1,6.76,0.17,0.0,0.0,0.0,0.0,0.0
2020-09-30,3203.27,2527.13,155.48,167.37,780.69,3698.06,1006.09,671.01,1458.78,1104.92,0.0,353.86,193.07,160.79,160.79,5875.56,0.0,89.78,0.0,0.0,0.28,0.28,30785.43,8683.58,17.36,5.6,0.2,0.0,0.0,0.0,0.0,0.0
2020-12-31,3085.01,2504.71,151.83,41.06,774.37,3554.48,1198.59,611.15,1192.76,743.74,0.0,449.02,283.61,165.41,165.41,5875.56,0.0,89.78,0.0,0.0,0.28,0.28,29486.07,7514.65,16.3,4.73,0.19,0.0,0.0,0.0,0.0,0.0
2021-03-31,2226.73,2435.47,195.22,20.6,901.82,3361.63,898.12,832.59,687.5,3130.33,0.0,-2442.83,-1093.62,-1349.21,-1349.21,5875.56,0.0,89.78,0.0,0.0,-2.3,-2.3,29276.96,9036.46,16.55,5.77,-1.58,0.0,0.0,0.0,0.0,0.0
2021-06-30,2856.16,2379.57,211.29,31.56,766.96,3344.12,1137.69,585.59,1178.14,556.55,0.0,621.59,416.01,205.58,205.58,8680.94,0.0,93.08,0.0,0.0,0.3,0.3,27891.7,7904.03,15.92,5.09,0.24,0.0,0.0,0.0,0.0,0.0
2021-09-30,2864.06,2629.98,260.8,28.45,720.1,3288.29,1129.59,684.24,1401.27,1048.52,0.0,352.75,102.73,250.02,250.02,8680.94,0.0,93.08,0.0,0.0,0.29,0.29,27251.73,7004.0,15.52,4.51,0.29,0.0,0.0,0.0,0.0,0.0
2021-12-31,2834.64,2290.2,373.25,558.74,609.62,3311.21,1469.58,662.56,1223.1,878.93,0.0,344.17,65.25,278.92,278.92,8680.94,0.0,93.08,0.0,0.0,0.32,0.32,27608.37,7084.99,15.16,4.39,0.33,0.0,0.0,0.0,0.0,0.0
2022-03-31,2947.57,2266.43,392.76,180.57,632.25,3371.26,382.52,853.8,1812.0,1061.03,-352.52,398.45,88.14,310.31,310.31,8680.94,0.0,93.08,0.0,0.0,0.36,0.36,28156.22,6675.17,14.84,3.97,0.36,0.0,0.0,0.0,0.0,0.0
2022-06-30,2937.88,2128.77,438.49,21.39,830.95,3384.42,1129.18,622.57,1221.31,913.67,0.0,307.64,72.86,234.78,234.78,8680.94,0.0,93.08,0.0,0.0,0.27,0.27,29001.63,6784.7,14.9,3.93,0.27,0.0,0.0,0.0,0.0,0.0
2022-09-30,3577.19,2143.08,389.42,45.26,910.01,3407.46,1104.91,804.8,1747.79,1124.67,0.0,623.12,304.95,318.17,318.17,8680.94,0.0,93.08,0.0,0.0,0.37,0.37,19059.24,5406.68,9.67,2.95,0.35,0.0,0.0,0.0,0.0,0.0
2022-12-31,3936.77,2200.6,318.15,261.03,919.16,3432.09,1618.79,777.93,1806.9,995.47,0.0,811.43,353.21,458.22,458.22,8680.94,0.0,93.08,0.0,0.0,0.53,0.53,18489.97,4060.92,8.85,2.09,0.5,0.0,0.0,0.0,0.0,0.0
2023-03-31,4469.76,2242.64,297.76,133.7,1423.59,3631.13,1751.08,1077.48,2107.76,1204.61,0.0,903.15,332.12,571.03,571.03,8680.94,0.0,93.08,0.0,0.0,0.66,0.66,18386.12,3591.72,8.44,1.77,0.61,0.0,0.0,0.0,0.0,0.0
2023-06-30,4504.3,2280.19,330.63,110.16,958.64,4049.35,1489.89,806.8,1837.88,812.89,0.0,1024.99,606.56,418.43,418.43,8680.94,0.0,93.08,0.0,0.0,0.48,0.48,10890.84,3717.75,4.95,1.75,0.43,0.0,0.0,0.0,0.0,0.0
2023-09-30,4730.32,2334.38,270.98,14.98,1061.26,4322.97,1436.2,1122.31,1530.44,967.34,0.0,563.1,-42.33,605.43,605.43,8680.94,0.0,93.08,0.0,0.0,0.7,0.7,10666.03,3664.22,4.62,1.64,0.62,0.0,0.0,0.0,0.0,0.0
2023-12-31,5168.52,2349.48,249.88,41.33,1329.72,4657.36,1663.96,886.6,1931.01,821.98,0.0,1109.03,391.17,717.86,717.86,8680.94,0.0,93.08,0.0,0.0,0.83,0.83,10786.49,2955.57,4.5,1.27,0.69,0.0,0.0,0.0,0.0,0.0
2024-03-31,5304.02,2546.34,268.8,217.92,1361.66,4796.23,1722.1,1117.06,2063.35,707.09,0.0,1356.26,548.92,807.34,807.34,8680.94,0.0,93.08,0.0,0.0,0.93,0.93,11340.34,3001.95,4.5,1.23,0.76,0.0,0.0,0.0,0.0,0.0
2024-06-30,5402.05,2463.3,248.33,221.11,1165.13,4787.06,1713.64,1006.11,1993.11,1190.85,0.0,802.26,-77.68,879.94,879.94,8680.94,0.0,93.08,0.0,0.0,1.01,1.01,11387.61,1771.12,4.54,0.73,0.82,0.0,0.0,0.0,0.0,0.0
2024-09-30,5402.04,2546.75,244.04,9.79,1646.7,4792.14,1827.05,1065.2,2164.93,598.06,0.0,1566.87,654.03,912.84,912.84,8680.94,0.0,93.08,0.0,0.0,1.05,1.05,11604.25,1673.97,4.59,0.69,0.85,0.0,0.0,0.0,0.0,0.0
2024-12-31,5688.68,2590.17,194.02,36.57,1229.2,4969.32,1792.63,1013.38,1963.31,556.64,0.0,1406.67,447.74,958.93,958.93,8680.94,0.0,93.08,0.0,0.0,1.1,1.1,10459.89,1554.98,3.86,0.59,0.87,0.0,0.0,0.0,0.0,0.0
2025-03-31,5846.31,2492.18,230.01,50.5,1813.56,5220.44,1885.25,1323.91,2002.96,844.49,0.0,1158.47,124.92,1033.55,1033.55,9051.4,0.0,89.27,0.0,0.0,1.19,1.19,9224.78,1543.26,3.18,0.55,0.9,0.0,0.0,0.0,0.0,0.0
