Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Revaluation Reserves,Long Term Provisions,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Share Capital Suspense,Deferred Tax Liabilities [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,88.2,88.2,1807.8,1817.4,1905.6,422.1,14.3,462.5,195.7,436.4,315.5,348.7,1296.3,3664.4,1433.0,1.4,51.9,0.0,0.0,1486.3,582.1,0.0,245.4,2.9,2316.7,0.0,562.8,575.4,19.1,178.5,11.9,1347.7,3664.4,1471.5,96.7,30.2,727.4,56.9,77.27,0.0,593.3,0.5,9.6,14.6,1540.7,18.4,42.9,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,88.2,88.2,2004.3,2013.9,2102.1,318.3,13.5,359.2,94.7,426.9,345.6,410.4,1277.6,3738.9,1461.2,0.6,39.9,0.0,0.0,1501.7,732.0,17.1,96.0,3.3,2350.1,0.0,608.4,457.7,146.1,167.6,9.0,1388.8,3738.9,296.7,99.7,56.6,792.3,27.0,77.27,0.0,743.0,0.7,9.6,27.4,1629.0,15.1,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,132.3,132.3,2321.6,2321.6,2453.9,193.9,58.7,252.6,141.0,572.2,472.6,1.7,1187.5,3894.0,1408.6,0.3,65.2,0.0,23.3,1497.4,745.5,38.9,4.5,40.4,2326.7,0.6,641.8,592.1,18.5,16.5,297.8,1567.3,3894.0,330.3,98.3,152.8,821.4,96.4,121.37,0.0,755.0,0.6,0.0,0.0,1685.1,24.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,140.4,140.4,5662.3,5662.3,5802.7,1154.3,65.9,1220.2,3.7,780.7,468.7,2.0,1255.1,8278.0,1382.4,0.9,53.0,0.0,59.2,1495.5,4497.1,52.8,3.8,66.7,6115.9,0.8,691.7,811.5,189.0,9.5,459.6,2162.1,8278.0,32.2,0.0,0.0,0.0,0.0,121.37,0.0,4502.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,210.5,210.5,5969.7,5969.7,6180.2,1102.7,67.7,1170.4,1.6,892.2,562.7,2.5,1459.0,8809.6,1464.4,0.4,92.2,0.0,82.2,1639.2,4652.9,124.6,4.8,48.1,6469.6,0.9,924.2,925.0,105.4,12.9,371.6,2340.0,8809.6,25.3,2891.3,0.0,0.0,883.4,191.54,0.0,4652.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,315.8,315.8,6122.4,6122.4,6438.2,1133.7,68.0,1201.7,0.2,894.9,507.4,0.8,1403.3,9043.2,1708.7,0.0,90.7,0.0,87.2,1886.6,4602.4,29.6,5.8,106.7,6631.1,1.0,1055.1,809.0,138.2,11.0,397.8,2412.1,9043.2,125.5,3070.2,0.0,0.0,1107.3,296.84,0.0,18.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,315.8,315.8,5928.6,5928.6,6244.4,1191.5,177.7,1369.2,227.9,905.6,454.7,1.1,1589.3,9202.9,1853.5,0.0,90.3,0.0,74.7,2018.5,4681.8,45.0,17.6,111.9,6874.8,0.6,993.1,867.5,236.6,8.9,221.4,2328.1,9202.9,79.5,2502.1,0.0,0.0,1270.4,296.84,0.0,18.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,315.8,315.8,6427.2,6427.2,6743.0,3426.5,108.0,3534.5,1353.5,623.9,1286.2,1.8,3265.4,13542.9,1675.9,0.0,28.1,0.0,83.5,1787.5,5584.9,40.1,2375.2,95.0,9882.7,1.2,554.4,518.5,255.6,305.6,2024.9,3660.2,13542.9,1464.9,2505.0,0.0,0.0,922.6,296.81,0.0,18.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,451.8,451.8,30479.2,30479.2,30931.0,4521.3,159.3,4680.6,823.9,783.8,531.8,3.6,2143.1,37754.7,1291.6,1.4,53.8,0.0,474.8,1821.6,30385.7,11.4,2117.6,234.4,34570.7,1.2,687.7,1121.5,631.7,361.1,380.8,3184.0,37754.7,2258.1,1907.0,0.0,0.0,1737.6,296.81,0.0,0.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,677.6,677.6,30763.0,30763.0,31440.6,2869.0,200.1,3069.1,2752.8,882.7,592.7,1.2,4229.4,38739.1,1567.2,2.5,65.8,0.0,453.6,2089.1,31030.1,28.0,19.5,138.0,33304.7,1.5,917.8,1464.7,218.9,2425.6,405.9,5434.4,38739.1,1724.2,2502.3,0.0,0.0,1822.1,522.69,0.0,0.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,677.6,677.6,31251.0,31251.0,31928.6,3607.7,300.0,3907.7,759.0,1057.3,749.7,1.6,2567.6,38403.9,1975.3,179.7,248.3,5.1,539.6,2948.0,31251.6,43.8,182.6,238.2,34664.2,67.1,1013.9,1555.0,153.0,679.2,271.5,3739.7,38403.9,1618.0,2743.8,0.0,0.0,2265.7,522.69,0.0,0.3,67.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
