Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,18.86,18.86,1293.19,1293.19,1312.05,21.44,0.0,3.75,111.91,0.0,119.68,44.6,102.53,266.82,1690.78,358.15,8.62,99.76,466.53,14.91,14.96,0.98,497.39,501.35,219.4,221.36,82.99,168.04,0.25,1193.39,1690.78,290.41,35.14,0.0,1229.7,1.34,10.46,14.33,1.5,0.0,501.35,86.72,116.23,28.51,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,18.86,18.86,1632.78,1632.78,1651.65,25.89,0.0,5.75,86.71,0.0,112.87,66.41,105.13,284.41,2022.76,523.73,6.71,46.48,576.92,14.91,33.09,4.24,629.15,600.75,226.43,226.38,123.89,216.04,0.12,1393.61,2022.76,304.66,3.22,0.0,1455.3,55.52,10.46,27.85,1.49,0.0,600.75,55.07,209.8,29.39,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,18.86,18.86,1996.67,1996.67,2015.53,34.17,0.0,5.66,65.12,111.03,95.68,65.61,20.72,293.05,2373.69,644.81,5.62,37.8,688.23,14.92,17.43,0.77,721.35,852.84,208.42,401.26,34.95,154.42,0.44,1652.35,2373.69,329.88,5.14,0.0,1243.84,247.03,10.46,20.24,1.5,0.0,852.84,25.29,148.29,20.04,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,18.86,18.86,2403.22,2403.22,2422.08,87.08,0.0,5.05,92.46,115.46,116.77,88.15,4.16,324.54,2839.08,643.05,6.77,42.43,692.26,15.9,5.61,59.74,773.51,925.06,299.11,661.01,23.33,2.64,154.43,2065.58,2839.08,323.11,232.53,0.0,0.0,1433.91,10.46,28.05,2.49,925.06,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,18.86,18.86,2741.41,2741.41,2760.27,81.82,0.0,5.56,87.58,117.94,122.19,113.72,4.56,358.41,3206.27,644.3,6.89,95.14,746.33,15.78,6.56,75.3,843.97,1031.63,344.96,702.99,112.2,2.52,168.0,2362.3,3206.27,385.44,288.72,0.0,0.0,1620.26,10.46,44.75,2.37,1011.63,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,18.86,18.86,3157.18,3157.18,3176.05,101.0,0.0,5.79,121.78,111.69,151.66,44.03,3.6,310.98,3608.81,815.17,7.12,59.75,882.04,15.78,5.85,57.8,961.48,1078.46,457.72,900.75,27.0,1.89,181.51,2647.34,3608.81,346.72,330.22,0.0,0.0,2075.97,10.46,28.07,2.37,905.5,166.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,18.86,18.86,3593.39,3593.39,3612.25,77.69,10.45,7.25,95.39,92.95,115.18,72.17,6.45,286.74,3994.38,856.93,8.05,32.35,897.34,15.79,5.84,78.07,997.03,1417.64,435.04,968.31,44.6,2.33,129.43,2997.35,3994.38,429.74,260.98,0.0,0.0,1933.65,10.46,14.44,2.38,1317.64,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,18.86,18.86,4075.56,4075.56,4094.42,57.49,5.75,7.7,70.93,181.0,146.95,38.06,1.97,367.98,4533.34,780.91,7.6,160.95,949.46,272.14,5.77,54.32,1281.69,520.26,419.5,1066.95,1147.9,1.52,95.52,3251.64,4533.34,358.62,347.19,0.0,0.0,1902.87,10.46,276.88,2.38,523.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,18.86,18.86,4576.02,4576.02,4594.89,58.04,3.08,5.34,66.47,0.0,150.56,49.55,3.36,203.47,4864.82,758.2,7.43,210.23,975.87,15.41,1.62,390.99,1383.89,1012.09,628.02,1295.13,422.58,0.96,122.16,3480.94,4864.82,327.29,477.99,0.0,0.0,2352.78,10.46,18.39,2.0,1012.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,18.86,18.86,5454.15,5454.15,5473.01,62.12,2.92,5.15,70.19,496.0,209.06,64.35,2.86,772.26,6315.46,972.24,7.81,107.35,1087.4,15.73,126.54,61.85,1291.52,2192.16,627.88,1443.58,612.05,1.31,146.97,5023.95,6315.46,542.67,425.28,0.0,0.0,2754.2,10.46,28.06,2.32,2192.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,18.86,18.86,6436.97,6436.97,6455.84,81.19,3.41,5.16,89.76,454.6,125.43,51.71,4.51,636.25,7181.85,1078.4,7.85,92.17,1178.42,15.77,126.21,82.9,1403.31,2911.18,694.73,1390.75,422.11,1.29,358.47,5778.54,7181.85,574.23,511.21,0.0,0.0,2769.77,10.46,73.81,2.36,2911.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
