Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Capital Goods,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Inventories,Short Term Loans And Advances,Long Term Loans And Advances,Government/Other Grants,Non-Current Investments,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,1954.93,0.0,1954.93,-4307.76,-4307.76,-2352.83,0.0,4713.79,22.63,4.22,4740.64,1422.43,678.14,697.92,474.72,3273.21,5661.02,3123.53,1394.36,37.62,0.0,4555.51,0.0,5115.27,0.0,252.31,21.65,123.52,545.75,5661.02,1069.9,18.31,107.03,6.23,57.73,0.0,0.0,0.0,4.44,143.83,559.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1954.93,0.0,1954.93,-4923.01,-4923.01,-2968.08,0.0,5009.85,12.07,4.33,5026.25,1761.37,704.97,979.98,535.22,3981.54,6039.71,2947.05,1241.08,46.4,0.0,4234.53,0.0,5561.6,0.0,189.28,49.49,128.78,478.11,6039.71,5230.35,76.34,143.81,6.35,57.73,0.0,0.0,0.0,12.42,98.14,1327.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1954.93,0.0,1954.93,-5941.12,-5941.12,-3986.19,0.0,7245.35,280.82,3.26,7529.43,3414.11,608.11,1350.05,546.37,5918.64,9461.88,1941.83,1421.32,47.59,2198.23,5608.97,2805.58,8414.55,592.08,290.88,66.99,92.7,1047.33,9461.88,0.0,117.0,128.4,3.87,57.73,0.0,592.08,0.0,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1954.93,0.0,1954.93,-8230.19,-8230.19,-6275.26,366.42,10662.42,0.0,1.58,10664.0,4305.36,521.25,1640.87,683.29,7150.77,11905.93,1592.45,5867.5,26.87,0.0,7486.82,3166.77,10653.59,679.62,226.91,37.03,292.24,1252.34,11905.93,1318.92,32.07,137.69,1.45,57.73,0.0,0.0,0.0,2.04,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1954.93,0.0,1954.93,-18138.85,-18138.85,-16183.92,1024.77,7862.21,0.0,124.21,7986.42,5306.44,482.19,3873.34,890.92,10552.89,3380.16,793.66,53.27,26.59,0.0,873.52,622.05,1495.57,377.79,157.88,39.16,1293.48,1884.59,3380.16,1075.7,38.76,107.67,2.95,57.73,0.0,0.0,0.0,0.13,16.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1954.93,0.0,1954.93,-18813.58,-18813.58,-16858.65,2038.82,5708.33,0.0,1.86,5710.19,6931.1,196.96,6457.06,126.81,13711.93,4602.29,675.17,42.9,26.31,0.0,744.38,340.07,1084.45,608.63,162.51,171.13,2571.83,3517.84,4602.29,3056.57,119.72,2.97,0.31,57.73,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1954.93,0.0,1954.93,-22585.01,-22585.01,-20630.08,3150.92,6138.44,172.97,4.57,6315.98,4338.14,291.07,6381.24,1866.94,12877.39,1714.21,891.01,2.75,39.18,0.0,932.94,185.65,1118.59,0.0,121.72,84.53,389.37,595.62,1714.21,893.92,68.39,1.68,0.12,57.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1954.93,0.0,1954.93,-24580.25,-24580.25,-22625.32,4134.44,9868.86,119.23,2.75,9990.84,3090.55,264.37,6598.47,55.63,10009.02,1508.98,827.51,2.61,29.3,0.0,859.42,161.89,1021.31,70.23,78.22,43.29,295.93,487.67,1508.98,638.18,47.92,0.3,0.0,57.73,0.0,70.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1954.93,0.0,1954.93,-25795.43,-25795.43,-23840.5,5008.02,10710.81,62.34,0.46,10773.61,8993.03,224.21,149.47,56.69,9423.4,1364.53,776.77,2.33,28.16,0.0,807.26,179.0,986.26,100.5,52.4,17.02,208.35,378.27,1364.53,952.63,45.0,1.55,0.0,57.73,0.0,100.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,1954.93,1782.3,3737.23,-26942.06,-26942.06,-23204.83,5932.6,8244.82,15.54,1.22,8261.58,9798.03,209.4,158.34,55.62,10221.39,1210.74,738.36,2.13,29.48,4.87,774.84,164.43,939.27,66.41,109.69,14.26,81.11,271.47,1210.74,934.81,39.91,1.0,0.0,57.73,0.0,0.0,66.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,1954.93,0.0,1954.93,-28169.59,-28169.59,-26214.66,6961.71,12956.64,65.59,2.97,13025.2,6997.78,267.14,211.82,58.0,7534.74,1306.99,784.58,3.56,59.21,0.0,847.35,169.15,1016.5,34.35,155.89,32.49,67.76,290.49,1306.99,813.86,36.64,0.76,0.0,57.73,0.0,0.0,34.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,1954.93,0.0,1954.93,-21525.22,-21525.22,-19570.29,0.0,10865.08,51.21,0.89,10917.18,9477.08,210.58,213.38,55.86,9956.9,1303.79,795.37,2.82,34.76,0.0,832.95,176.36,1009.31,57.98,144.66,42.45,49.39,294.48,1303.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
