Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-03-31,596.53,0.0,596.53,32.29,137.75,0.0,4.46,493.35,-71.32,18.5,-52.82,353.93,-406.75,-958.82,-1365.57,-1365.57,-1365.57,1954.93,-6.99,-6.99,0.0,0.0,0.0,0.0,0.0
2017-06-30,553.09,0.0,553.09,28.16,217.55,0.0,2.05,404.15,-98.82,1.06,-97.76,383.67,-481.43,0.0,-481.43,-481.43,-481.43,1954.93,-2.46,-2.46,0.0,0.0,0.0,0.0,0.0
2017-09-30,515.32,0.0,515.32,23.98,215.36,0.0,1.87,366.38,-92.27,1.2,-91.07,398.61,-489.68,-7708.63,-8198.31,-8198.31,-8198.31,1954.93,-41.94,-41.94,0.0,0.0,0.0,0.0,0.0
2017-12-31,418.38,0.0,418.38,26.63,58.31,0.0,1.67,356.06,-24.29,21.82,-2.47,382.62,-385.09,-95.66,-480.75,-480.75,-480.75,1954.93,-2.46,-2.46,0.0,0.0,0.0,0.0,0.0
2018-03-31,381.72,0.0,381.72,24.23,41.69,0.0,150.23,342.24,-176.67,37.61,-139.06,405.06,-544.12,-137.38,-681.5,-681.5,-681.5,1954.93,-3.48,-3.48,0.0,0.0,0.0,0.0,0.0
2018-06-30,334.45,0.0,334.45,15.71,38.66,0.0,2.27,274.19,3.62,0.89,4.51,368.64,-364.13,-91.3,-455.43,-455.43,-455.43,1954.93,-2.33,-2.33,0.0,0.0,0.0,0.0,0.0
2018-09-30,321.84,0.0,321.84,18.59,42.93,0.0,2.4,247.7,10.22,14.45,24.67,384.6,-359.93,-22.37,-382.3,-382.3,-382.3,1954.93,-1.96,-1.96,0.0,0.0,0.0,0.0,0.0
2018-12-31,305.43,0.0,305.43,18.2,40.71,0.0,2.72,209.02,34.78,18.88,53.66,397.54,-343.88,-65.54,-409.42,-409.42,-409.42,1954.93,-2.09,-2.09,0.0,0.0,0.0,0.0,0.0
2019-03-31,315.48,0.0,315.48,12.29,55.28,0.0,-413.01,192.96,467.96,4.16,472.12,402.89,69.23,510.32,579.55,579.55,579.55,1954.93,2.96,2.96,0.0,0.0,0.0,0.0,0.0
2019-06-30,293.45,0.0,293.45,17.1,47.65,0.0,2.43,208.03,18.24,1.76,20.0,431.06,-411.06,182.21,-228.85,-228.85,-228.85,1954.93,-1.17,-1.17,0.0,0.0,0.0,0.0,0.0
2019-09-30,270.35,0.0,270.35,15.29,54.6,0.0,0.54,130.8,69.12,2.64,71.76,381.99,-310.23,-2024.22,-2334.45,-2334.45,-2334.45,1954.93,-11.94,-11.94,0.0,0.0,0.0,0.0,0.0
2019-12-31,255.06,0.0,255.06,14.52,52.25,0.0,0.47,108.32,79.5,3.7,83.2,354.19,-270.99,-5.86,-276.85,-276.85,-276.85,1954.93,-1.42,-1.42,0.0,0.0,0.0,0.0,0.0
2020-03-31,258.88,0.0,258.88,12.21,40.48,0.0,-3.44,131.61,78.02,2.5,80.52,372.07,-291.55,-582.41,-873.96,-873.96,-873.96,1954.93,-4.47,-4.47,0.0,0.0,0.0,0.0,0.0
2020-06-30,243.3,0.0,243.3,13.68,42.46,0.0,0.0,111.96,75.2,4.52,79.72,382.21,-302.49,-766.77,-1069.26,-1069.26,-1069.26,1954.93,-5.47,-5.47,0.0,0.0,0.0,0.0,0.0
2020-09-30,256.66,0.0,256.66,11.31,43.28,0.0,0.0,126.82,75.25,3.37,78.62,406.77,-328.15,-13.04,-341.19,-341.19,-341.19,1954.93,-1.75,-1.75,0.0,0.0,0.0,0.0,0.0
2020-12-31,278.41,0.0,278.41,12.85,42.19,0.0,0.0,135.3,88.07,1.46,89.53,387.48,-297.95,0.0,-297.95,-297.95,-297.95,1954.93,-1.52,-1.52,0.0,0.0,0.0,0.0,0.0
2021-03-31,265.29,0.0,265.29,11.53,40.8,0.0,0.0,129.12,83.84,1.91,85.75,374.04,-288.29,0.0,-288.29,-288.29,-288.29,1954.93,-1.47,-1.47,0.0,0.0,0.0,0.0,0.0
2021-06-30,268.03,0.0,268.03,12.46,39.68,0.0,0.0,138.18,77.71,2.15,79.86,398.31,-318.45,0.0,-318.45,-318.45,-318.45,1954.93,-1.63,-1.63,0.0,0.0,0.0,0.0,0.0
2021-09-30,268.77,0.0,268.77,14.21,42.03,0.0,0.0,140.04,72.49,2.56,75.05,388.68,-313.63,0.0,-313.63,-313.63,-313.63,1954.93,-1.6,-1.6,0.0,0.0,0.0,0.0,0.0
2021-12-31,284.22,0.0,284.22,14.21,39.41,0.0,0.0,150.06,80.54,1.75,82.29,384.59,-302.3,0.0,-302.3,-302.3,-302.3,1954.93,-1.55,-1.55,0.0,0.0,0.0,0.0,0.0
2022-03-31,272.78,0.0,272.78,14.16,39.09,0.0,0.0,137.39,82.14,5.0,87.14,367.76,-280.62,0.0,-280.62,-280.62,-280.62,1954.93,-1.44,-1.44,0.0,0.0,0.0,0.0,0.0
2022-06-30,266.48,0.0,266.48,13.98,39.85,0.0,0.0,134.47,78.18,2.6,80.78,375.88,-295.1,0.0,-295.1,-295.1,-295.1,1954.93,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0
2022-09-30,277.66,0.0,277.66,15.35,37.73,0.0,0.0,140.24,84.34,1.38,85.72,373.21,-287.49,-5.27,-292.76,-292.76,-292.76,1954.93,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0
2022-12-31,281.9,0.0,281.9,15.68,37.71,0.0,0.0,136.76,91.75,2.14,93.89,373.68,-279.79,0.0,-279.79,-279.79,-279.79,1954.93,-1.43,-1.43,0.0,0.0,0.0,0.0,0.0
2023-03-31,280.13,0.0,280.13,16.89,31.87,0.0,0.0,130.71,100.66,1.05,101.71,378.78,-277.07,0.0,-277.07,-277.07,-277.07,1954.93,-1.42,-1.42,0.0,0.0,0.0,0.0,0.0
2023-06-30,285.51,0.0,285.51,15.98,36.47,0.0,0.0,143.13,89.93,2.44,92.37,393.55,-301.18,0.0,-301.18,-301.18,-301.18,1954.93,-1.54,-1.54,0.0,0.0,0.0,0.0,0.0
2023-09-30,286.82,0.0,286.82,18.04,36.31,0.0,0.0,141.28,91.19,1.8,92.99,403.22,-310.23,0.0,-310.23,-310.23,-310.23,1954.93,-1.59,-1.59,0.0,0.0,0.0,0.0,0.0
2023-12-31,296.03,0.0,296.03,18.65,38.28,0.0,0.0,138.79,100.31,2.73,103.04,410.73,-307.69,0.0,-307.69,-307.69,-307.69,1954.93,-1.57,-1.57,0.0,0.0,0.0,0.0,0.0
2024-03-31,323.29,0.0,323.29,17.93,39.38,0.0,0.0,162.85,103.13,1.61,104.74,414.08,-309.34,0.0,-309.34,-309.34,-309.34,1954.93,-1.58,-1.58,0.0,0.0,0.0,0.0,0.0
2024-06-30,323.5,0.0,323.5,19.03,40.88,0.0,0.0,167.76,95.83,3.67,99.5,422.9,-323.4,0.0,-323.4,-323.4,-323.4,1954.93,-1.65,-1.65,0.0,0.0,0.0,0.0,0.0
2024-09-30,343.5,0.0,343.5,21.86,41.81,0.0,0.0,183.18,96.65,1.53,98.18,428.57,-330.39,0.0,-330.39,-330.39,-330.39,1954.93,-1.69,-1.69,0.0,0.0,0.0,0.0,0.0
2024-12-31,332.77,0.0,332.77,21.07,43.18,0.0,0.0,161.34,107.18,0.96,108.14,423.25,-315.11,0.0,-315.11,-315.11,-315.11,1954.93,-1.61,-1.61,0.0,0.0,0.0,0.0,0.0
2025-03-31,308.27,0.0,308.27,21.13,42.06,0.0,0.0,135.54,109.54,1.94,111.48,417.9,-306.42,0.0,-306.42,-306.42,-306.42,1954.93,-1.57,-1.57,0.0,0.0,0.0,0.0,0.0
